state_id,district_id,gender,value
1,1,total,0.5871166219893835
1,2,total,0.49527519409466697
1,3,total,0.7517097157067767
1,4,total,0.672850535515555
1,5,total,0.6073569701313577
1,6,total,0.6349066980567724
1,7,total,0.6928085819206667
1,8,total,0.5878745530524302
1,9,total,0.49919752018000724
1,10,total,0.6612758440155448
1,11,total,0.5219068745555473
1,12,total,0.590030138605778
1,13,total,0.54055514168567
1,14,total,0.5673108872258379
1,15,total,0.5333422298844771
1,16,total,0.5836415044915947
1,17,total,0.4637764267365723
1,18,total,0.4880988270116203
1,19,total,0.635508963596685
1,20,total,0.5157274952545253
1,21,total,0.817203945392646
1,22,total,0.7883145970624973
2,23,total,0.6718374074886017
2,24,total,0.8377219517221155
2,25,total,0.7413133763723837
2,26,total,0.7625028339653465
2,27,total,0.7864905910787889
2,28,total,0.8651989691171974
2,29,total,0.8487584650112867
2,30,total,0.8254030495041259
2,31,total,0.8150790725021816
2,32,total,0.7508931584331832
2,33,total,0.8171383100733238
2,34,total,0.7755267547013909
3,35,total,0.7739464207105192
3,36,total,0.7665253571989323
3,37,total,0.8075743179530519
3,38,total,0.8305226045267704
3,39,total,0.7739141839259875
3,40,total,0.77058387921165
3,41,total,0.8068458733317523
3,42,total,0.671793183604641
3,43,total,0.6470221695699875
3,44,total,0.6166318778159419
3,45,total,0.6574204700821207
3,46,total,0.6439894016203881
3,47,total,0.5644587200704503
3,48,total,0.7224632217590665
3,49,total,0.7387444102293819
3,50,total,0.6337627052677275
3,51,total,0.8018726475375132
3,52,total,0.8236354367940895
3,53,total,0.6360338406735752
3,54,total,0.6336354984374262
4,55,total,0.848434224235618
5,56,total,0.7089920008696676
5,57,total,0.7926902093777647
5,58,total,0.7753517272076559
5,59,total,0.710924996058459
5,60,total,0.8229866988627386
5,61,total,0.78778583551921
5,62,total,0.7898641613025369
5,63,total,0.7612540731152078
5,64,total,0.7653987865772307
5,65,total,0.7547671789058479
5,66,total,0.8177705934099302
5,67,total,0.6869370444886335
5,68,total,0.6980214793501823
6,69,total,0.8045079012087915
6,70,total,0.7949287285901254
6,71,total,0.7491456942537175
6,72,total,0.7291258869803562
6,73,total,0.6358627053397173
6,74,total,0.7129289578828201
6,75,total,0.7266744799437829
6,76,total,0.7598064464715063
6,77,total,0.6615427293595466
6,78,total,0.6243845900599362
6,79,total,0.6396286725796834
6,80,total,0.6854735079098465
6,81,total,0.7062100923216781
6,82,total,0.7727611085661933
6,83,total,0.7762587201143488
6,84,total,0.7374441681718902
6,85,total,0.7808078994058106
6,86,total,0.8328837502125371
6,87,total,0.45700892526192205
6,88,total,0.7985444621332727
6,89,total,0.6355732706803005
7,90,total,0.8267403280425858
7,91,total,0.8547232740215708
7,92,total,0.808467393767578
7,93,total,0.8827451035932685
7,94,total,0.8728026219561743
7,95,total,0.8378462905214301
7,96,total,0.8596186514879216
7,97,total,0.8726574082978411
7,98,total,0.8516419665283176
8,99,total,0.6477496059197673
8,100,total,0.6119590988715525
8,101,total,0.5977492336747245
8,102,total,0.6026253299852885
8,103,total,0.6886645511302888
8,104,total,0.6474496119564436
8,105,total,0.6436706359627732
8,106,total,0.6212890845467886
8,107,total,0.5893572079184863
8,108,total,0.5863071370144319
8,109,total,0.6086985165431646
8,110,total,0.7134259702412058
8,111,total,0.6631471912838859
8,112,total,0.5565691715786388
8,113,total,0.605569722814499
8,114,total,0.5086296238252438
8,115,total,0.4793397254672669
8,116,total,0.4572606313778465
8,117,total,0.4955267379760233
8,118,total,0.5545124425535704
8,119,total,0.6543107002905858
8,120,total,0.5456230505835757
