earnings_weekly,sector,real_annual,year2
384,private,24406.1701,2006-09-01
386,private,24480.98373,2006-10-01
388,private,24535.63046,2006-11-01
410,private,25797.28662,2006-12-01
432,private,27368.34647,2007-01-01
465,private,29375.60193,2007-02-01
450,private,28277.46264,2007-03-01
402,private,25174.11902,2007-04-01
403,private,25143.3455,2007-05-01
413,private,25719.69006,2007-06-01
411,private,25714.66092,2007-07-01
406,private,25330.77544,2007-08-01
408,private,25402.58978,2007-09-01
404,private,25063.34376,2007-10-01
408,private,25222.09184,2007-11-01
423,private,26008.21771,2007-12-01
448,private,27719.1483,2008-01-01
488,private,29966.50375,2008-02-01
473,private,28993.36302,2008-03-01
422,private,25660.61023,2008-04-01
421,private,25422.24129,2008-05-01
428,private,25674.30713,2008-06-01
423,private,25376.94674,2008-07-01
418,private,24926.80776,2008-08-01
418,private,24840.93246,2008-09-01
418,private,24916.57696,2008-10-01
416,private,24779.54813,2008-11-01
433,private,25833.92429,2008-12-01
436,private,26154.1415,2009-01-01
450,private,26844.26327,2009-02-01
465,private,27668.95309,2009-03-01
428,private,25462.70653,2009-04-01
422,private,24978.82149,2009-05-01
429,private,25345.74991,2009-06-01
420,private,24843.34196,2009-07-01
416,private,24508.79146,2009-08-01
418,private,24634.86811,2009-09-01
416,private,24489.17707,2009-10-01
417,private,24486.69046,2009-11-01
433,private,25355.98144,2009-12-01
435,private,25446.01599,2010-01-01
476,private,27827.68483,2010-02-01
497,private,28915.18262,2010-03-01
426,private,24650.69113,2010-04-01
427,private,24627.06264,2010-05-01
430,private,24769.46273,2010-06-01
427,private,24669.1172,2010-07-01
424,private,24384.6734,2010-08-01
427,private,24556.26501,2010-09-01
425,private,24371.29777,2010-10-01
425,private,24301.62199,2010-11-01
437,private,24798.04095,2010-12-01
455,private,25785.8044,2011-01-01
479,private,26998.24279,2011-02-01
507,private,28449.34878,2011-03-01
436,private,24317.70066,2011-04-01
437,private,24288.86175,2011-05-01
444,private,24693.80961,2011-06-01
440,private,24450.66562,2011-07-01
433,private,23957.18893,2011-08-01
434,private,23897.08926,2011-09-01
434,private,23869.33964,2011-10-01
434,private,23840.52657,2011-11-01
447,private,24452.52433,2011-12-01
454,private,24917.07869,2012-01-01
479,private,26190.99733,2012-02-01
510,private,27810.28178,2012-03-01
448,private,24315.32749,2012-04-01
445,private,24135.47189,2012-05-01
452,private,24567.95773,2012-06-01
448,private,24330.86658,2012-07-01
442,private,23899.96151,2012-08-01
442,private,23821.14964,2012-09-01
439,private,23571.14604,2012-10-01
440,private,23588.83151,2012-11-01
452,private,24133.90314,2012-12-01
457,private,24525.32045,2013-01-01
482,private,25704.6297,2013-02-01
504,private,26806.42639,2013-03-01
472,private,25029.54311,2013-04-01
455,private,24093.36384,2013-05-01
458,private,24294.32703,2013-06-01
452,private,23993.90851,2013-07-01
447,private,23614.88459,2013-08-01
446,private,23507.36432,2013-09-01
445,private,23401.45346,2013-10-01
443,private,23340.85982,2013-11-01
461,private,24179.2667,2013-12-01
465,private,24510.6632,2014-01-01
494,private,25916.43468,2014-02-01
513,private,26861.71011,2014-03-01
463,private,24178.86691,2014-04-01
458,private,23930.6212,2014-05-01
464,private,24185.57109,2014-06-01
454,private,23720.7971,2014-07-01
451,private,23492.42489,2014-08-01
454,private,23603.4522,2014-09-01
455,private,23638.25009,2014-10-01
453,private,23566.98215,2014-11-01
475,private,24724.92925,2014-12-01
472,private,24738.95545,2015-01-01
495,private,25885.51462,2015-02-01
541,private,28230.59177,2015-03-01
478,private,24884.18891,2015-04-01
473,private,24570.63134,2015-05-01
475,private,24693.84972,2015-06-01
474,private,24647.15845,2015-07-01
468,private,24254.33701,2015-08-01
464,private,24065.7069,2015-09-01
465,private,24082.61571,2015-10-01
463,private,24001.6072,2015-11-01
485,private,25117.07794,2015-12-01
486,private,25301.36156,2016-01-01
500,private,25999.4553,2016-02-01
554,private,28673.8717,2016-03-01
494,private,25524.16205,2016-04-01
485,private,25035.8656,2016-05-01
487,private,25066.87256,2016-06-01
488,private,25126.51396,2016-07-01
478,private,24544.14692,2016-08-01
477,private,24454.43729,2016-09-01
479,private,24529.64346,2016-10-01
479,private,24458.36349,2016-11-01
494,private,25151.78045,2016-12-01
495,private,25269.78973,2017-01-01
514,private,26093.71624,2017-02-01
569,private,28804.07597,2017-03-01
501,private,25229.19878,2017-04-01
495,private,24891.05048,2017-05-01
504,private,25299.71492,2017-06-01
496,private,24898.96163,2017-07-01
490,private,24497.74714,2017-08-01
493,private,24571.38363,2017-09-01
492,private,24482.71473,2017-10-01
491,private,24391.26949,2017-11-01
512,private,25333.78371,2017-12-01
509,private,25315.74345,2018-01-01
525,private,26044.60635,2018-02-01
584,private,28897.35174,2018-03-01
514,private,25335.87697,2018-04-01
508,private,24960.78849,2018-05-01
514,private,25235.02242,2018-06-01
512,private,25141.59315,2018-07-01
506,private,24713.07487,2018-08-01
507,private,24734.63589,2018-09-01
514,private,25066.84228,2018-10-01
508,private,24705.85931,2018-11-01
529,private,25677.33877,2018-12-01
531,private,25933.77865,2019-01-01
543,private,26456.92485,2019-02-01
599,private,29104.01002,2019-03-01
532,private,25687.52131,2019-04-01
529,private,25496.04742,2019-05-01
534,private,25722.19781,2019-06-01
532,private,25619.12104,2019-07-01
523,private,25126.8373,2019-08-01
527,private,25302.77674,2019-09-01
526,private,25249.70056,2019-10-01
525,private,25162.37451,2019-11-01
542,private,25994.09694,2019-12-01
549,private,26367.69066,2020-01-01
555,private,26572.82378,2020-02-01
603,private,28857.11687,2020-03-01
522,private,24971.33766,2020-04-01
516,private,24706.35533,2020-05-01
518,private,24762.97843,2020-06-01
527,private,25081.96875,2020-07-01
532,private,25428.74758,2020-08-01
538,private,25617.87984,2020-09-01
545,private,25975.15985,2020-10-01
552,private,26312.02956,2020-11-01
574,private,27299.35396,2020-12-01
572,private,27217.45148,2021-01-01
576,private,27391.80274,2021-02-01
628,private,29755.47478,2021-03-01
574,private,27041.44046,2021-04-01
571,private,26734.95675,2021-05-01
572,private,26707.4866,2021-06-01
570,private,26614.01832,2021-07-01
566,private,26272.46303,2021-08-01
566,private,26188.50581,2021-09-01
571,private,26201.59662,2021-10-01
573,private,26111.07354,2021-11-01
614,private,27827.06779,2021-12-01
606,private,27501.64184,2022-01-01
610,private,27491.44669,2022-02-01
703,private,31384.93083,2022-03-01
607,private,26509.39167,2022-04-01
598,private,25975.19889,2022-05-01
615,private,26528.19944,2022-06-01
608,private,26075.2141,2022-07-01
606,private,25854.11329,2022-08-01
605,private,25728.24409,2022-09-01
611,private,25565.23591,2022-10-01
618,private,25737.95149,2022-11-01
645,private,26755.38114,2022-12-01
641,private,26711.90777,2023-01-01
653,private,26932.7759,2023-02-01
744,private,30505.67459,2023-03-01
656,private,26586.49863,2023-04-01
648,private,26085.49528,2023-05-01
659,private,26486.72581,2023-06-01
654,private,26361.77863,2023-07-01
649,private,26075.05657,2023-08-01
657,private,26239.84457,2023-09-01
647,private,25828.52099,2023-10-01
651,private,26056.38972,2023-11-01
681,private,27141.76867,2023-12-01
675,private,26995.24406,2024-01-01
690,private,27433.69781,2024-02-01
792,private,31287.65645,2024-03-01
693,private,27255.62918,2024-04-01
678,private,26554.06136,2024-05-01
310,public,22206.18071,2000-01-01
313,public,22392.60384,2000-02-01
310,public,22079.41283,2000-03-01
313,public,22169.32253,2000-04-01
313,public,22156.21587,2000-05-01
316,public,22315.37092,2000-06-01
315,public,22337.32321,2000-07-01
316,public,22421.61095,2000-08-01
315,public,22213.79075,2000-09-01
315,public,22222.20604,2000-10-01
318,public,22317.0735,2000-11-01
318,public,22370.50733,2000-12-01
319,public,22564.7007,2001-01-01
321,public,22643.10848,2001-02-01
323,public,22738.75436,2001-03-01
331,public,23116.57738,2001-04-01
331,public,22998.68341,2001-05-01
333,public,23114.48374,2001-06-01
335,public,23389.9358,2001-07-01
338,public,23479.07483,2001-08-01
335,public,23219.4271,2001-09-01
334,public,23216.31632,2001-10-01
333,public,23117.59672,2001-11-01
336,public,23266.24795,2001-12-01
334,public,23216.93045,2002-01-01
334,public,23180.42345,2002-02-01
335,public,23179.64139,2002-03-01
342,public,23540.33179,2002-04-01
343,public,23543.97786,2002-05-01
345,public,23684.57193,2002-06-01
347,public,23862.35636,2002-07-01
344,public,23586.90215,2002-08-01
346,public,23643.25499,2002-09-01
351,public,24012.39517,2002-10-01
354,public,24190.36212,2002-11-01
353,public,24057.52646,2002-12-01
348,public,23822.69692,2003-01-01
349,public,23824.04616,2003-02-01
350,public,23834.31725,2003-03-01
357,public,24177.87616,2003-04-01
357,public,24148.64296,2003-05-01
362,public,24527.15111,2003-06-01
364,public,24685.41324,2003-07-01
369,public,25003.15288,2003-08-01
365,public,24668.57513,2003-09-01
364,public,24524.78981,2003-10-01
366,public,24663.47064,2003-11-01
369,public,24816.7666,2003-12-01
363,public,24520.89713,2004-01-01
365,public,24582.98927,2004-02-01
366,public,24602.94725,2004-03-01
373,public,25016.93096,2004-04-01
374,public,24963.36027,2004-05-01
380,public,25373.36218,2004-06-01
377,public,25208.5466,2004-07-01
382,public,25530.04154,2004-08-01
381,public,25456.74538,2004-09-01
381,public,25344.99243,2004-10-01
382,public,25338.55887,2004-11-01
386,public,25512.7292,2004-12-01
382,public,25368.35176,2005-01-01
381,public,25265.46651,2005-02-01
386,public,25457.66004,2005-03-01
394,public,25884.10911,2005-04-01
404,public,26448.36124,2005-05-01
398,public,26063.56508,2005-06-01
396,public,25925.26097,2005-07-01
399,public,26012.52842,2005-08-01
399,public,25948.10769,2005-09-01
399,public,25951.80132,2005-10-01
401,public,26035.00951,2005-11-01
407,public,26379.9768,2005-12-01
400,public,26001.39999,2006-01-01
405,public,26276.74207,2006-02-01
401,public,25958.95892,2006-03-01
406,public,26090.05251,2006-04-01
418,public,26733.92176,2006-05-01
411,public,26242.88425,2006-06-01
412,public,26274.08288,2006-07-01
411,public,26095.73282,2006-08-01
410,public,26003.15194,2006-09-01
411,public,26045.40688,2006-10-01
413,public,26109.08883,2006-11-01
421,public,26527.50137,2006-12-01
415,public,26260.67083,2007-01-01
414,public,26151.9949,2007-02-01
415,public,26064.96602,2007-03-01
421,public,26332.59968,2007-04-01
435,public,27180.84583,2007-05-01
425,public,26445.12566,2007-06-01
421,public,26366.38943,2007-07-01
424,public,26424.47986,2007-08-01
423,public,26315.26955,2007-09-01
422,public,26195.84892,2007-10-01
433,public,26776.0398,2007-11-01
440,public,27050.35879,2007-12-01
427,public,26379.79226,2008-01-01
429,public,26373.72921,2008-02-01
430,public,26355.86152,2008-03-01
437,public,26556.57931,2008-04-01
448,public,27070.64357,2008-05-01
437,public,26211.25005,2008-06-01
440,public,26447.47059,2008-07-01
443,public,26448.55319,2008-08-01
439,public,26076.12317,2008-09-01
437,public,26053.96589,2008-10-01
448,public,26660.32734,2008-11-01
452,public,26964.28539,2008-12-01
441,public,26485.91102,2009-01-01
445,public,26549.39613,2009-02-01
441,public,26245.28033,2009-03-01
449,public,26695.16497,2009-04-01
461,public,27278.00368,2009-05-01
453,public,26751.01523,2009-06-01
454,public,26845.96901,2009-07-01
454,public,26729.48458,2009-08-01
455,public,26818.29898,2009-09-01
457,public,26894.66731,2009-10-01
458,public,26868.0543,2009-11-01
462,public,27022.21861,2009-12-01
457,public,26778.01093,2010-01-01
459,public,26841.45017,2010-02-01
464,public,27015.84511,2010-03-01
463,public,26806.38523,2010-04-01
465,public,26834.70073,2010-05-01
491,public,28309.1713,2010-06-01
465,public,26853.19297,2010-07-01
465,public,26756.86074,2010-08-01
468,public,26941.10181,2010-09-01
467,public,26812.70796,2010-10-01
470,public,26905.58889,2010-11-01
472,public,26791.33282,2010-12-01
470,public,26597.52185,2011-01-01
471,public,26545.7279,2011-02-01
484,public,27172.90707,2011-03-01
475,public,26483.79166,2011-04-01
475,public,26402.10847,2011-05-01
509,public,28280.56233,2011-06-01
481,public,26762.2606,2011-07-01
476,public,26338.62991,2011-08-01
478,public,26285.26011,2011-09-01
476,public,26206.38164,2011-10-01
479,public,26317.42459,2011-11-01
479,public,26229.14259,2011-12-01
473,public,25985.25772,2012-01-01
477,public,26042.88695,2012-02-01
487,public,26551.99858,2012-03-01
481,public,26085.7389,2012-04-01
483,public,26165.1538,2012-05-01
513,public,27930.23943,2012-06-01
486,public,26431.2235,2012-07-01
493,public,26673.66277,2012-08-01
489,public,26375.79747,2012-09-01
486,public,26124.42217,2012-10-01
486,public,26078.40235,2012-11-01
490,public,26178.94115,2012-12-01
483,public,25877.78908,2013-01-01
481,public,25668.3951,2013-02-01
492,public,26179.79509,2013-03-01
488,public,25901.16109,2013-04-01
489,public,25911.14056,2013-05-01
513,public,27196.85374,2013-06-01
488,public,25886.91295,2013-07-01
487,public,25738.55588,2013-08-01
490,public,25802.30087,2013-09-01
488,public,25701.00468,2013-10-01
488,public,25662.94699,2013-11-01
491,public,25736.564,2013-12-01
487,public,25660.49283,2014-01-01
488,public,25608.42071,2014-02-01
501,public,26212.53082,2014-03-01
492,public,25706.41414,2014-04-01
492,public,25667.74713,2014-05-01
500,public,26054.41175,2014-06-01
493,public,25761.52507,2014-07-01
489,public,25457.31353,2014-08-01
494,public,25695.53759,2014-09-01
491,public,25494.03444,2014-10-01
491,public,25541.51493,2014-11-01
497,public,25846.4631,2014-12-01
491,public,25734.93729,2015-01-01
493,public,25774.1651,2015-02-01
495,public,25834.49959,2015-03-01
497,public,25855.91168,2015-04-01
496,public,25748.56728,2015-05-01
503,public,26149.0259,2015-06-01
497,public,25869.55444,2015-07-01
496,public,25702.78554,2015-08-01
502,public,26055.0153,2015-09-01
497,public,25784.65801,2015-10-01
499,public,25882.24614,2015-11-01
500,public,25905.03193,2015-12-01
499,public,25983.83816,2016-01-01
501,public,26011.43522,2016-02-01
502,public,26015.48519,2016-03-01
506,public,26138.74494,2016-04-01
503,public,25945.20943,2016-05-01
515,public,26509.06528,2016-06-01
504,public,25983.11603,2016-07-01
507,public,26032.20291,2016-08-01
506,public,25939.63577,2016-09-01
505,public,25835.49519,2016-10-01
506,public,25866.772,2016-11-01
508,public,25831.63822,2016-12-01
505,public,25794.6606,2017-01-01
506,public,25709.52512,2017-02-01
508,public,25736.31792,2017-03-01
510,public,25695.01981,2017-04-01
514,public,25827.68794,2017-05-01
517,public,25998.57557,2017-06-01
513,public,25784.4383,2017-07-01
516,public,25806.31852,2017-08-01
515,public,25682.71311,2017-09-01
516,public,25713.94358,2017-10-01
517,public,25672.78144,2017-11-01
518,public,25639.70466,2017-12-01
518,public,25754.10745,2018-01-01
519,public,25743.7957,2018-02-01
519,public,25686.26386,2018-03-01
522,public,25737.59527,2018-04-01
523,public,25696.00285,2018-05-01
530,public,26047.28261,2018-06-01
529,public,25963.1719,2018-07-01
538,public,26256.40272,2018-08-01
528,public,25773.4926,2018-09-01
531,public,25857.13031,2018-10-01
533,public,25947.67875,2018-11-01
533,public,25877.57858,2018-12-01
532,public,25980.98393,2019-01-01
531,public,25839.82846,2019-02-01
536,public,26042.21102,2019-03-01
547,public,26437.2026,2019-04-01
544,public,26203.5118,2019-05-01
550,public,26508.38534,2019-06-01
549,public,26414.95763,2019-07-01
545,public,26161.35234,2019-08-01
548,public,26294.24011,2019-09-01
548,public,26322.79325,2019-10-01
550,public,26377.3973,2019-11-01
550,public,26369.48921,2019-12-01
548,public,26299.17737,2020-01-01
550,public,26314.69623,2020-02-01
550,public,26329.03364,2020-03-01
562,public,26923.40625,2020-04-01
568,public,27209.35005,2020-05-01
574,public,27417.80804,2020-06-01
566,public,26954.82878,2020-07-01
564,public,26973.87549,2020-08-01
577,public,27466.14698,2020-09-01
574,public,27319.12841,2020-10-01
578,public,27567.26344,2020-11-01
575,public,27335.75941,2020-12-01
577,public,27449.22045,2021-01-01
582,public,27672.58961,2021-02-01
583,public,27626.72684,2021-03-01
583,public,27463.22637,2021-04-01
584,public,27345.65455,2021-05-01
586,public,27332.83423,2021-06-01
580,public,27095.67251,2021-07-01
579,public,26872.09596,2021-08-01
585,public,27048.41522,2021-09-01
585,public,26838.25796,2021-10-01
588,public,26813.50037,2021-11-01
590,public,26771.82517,2021-12-01
590,public,26768.78514,2022-01-01
591,public,26639.43099,2022-02-01
602,public,26855.9033,2022-03-01
593,public,25907.86096,2022-04-01
593,public,25748.5065,2022-05-01
599,public,25857.10367,2022-06-01
594,public,25476.3496,2022-07-01
595,public,25391.8873,2022-08-01
629,public,26746.05433,2022-09-01
610,public,25529.36185,2022-10-01
643,public,26801.77482,2022-11-01
640,public,26553.21856,2022-12-01
624,public,25990.08647,2023-01-01
630,public,25998.7204,2023-02-01
628,public,25740.0129,2023-03-01
633,public,25638.4298,2023-04-01
630,public,25395.18126,2023-05-01
730,public,29325.95302,2023-06-01
658,public,26507.14743,2023-07-01
640,public,25717.21329,2023-08-01
654,public,26144.10026,2023-09-01
650,public,25975.01418,2023-10-01
676,public,27033.58754,2023-11-01
683,public,27206.04567,2023-12-01
663,public,26511.43943,2024-01-01
662,public,26332.45556,2024-02-01
666,public,26315.33242,2024-03-01
665,public,26173.51028,2024-04-01
671,public,26310.55643,2024-05-01
