earnings_weekly,sector,real_annual,year2
308,private,22081.43912,2000-01-01
317,private,22609.33459,2000-02-01
332,private,23631.0715,2000-03-01
307,private,21750.25611,2000-04-01
306,private,21650.89694,2000-05-01
307,private,21695.63367,2000-06-01
309,private,21904.35536,2000-07-01
307,private,21757.05908,2000-08-01
307,private,21661.95216,2000-09-01
307,private,21630.46717,2000-10-01
310,private,21783.43604,2000-11-01
329,private,23096.54524,2000-12-01
327,private,23148.55383,2001-01-01
347,private,24493.79605,2001-02-01
348,private,24484.66996,2001-03-01
324,private,22670.65347,2001-04-01
320,private,22231.41627,2001-05-01
325,private,22541.02548,2001-06-01
323,private,22568.89579,2001-07-01
321,private,22302.99694,2001-08-01
320,private,22193.64637,2001-09-01
321,private,22268.6184,2001-10-01
323,private,22440.03136,2001-11-01
337,private,23384.70472,2001-12-01
338,private,23506.24382,2002-01-01
356,private,24660.30124,2002-02-01
356,private,24610.19429,2002-03-01
336,private,23094.30548,2002-04-01
332,private,22761.58859,2002-05-01
337,private,23129.05518,2002-06-01
336,private,23109.77641,2002-07-01
331,private,22698.64608,2002-08-01
330,private,22591.81751,2002-09-01
330,private,22559.59923,2002-10-01
331,private,22631.81409,2002-11-01
343,private,23367.22869,2002-12-01
345,private,23626.65417,2003-01-01
362,private,24764.94331,2003-02-01
373,private,25400.4876,2003-03-01
343,private,23200.31118,2003-04-01
340,private,23032.23162,2003-05-01
344,private,23309.71278,2003-06-01
344,private,23361.74865,2003-07-01
339,private,22923.47375,2003-08-01
340,private,22980.01347,2003-09-01
342,private,23094.60183,2003-10-01
342,private,23090.68467,2003-11-01
355,private,23890.31916,2003-12-01
375,private,25331.67998,2004-01-01
375,private,25281.40703,2004-02-01
387,private,26032.33419,2004-03-01
356,private,23839.11981,2004-04-01
355,private,23699.44495,2004-05-01
358,private,23906.47411,2004-06-01
357,private,23872.93856,2004-07-01
354,private,23604.74852,2004-08-01
354,private,23612.3336,2004-09-01
356,private,23701.75185,2004-10-01
356,private,23618.92853,2004-11-01
370,private,24473.79154,2004-12-01
392,private,26002.71259,2005-01-01
400,private,26504.66694,2005-02-01
402,private,26551.57269,2005-03-01
370,private,24303.4065,2005-04-01
366,private,24001.59977,2005-05-01
373,private,24418.20663,2005-06-01
373,private,24382.20051,2005-07-01
371,private,24185.77697,2005-08-01
370,private,24055.53729,2005-09-01
369,private,23995.42358,2005-10-01
371,private,24121.05898,2005-11-01
385,private,24940.09921,2005-12-01
404,private,26262.67642,2006-01-01
427,private,27705.93312,2006-02-01
429,private,27757.29537,2006-03-01
386,private,24784.67722,2006-04-01
384,private,24591.93019,2006-05-01
395,private,25227.26833,2006-06-01
391,private,24945.59769,2006-07-01
385,private,24476.66703,2006-08-01
