monthyear,Private,Public
Jan 2001,28469,28603
Feb 2001,28623,28582
Mar 2001,28668,28604
Apr 2001,28608,28545
May 2001,28522,28487
Jun 2001,28618,28577
Jul 2001,28919,28919
Aug 2001,28908,28962
Sep 2001,28925,29029
Oct 2001,29065,29207
Nov 2001,29164,29320
Dec 2001,29188,29407
Jan 2002,29348,29595
Feb 2002,29333,29612
Mar 2002,29313,29620
Apr 2002,29242,29546
May 2002,29250,29556
Jun 2002,29338,29643
Jul 2002,29509,29808
Aug 2002,29505,29774
Sep 2002,29501,29773
Oct 2002,29531,29857
Nov 2002,29589,30010
Dec 2002,29552,30058
Jan 2003,29757,30317
Feb 2003,29728,30344
Mar 2003,29737,30334
Apr 2003,29632,30284
May 2003,29693,30381
Jun 2003,29780,30541
Jul 2003,29878,30702
Aug 2003,29856,30806
Sep 2003,29851,30868
Oct 2003,29901,30917
Nov 2003,29981,31002
Dec 2003,29992,31037
Jan 2004,30327,31268
Feb 2004,30342,31305
Mar 2004,30402,31376
Apr 2004,30378,31371
May 2004,30367,31374
Jun 2004,30469,31505
Jul 2004,30638,31679
Aug 2004,30667,31692
Sep 2004,30763,31807
Oct 2004,30780,31847
Nov 2004,30796,31878
Dec 2004,30783,31875
Jan 2005,31018,32131
Feb 2005,31114,32166
Mar 2005,31104,32185
Apr 2005,31084,32206
May 2005,31047,32293
Jun 2005,31150,32418
Jul 2005,31223,32515
Aug 2005,31264,32547
Sep 2005,31296,32586
Oct 2005,31349,32674
Nov 2005,31456,32806
Dec 2005,31444,32834
Jan 2006,31648,33083
Feb 2006,31758,33166
Mar 2006,31864,33191
Apr 2006,31777,33069
May 2006,31744,33003
Jun 2006,31819,33013
Jul 2006,31944,33118
Aug 2006,31924,33077
Sep 2006,31985,33110
Oct 2006,32061,33148
Nov 2006,32096,33150
Dec 2006,32107,33083
Jan 2007,32492,33384
Feb 2007,32631,33324
Mar 2007,32615,33254
Apr 2007,32609,33232
May 2007,32653,33268
Jun 2007,32692,33275
Jul 2007,32983,33499
Aug 2007,33006,33466
Sep 2007,33123,33512
Oct 2007,33123,33467
Nov 2007,33138,33481
Dec 2007,33065,33441
Jan 2008,33330,33679
Feb 2008,33277,33569
Mar 2008,33311,33549
Apr 2008,33169,33385
May 2008,33094,33274
Jun 2008,32997,33158
Jul 2008,33072,33281
Aug 2008,32954,33212
Sep 2008,32867,33162
Oct 2008,33034,33334
Nov 2008,33086,33426
Dec 2008,33226,33580
Jan 2009,33336,33865
Feb 2009,32868,33739
Mar 2009,32774,33765
Apr 2009,32738,33764
May 2009,32597,33691
Jun 2009,32535,33720
Jul 2009,32558,33818
Aug 2009,32439,33745
Sep 2009,32441,33824
Oct 2009,32392,33884
Nov 2009,32326,33836
Dec 2009,32222,33754
Jan 2010,32252,33861
Feb 2010,32342,33839
Mar 2010,32400,33764
Apr 2010,32206,33632
May 2010,32162,33547
Jul 2010,32183,33620
Aug 2010,32062,33526
Sep 2010,32128,33611
Oct 2010,32095,33600
Nov 2010,32041,33557
Dec 2010,31884,33354
Jan 2011,31981,33361
Feb 2011,32076,33256
Mar 2011,32155,33219
Apr 2011,31551,33064
May 2011,31546,33052
Jun 2011,31649,33120
Jul 2011,31725,33178
Aug 2011,31641,33094
Sep 2011,31484,32929
Oct 2011,31537,32968
Nov 2011,31526,32935
Dec 2011,31481,32852
Jan 2012,31573,32967
Feb 2012,31408,32817
Mar 2012,31364,32768
Apr 2012,31270,32620
May 2012,31319,32654
Jun 2012,31462,32825
Jul 2012,31476,32851
Aug 2012,31398,32790
Sep 2012,31342,32750
Oct 2012,31241,32678
Nov 2012,31210,32657
Dec 2012,31142,32618
Jan 2013,31260,32774
Feb 2013,31113,32632
Mar 2013,30984,32562
Apr 2013,31052,32536
May 2013,31045,32512
Jun 2013,31143,32601
Jul 2013,31169,32615
Aug 2013,31071,32474
Sep 2013,31002,32385
Oct 2013,31004,32371
Nov 2013,31023,32391
Dec 2013,30953,32278
Jan 2014,31153,32478
Feb 2014,31094,32395
Mar 2014,31081,32369
Apr 2014,30939,32314
May 2014,30958,32352
Jun 2014,30931,32304
Jul 2014,31005,32415
Aug 2014,30937,32340
Sep 2014,30949,32348
Oct 2014,30976,32342
Nov 2014,31090,32436
Dec 2014,31166,32483
Jan 2015,31424,32742
Feb 2015,31337,32685
Mar 2015,31460,32686
Apr 2015,31449,32615
May 2015,31467,32571
Jun 2015,31529,32600
Jul 2015,31670,32654
Aug 2015,31667,32600
Sep 2015,31753,32677
Oct 2015,31774,32683
Nov 2015,31830,32733
Dec 2015,31854,32721
Jan 2016,32092,32932
Feb 2016,32056,32908
Mar 2016,32032,32862
Apr 2016,32055,32854
May 2016,32060,32832
Jun 2016,32060,32832
Jul 2016,32166,32899
Aug 2016,32125,32863
Sep 2016,32104,32791
Oct 2016,32154,32800
Nov 2016,32177,32776
Dec 2016,32102,32688
Jan 2017,32275,32848
Feb 2017,32159,32688
Mar 2017,32147,32623
Apr 2017,32029,32487
May 2017,31990,32452
Jun 2017,32080,32466
Jul 2017,32123,32516
Aug 2017,32034,32410
Sep 2017,32025,32364
Oct 2017,32060,32394
Nov 2017,32033,32357
Dec 2017,32033,32318
Jan 2018,32261,32540
Feb 2018,32199,32485
Mar 2018,32218,32491
Apr 2018,32166,32433
May 2018,32112,32360
Jun 2018,32167,32429
Jul 2018,32253,32513
Aug 2018,32156,32444
Sep 2018,32200,32483
Oct 2018,32288,32528
Nov 2018,32315,32553
Dec 2018,32345,32572
Jan 2019,32672,32860
Feb 2019,32643,32796
Mar 2019,32659,32815
Apr 2019,32568,32761
May 2019,32584,32776
Jun 2019,32686,32867
Jul 2019,32759,32940
Aug 2019,32756,32886
Sep 2019,32831,32958
Oct 2019,32920,33079
Nov 2019,32947,33106
Dec 2019,33017,33197
Jan 2020,33173,33342
Feb 2020,33140,33348
Mar 2020,33160,33425
Apr 2020,33108,33503
May 2020,33041,33629
Jun 2020,32901,33692
Jul 2020,32753,33656
Aug 2020,32918,33878
Sep 2020,32851,33900
Oct 2020,32951,34030
Nov 2020,33119,34205
Dec 2020,33190,34238
Jan 2021,33337,34419
Feb 2021,33415,34555
Mar 2021,33451,34628
Apr 2021,33504,34516
May 2021,33597,34408
Jun 2021,33746,34357
Aug 2021,33732,34212
Sep 2021,33810,34224
Oct 2021,33675,33966
Nov 2021,33603,33830
Dec 2021,33726,33712
Jan 2022,33909,33815
Feb 2022,33857,33646
Mar 2022,34143,33418
Apr 2022,33327,32771
May 2022,33243,32623
Jun 2022,33226,32447
Jul 2022,33197,32314
Aug 2022,33212,32225
Sep 2022,33254,32296
Oct 2022,32897,31888
Nov 2022,32964,32005
Dec 2022,32970,32097
Jan 2023,33258,32368
Feb 2023,33129,32231
Mar 2023,33099,32138
Apr 2023,32925,31932
May 2023,32935,31896
Jun 2023,33050,32381
Jul 2023,33351,32756
Aug 2023,33434,32848
Sep 2023,33474,32776
Oct 2023,33600,32920
Nov 2023,33776,33099
