pc,year2,sector,real_annual
-0.46866434,2019-05-01,private,25496.04742
0.887001746,2019-06-01,private,25722.19781
-0.308423759,2019-07-01,private,25619.12104
-1.649108,2019-08-01,private,25126.8373
0.793187937,2019-09-01,private,25302.77674
-0.301821683,2019-10-01,private,25249.70056
-0.161816337,2019-11-01,private,25162.37451
3.305421107,2019-12-01,private,25994.09694
1.25024414,2020-01-01,private,26367.69066
1.057134895,2020-02-01,private,26572.82378
8.596350545,2020-03-01,private,28857.11687
-13.46558362,2020-04-01,private,24971.33766
-1.061145921,2020-05-01,private,24706.35533
0.413768454,2020-06-01,private,24762.97843
1.660557309,2020-07-01,private,25081.96875
1.011217374,2020-08-01,private,25428.74758
1.114154937,2020-09-01,private,25617.87984
1.394650953,2020-10-01,private,25975.15985
1.204129054,2020-11-01,private,26312.02956
4.037664102,2020-12-01,private,27299.35396
-0.391149624,2021-01-01,private,27217.45148
0.732663652,2021-02-01,private,27391.80274
8.927007971,2021-03-01,private,29755.47478
-8.541224275,2021-04-01,private,27041.44046
-0.596066721,2021-05-01,private,26734.95675
0.257240168,2021-06-01,private,26707.4866
-0.349970362,2021-07-01,private,26614.01832
-0.663064087,2021-08-01,private,26272.46303
-0.052800585,2021-09-01,private,26188.50581
0.940111312,2021-10-01,private,26201.59662
0.269664425,2021-11-01,private,26111.07354
7.115503093,2021-12-01,private,27827.06779
-1.240124166,2022-01-01,private,27501.64184
0.660750419,2022-02-01,private,27491.44669
15.25073345,2022-03-01,private,31384.93083
-13.72208884,2022-04-01,private,26509.39167
-1.438725943,2022-05-01,private,25975.19889
2.811522132,2022-06-01,private,26528.19944
-1.13656817,2022-07-01,private,26075.2141
-0.357082996,2022-08-01,private,25854.11329
-0.078333475,2022-09-01,private,25728.24409
0.991385173,2022-10-01,private,25565.23591
1.080557825,2022-11-01,private,25737.95149
4.369511233,2022-12-01,private,26755.38114
-0.560878496,2023-01-01,private,26711.90777
1.796341672,2023-02-01,private,26932.7759
13.98513663,2023-03-01,private,30505.67459
-11.81638154,2023-04-01,private,26586.49863
-1.272639268,2023-05-01,private,26085.49528
1.774088805,2023-06-01,private,26486.72581
-0.77939588,2023-07-01,private,26361.77863
-0.780938102,2023-08-01,private,26075.05657
1.176352621,2023-09-01,private,26239.84457
-1.491894357,2023-10-01,private,25828.52099
0.727271806,2023-11-01,private,26056.38972
4.566136675,2023-12-01,private,27141.76867
-0.920922533,2024-01-01,private,26995.24406
2.249568519,2024-02-01,private,27433.69781
14.74580815,2024-03-01,private,31287.65645
-12.48978646,2024-04-01,private,27255.62918
-2.205549599,2024-05-01,private,26554.06136
-1.015198581,2010-01-01,public,26778.01093
0.462666755,2010-02-01,public,26841.45017
1.102080814,2010-03-01,public,27015.84511
-0.220374471,2010-04-01,public,26806.38523
0.328334097,2010-05-01,public,26834.70073
5.611727536,2010-06-01,public,28309.1713
-5.353458638,2010-07-01,public,26853.19297
0.084113477,2010-08-01,public,26756.86074
0.688575028,2010-09-01,public,26941.10181
-0.256387775,2010-10-01,public,26812.70796
0.678679238,2010-11-01,public,26905.58889
0.451695149,2010-12-01,public,26791.33282
-0.615146856,2011-01-01,public,26597.52185
0.348869422,2011-02-01,public,26545.7279
2.695343247,2011-03-01,public,27172.90707
-1.799269985,2011-04-01,public,26483.79166
-0.094725985,2011-05-01,public,26402.10847
7.114787304,2011-06-01,public,28280.56233
-5.368711249,2011-07-01,public,26762.2606
-1.161905069,2011-08-01,public,26338.62991
0.435053518,2011-09-01,public,26285.26011
-0.300086332,2011-10-01,public,26206.38164
0.636261837,2011-11-01,public,26317.42459
-0.01972356,2011-12-01,public,26229.14259
-1.242677211,2012-01-01,public,25985.25772
0.750930684,2012-02-01,public,26042.88695
2.169088006,2012-03-01,public,26551.99858
-1.241119279,2012-04-01,public,26085.7389
0.304438006,2012-05-01,public,26165.1538
6.412011302,2012-06-01,public,27930.23943
-5.268011431,2012-07-01,public,26431.2235
1.339052396,2012-08-01,public,26673.66277
-0.808013161,2012-09-01,public,26375.79747
-0.542069705,2012-10-01,public,26124.42217
0.030091292,2012-11-01,public,26078.40235
0.695995866,2012-12-01,public,26178.94115
-1.455137932,2013-01-01,public,25877.78908
-0.297871941,2013-02-01,public,25668.3951
2.30615591,2013-03-01,public,26179.79509
-0.861986839,2013-04-01,public,25901.16109
0.242689308,2013-05-01,public,25911.14056
4.748237263,2013-06-01,public,27196.85374
-4.816515901,2013-07-01,public,25886.91295
-0.16727271,2013-08-01,public,25738.55588
0.553296549,2013-09-01,public,25802.30087
-0.2916665,2013-10-01,public,25701.00468
-0.14807863,2013-11-01,public,25662.94699
0.692880768,2013-12-01,public,25736.564
-0.798118685,2014-01-01,public,25660.49283
0.201518899,2014-02-01,public,25608.42071
2.5656064,2014-03-01,public,26212.53082
-1.634538097,2014-04-01,public,25706.41414
-0.150417744,2014-05-01,public,25667.74713
1.710250284,2014-06-01,public,26054.41175
-1.322282724,2014-07-01,public,25761.52507
-0.883227526,2014-08-01,public,25457.31353
1.036815282,2014-09-01,public,25695.53759
-0.684979309,2014-10-01,public,25494.03444
-0.013930765,2014-11-01,public,25541.51493
1.193931429,2014-12-01,public,25846.4631
-1.129170744,2015-01-01,public,25734.93729
0.455310521,2015-02-01,public,25774.1651
0.334826785,2015-03-01,public,25834.49959
0.384336259,2015-04-01,public,25855.91168
-0.215794819,2015-05-01,public,25748.56728
1.55526563,2015-06-01,public,26149.0259
-1.167596711,2015-07-01,public,25869.55444
-0.346587145,2015-08-01,public,25702.78554
1.269328107,2015-09-01,public,26055.0153
-0.938875306,2015-10-01,public,25784.65801
0.378473626,2015-11-01,public,25882.24614
0.187825059,2015-12-01,public,25905.03193
-0.195310933,2016-01-01,public,25983.83816
0.306621412,2016-02-01,public,26011.43522
0.315316924,2016-03-01,public,26015.48519
0.673940755,2016-04-01,public,26138.74494
-0.543081047,2016-05-01,public,25945.20943
2.375980794,2016-06-01,public,26509.06528
-2.081080915,2016-07-01,public,25983.11603
0.486804134,2016-08-01,public,26032.20291
-0.060198459,2016-09-01,public,25939.63577
-0.30334615,2016-10-01,public,25835.49519
0.318150075,2016-11-01,public,25866.772
0.256567702,2016-12-01,public,25831.63822
-0.533977735,2017-01-01,public,25794.6606
0.257394884,2017-02-01,public,25709.52512
0.397487585,2017-03-01,public,25736.31792
0.325607388,2017-04-01,public,25695.01981
0.808517091,2017-05-01,public,25827.68794
0.661645075,2017-06-01,public,25998.57557
-0.823649999,2017-07-01,public,25784.4383
0.568359953,2017-08-01,public,25806.31852
-0.191893551,2017-09-01,public,25682.71311
0.217595008,2017-10-01,public,25713.94358
0.126819221,2017-11-01,public,25672.78144
0.157323893,2017-12-01,public,25639.70466
-0.032121348,2018-01-01,public,25754.10745
0.342582608,2018-02-01,public,25743.7957
-0.033246743,2018-03-01,public,25686.26386
0.581190376,2018-04-01,public,25737.59527
0.216932407,2018-05-01,public,25696.00285
1.367059928,2018-06-01,public,26047.28261
-0.322915465,2018-07-01,public,25963.1719
1.702381761,2018-08-01,public,26256.40272
-1.747039229,2018-09-01,public,25773.4926
0.418623644,2018-10-01,public,25857.13031
0.538285314,2018-11-01,public,25947.67875
-0.083574406,2018-12-01,public,25877.57858
-0.256612105,2019-01-01,public,25980.98393
-0.169405675,2019-02-01,public,25839.82846
0.971952058,2019-03-01,public,26042.21102
2.085988715,2019-04-01,public,26437.2026
-0.607600931,2019-05-01,public,26203.5118
1.163483529,2019-06-01,public,26508.38534
-0.260094094,2019-07-01,public,26414.95763
-0.684971275,2019-08-01,public,26161.35234
0.600759656,2019-09-01,public,26294.24011
0.016239735,2019-10-01,public,26322.79325
0.392495491,2019-11-01,public,26377.3973
-0.029980546,2019-12-01,public,26369.48921
-0.450481204,2020-01-01,public,26299.17737
0.336180714,2020-02-01,public,26314.69623
0.054484405,2020-03-01,public,26329.03364
2.257479766,2020-04-01,public,26923.40625
1.062064005,2020-05-01,public,27209.35005
0.951699263,2020-06-01,public,27417.80804
-1.327168909,2020-07-01,public,26954.82878
-0.295897607,2020-08-01,public,26973.87549
2.199350149,2020-09-01,public,27466.14698
-0.535271909,2020-10-01,public,27319.12841
0.815876252,2020-11-01,public,27567.26344
-0.567110893,2020-12-01,public,27335.75941
0.323277442,2021-01-01,public,27449.22045
0.905989955,2021-02-01,public,27672.58961
0.108034976,2021-03-01,public,27626.72684
0.042507597,2021-04-01,public,27463.22637
0.113045228,2021-05-01,public,27345.65455
0.313308919,2021-06-01,public,27332.83423
-0.867680648,2021-07-01,public,27095.67251
-0.201956131,2021-08-01,public,26872.09596
0.9255167,2021-09-01,public,27048.41522
0.105800228,2021-10-01,public,26838.25796
0.524467117,2021-11-01,public,26813.50037
0.353859927,2021-12-01,public,26771.82517
-0.082849298,2022-01-01,public,26768.78514
0.211479385,2022-02-01,public,26639.43099
1.773553102,2022-03-01,public,26855.9033
-1.45993842,2022-04-01,public,25907.86096
-0.030464367,2022-05-01,public,25748.5065
1.092917369,2022-06-01,public,25857.10367
-0.900173037,2022-07-01,public,25476.3496
0.161876033,2022-08-01,public,25391.8873
5.765471408,2022-09-01,public,26746.05433
-2.988122842,2022-10-01,public,25529.36185
5.406417178,2022-11-01,public,26801.77482
-0.530461785,2022-12-01,public,26553.21856
-2.511347258,2023-01-01,public,25990.08647
0.995077982,2023-02-01,public,25998.7204
-0.366475122,2023-03-01,public,25740.0129
0.783646185,2023-04-01,public,25638.4298
-0.331142724,2023-05-01,public,25395.18126
15.7467623,2023-06-01,public,29325.95302
-9.891389436,2023-07-01,public,26507.14743
-2.679242817,2023-08-01,public,25717.21329
2.209864767,2023-09-01,public,26144.10026
-0.570379753,2023-10-01,public,25975.01418
3.915482426,2023-11-01,public,27033.58754
1.025009219,2023-12-01,public,27206.04567
-2.926491599,2024-01-01,public,26511.43943
-0.063889355,2024-02-01,public,26332.45556
0.546196343,2024-03-01,public,26315.33242
-0.085463592,2024-04-01,public,26173.51028
0.903801467,2024-05-01,public,26310.55643
