Date,Series,Value,Series_Code,Date Label
1993-04-01,Looking after family/home,118,BEAQ,1993 Q2
1993-07-01,Looking after family/home,118,BEAQ,1993 Q3
1993-10-01,Looking after family/home,123,BEAQ,1993 Q4
1994-01-01,Looking after family/home,124,BEAQ,1994 Q1
1994-04-01,Looking after family/home,117,BEAQ,1994 Q2
1994-07-01,Looking after family/home,119,BEAQ,1994 Q3
1994-10-01,Looking after family/home,123,BEAQ,1994 Q4
1995-01-01,Looking after family/home,134,BEAQ,1995 Q1
1995-04-01,Looking after family/home,139,BEAQ,1995 Q2
1995-07-01,Looking after family/home,144,BEAQ,1995 Q3
1995-10-01,Looking after family/home,156,BEAQ,1995 Q4
1996-01-01,Looking after family/home,161,BEAQ,1996 Q1
1996-04-01,Looking after family/home,164,BEAQ,1996 Q2
1996-07-01,Looking after family/home,152,BEAQ,1996 Q3
1996-10-01,Looking after family/home,157,BEAQ,1996 Q4
1997-01-01,Looking after family/home,151,BEAQ,1997 Q1
1997-04-01,Looking after family/home,156,BEAQ,1997 Q2
1997-07-01,Looking after family/home,162,BEAQ,1997 Q3
1997-10-01,Looking after family/home,169,BEAQ,1997 Q4
1998-01-01,Looking after family/home,172,BEAQ,1998 Q1
1998-04-01,Looking after family/home,178,BEAQ,1998 Q2
1998-07-01,Looking after family/home,178,BEAQ,1998 Q3
1998-10-01,Looking after family/home,163,BEAQ,1998 Q4
1999-01-01,Looking after family/home,170,BEAQ,1999 Q1
1999-04-01,Looking after family/home,174,BEAQ,1999 Q2
1999-07-01,Looking after family/home,172,BEAQ,1999 Q3
1999-10-01,Looking after family/home,174,BEAQ,1999 Q4
2000-01-01,Looking after family/home,167,BEAQ,2000 Q1
2000-04-01,Looking after family/home,163,BEAQ,2000 Q2
2000-07-01,Looking after family/home,169,BEAQ,2000 Q3
2000-10-01,Looking after family/home,170,BEAQ,2000 Q4
2001-01-01,Looking after family/home,169,BEAQ,2001 Q1
2001-04-01,Looking after family/home,179,BEAQ,2001 Q2
2001-07-01,Looking after family/home,179,BEAQ,2001 Q3
2001-10-01,Looking after family/home,179,BEAQ,2001 Q4
2002-01-01,Looking after family/home,188,BEAQ,2002 Q1
2002-04-01,Looking after family/home,182,BEAQ,2002 Q2
2002-07-01,Looking after family/home,172,BEAQ,2002 Q3
2002-10-01,Looking after family/home,177,BEAQ,2002 Q4
2003-01-01,Looking after family/home,182,BEAQ,2003 Q1
2003-04-01,Looking after family/home,180,BEAQ,2003 Q2
2003-07-01,Looking after family/home,188,BEAQ,2003 Q3
2003-10-01,Looking after family/home,193,BEAQ,2003 Q4
2004-01-01,Looking after family/home,187,BEAQ,2004 Q1
2004-04-01,Looking after family/home,187,BEAQ,2004 Q2
2004-07-01,Looking after family/home,199,BEAQ,2004 Q3
2004-10-01,Looking after family/home,184,BEAQ,2004 Q4
2005-01-01,Looking after family/home,191,BEAQ,2005 Q1
2005-04-01,Looking after family/home,192,BEAQ,2005 Q2
2005-07-01,Looking after family/home,190,BEAQ,2005 Q3
2005-10-01,Looking after family/home,199,BEAQ,2005 Q4
2006-01-01,Looking after family/home,198,BEAQ,2006 Q1
2006-04-01,Looking after family/home,195,BEAQ,2006 Q2
2006-07-01,Looking after family/home,197,BEAQ,2006 Q3
2006-10-01,Looking after family/home,190,BEAQ,2006 Q4
2007-01-01,Looking after family/home,202,BEAQ,2007 Q1
2007-04-01,Looking after family/home,206,BEAQ,2007 Q2
2007-07-01,Looking after family/home,189,BEAQ,2007 Q3
2007-10-01,Looking after family/home,194,BEAQ,2007 Q4
2008-01-01,Looking after family/home,193,BEAQ,2008 Q1
2008-04-01,Looking after family/home,192,BEAQ,2008 Q2
2008-07-01,Looking after family/home,198,BEAQ,2008 Q3
2008-10-01,Looking after family/home,195,BEAQ,2008 Q4
2009-01-01,Looking after family/home,199,BEAQ,2009 Q1
2009-04-01,Looking after family/home,211,BEAQ,2009 Q2
2009-07-01,Looking after family/home,213,BEAQ,2009 Q3
2009-10-01,Looking after family/home,221,BEAQ,2009 Q4
2010-01-01,Looking after family/home,219,BEAQ,2010 Q1
2010-04-01,Looking after family/home,217,BEAQ,2010 Q2
2010-07-01,Looking after family/home,202,BEAQ,2010 Q3
2010-10-01,Looking after family/home,194,BEAQ,2010 Q4
2011-01-01,Looking after family/home,196,BEAQ,2011 Q1
2011-04-01,Looking after family/home,202,BEAQ,2011 Q2
2011-07-01,Looking after family/home,210,BEAQ,2011 Q3
2011-10-01,Looking after family/home,209,BEAQ,2011 Q4
2012-01-01,Looking after family/home,220,BEAQ,2012 Q1
2012-04-01,Looking after family/home,207,BEAQ,2012 Q2
2012-07-01,Looking after family/home,215,BEAQ,2012 Q3
2012-10-01,Looking after family/home,223,BEAQ,2012 Q4
2013-01-01,Looking after family/home,220,BEAQ,2013 Q1
2013-04-01,Looking after family/home,200,BEAQ,2013 Q2
2013-07-01,Looking after family/home,225,BEAQ,2013 Q3
2013-10-01,Looking after family/home,237,BEAQ,2013 Q4
2014-01-01,Looking after family/home,229,BEAQ,2014 Q1
2014-04-01,Looking after family/home,240,BEAQ,2014 Q2
2014-07-01,Looking after family/home,231,BEAQ,2014 Q3
2014-10-01,Looking after family/home,236,BEAQ,2014 Q4
2015-01-01,Looking after family/home,234,BEAQ,2015 Q1
2015-04-01,Looking after family/home,245,BEAQ,2015 Q2
2015-07-01,Looking after family/home,241,BEAQ,2015 Q3
2015-10-01,Looking after family/home,234,BEAQ,2015 Q4
2016-01-01,Looking after family/home,244,BEAQ,2016 Q1
2016-04-01,Looking after family/home,248,BEAQ,2016 Q2
2016-07-01,Looking after family/home,257,BEAQ,2016 Q3
2016-10-01,Looking after family/home,255,BEAQ,2016 Q4
2017-01-01,Looking after family/home,261,BEAQ,2017 Q1
2017-04-01,Looking after family/home,243,BEAQ,2017 Q2
2017-07-01,Looking after family/home,230,BEAQ,2017 Q3
2017-10-01,Looking after family/home,241,BEAQ,2017 Q4
2018-01-01,Looking after family/home,237,BEAQ,2018 Q1
2018-04-01,Looking after family/home,231,BEAQ,2018 Q2
2018-07-01,Looking after family/home,218,BEAQ,2018 Q3
2018-10-01,Looking after family/home,223,BEAQ,2018 Q4
2019-01-01,Looking after family/home,226,BEAQ,2019 Q1
2019-04-01,Looking after family/home,229,BEAQ,2019 Q2
2019-07-01,Looking after family/home,221,BEAQ,2019 Q3
2019-10-01,Looking after family/home,225,BEAQ,2019 Q4
2020-01-01,Looking after family/home,231,BEAQ,2020 Q1
2020-04-01,Looking after family/home,248,BEAQ,2020 Q2
2020-07-01,Looking after family/home,239,BEAQ,2020 Q3
2020-10-01,Looking after family/home,235,BEAQ,2020 Q4
2021-01-01,Looking after family/home,210,BEAQ,2021 Q1
2021-04-01,Looking after family/home,226,BEAQ,2021 Q2
2021-07-01,Looking after family/home,239,BEAQ,2021 Q3
2021-10-01,Looking after family/home,255,BEAQ,2021 Q4
2022-01-01,Looking after family/home,252,BEAQ,2022 Q1
2022-04-01,Looking after family/home,246,BEAQ,2022 Q2
2022-07-01,Looking after family/home,276,BEAQ,2022 Q3
2022-10-01,Looking after family/home,234,BEAQ,2022 Q4
2023-01-01,Looking after family/home,230,BEAQ,2023 Q1
2023-04-01,Looking after family/home,234,BEAQ,2023 Q2
1993-04-01,Temporarily sick,99,BEDI,1993 Q2
1993-07-01,Temporarily sick,97,BEDI,1993 Q3
1993-10-01,Temporarily sick,101,BEDI,1993 Q4
1994-01-01,Temporarily sick,99,BEDI,1994 Q1
1994-04-01,Temporarily sick,104,BEDI,1994 Q2
1994-07-01,Temporarily sick,97,BEDI,1994 Q3
1994-10-01,Temporarily sick,103,BEDI,1994 Q4
1995-01-01,Temporarily sick,106,BEDI,1995 Q1
1995-04-01,Temporarily sick,102,BEDI,1995 Q2
1995-07-01,Temporarily sick,105,BEDI,1995 Q3
1995-10-01,Temporarily sick,106,BEDI,1995 Q4
1996-01-01,Temporarily sick,104,BEDI,1996 Q1
1996-04-01,Temporarily sick,102,BEDI,1996 Q2
1996-07-01,Temporarily sick,97,BEDI,1996 Q3
1996-10-01,Temporarily sick,94,BEDI,1996 Q4
1997-01-01,Temporarily sick,99,BEDI,1997 Q1
1997-04-01,Temporarily sick,109,BEDI,1997 Q2
1997-07-01,Temporarily sick,101,BEDI,1997 Q3
1997-10-01,Temporarily sick,102,BEDI,1997 Q4
1998-01-01,Temporarily sick,98,BEDI,1998 Q1
1998-04-01,Temporarily sick,92,BEDI,1998 Q2
1998-07-01,Temporarily sick,83,BEDI,1998 Q3
1998-10-01,Temporarily sick,83,BEDI,1998 Q4
1999-01-01,Temporarily sick,83,BEDI,1999 Q1
1999-04-01,Temporarily sick,77,BEDI,1999 Q2
1999-07-01,Temporarily sick,81,BEDI,1999 Q3
1999-10-01,Temporarily sick,99,BEDI,1999 Q4
2000-01-01,Temporarily sick,93,BEDI,2000 Q1
2000-04-01,Temporarily sick,87,BEDI,2000 Q2
2000-07-01,Temporarily sick,84,BEDI,2000 Q3
2000-10-01,Temporarily sick,89,BEDI,2000 Q4
2001-01-01,Temporarily sick,72,BEDI,2001 Q1
2001-04-01,Temporarily sick,91,BEDI,2001 Q2
2001-07-01,Temporarily sick,88,BEDI,2001 Q3
2001-10-01,Temporarily sick,90,BEDI,2001 Q4
2002-01-01,Temporarily sick,86,BEDI,2002 Q1
2002-04-01,Temporarily sick,87,BEDI,2002 Q2
2002-07-01,Temporarily sick,94,BEDI,2002 Q3
2002-10-01,Temporarily sick,95,BEDI,2002 Q4
2003-01-01,Temporarily sick,92,BEDI,2003 Q1
2003-04-01,Temporarily sick,88,BEDI,2003 Q2
2003-07-01,Temporarily sick,86,BEDI,2003 Q3
