name,ONS_CODE,lat,lon
BALMORAL,N10000301,54.55406190456297,-5.960177938976466
BLACK MOUNTAIN,N10000302,54.59050510238595,-6.0065187784173215
BOTANIC,N10000303,54.58111444596804,-5.938165968608818
CASTLE,N10000304,54.633817785914644,-5.925554563688943
COLLIN,N10000305,54.56041792932626,-6.022615949729729
COURT,N10000306,54.608989529138036,-5.978361777937822
LISNASHARRAGH,N10000307,54.57523581252094,-5.89172804889018
OLDPARK,N10000308,54.629514500906325,-5.976763751710177
ORMISTON,N10000309,54.597078674346726,-5.845457634282094
TITANIC,N10000310,54.610445985591326,-5.886679885230001
