date,month,value,year,series
1988-01-01,January,46.9,1988,All items
1988-02-01,February,47.0,1988,All items
1988-03-01,March,47.2,1988,All items
1988-04-01,April,47.8,1988,All items
1988-05-01,May,48.0,1988,All items
1988-06-01,June,48.2,1988,All items
1988-07-01,July,48.2,1988,All items
1988-08-01,August,48.5,1988,All items
1988-09-01,September,48.7,1988,All items
1988-10-01,October,49.0,1988,All items
1988-11-01,November,49.3,1988,All items
1988-12-01,December,49.3,1988,All items
1989-01-01,January,49.5,1989,All items
1989-02-01,February,49.7,1989,All items
1989-03-01,March,50.0,1989,All items
1989-04-01,April,50.5,1989,All items
1989-05-01,May,50.9,1989,All items
1989-06-01,June,51.0,1989,All items
1989-07-01,July,51.0,1989,All items
1989-08-01,August,51.1,1989,All items
1989-09-01,September,51.5,1989,All items
1989-10-01,October,51.9,1989,All items
1989-11-01,November,52.1,1989,All items
1989-12-01,December,52.2,1989,All items
1990-01-01,January,52.4,1990,All items
1990-02-01,February,52.9,1990,All items
1990-03-01,March,53.1,1990,All items
1990-04-01,April,54.4,1990,All items
1990-05-01,May,55.0,1990,All items
1990-06-01,June,55.2,1990,All items
1990-07-01,July,55.2,1990,All items
1990-08-01,August,55.7,1990,All items
1990-09-01,September,56.2,1990,All items
1990-10-01,October,56.7,1990,All items
1990-11-01,November,56.9,1990,All items
1990-12-01,December,57.0,1990,All items
1991-01-01,January,57.0,1991,All items
1991-02-01,February,57.2,1991,All items
1991-03-01,March,57.5,1991,All items
1991-04-01,April,58.7,1991,All items
1991-05-01,May,59.2,1991,All items
1991-06-01,June,59.5,1991,All items
1991-07-01,July,59.3,1991,All items
1991-08-01,August,59.9,1991,All items
1991-09-01,September,60.1,1991,All items
1991-10-01,October,60.4,1991,All items
1991-11-01,November,60.5,1991,All items
1991-12-01,December,60.7,1991,All items
1992-01-01,January,60.5,1992,All items
1992-02-01,February,60.8,1992,All items
1992-03-01,March,61.1,1992,All items
1992-04-01,April,61.8,1992,All items
1992-05-01,May,62.2,1992,All items
1992-06-01,June,62.2,1992,All items
1992-07-01,July,62.0,1992,All items
1992-08-01,August,62.1,1992,All items
1992-09-01,September,62.3,1992,All items
1992-10-01,October,62.5,1992,All items
1992-11-01,November,62.5,1992,All items
1992-12-01,December,62.6,1992,All items
1993-01-01,January,62.4,1993,All items
1993-02-01,February,62.7,1993,All items
1993-03-01,March,63.0,1993,All items
1993-04-01,April,63.4,1993,All items
1993-05-01,May,63.6,1993,All items
1993-06-01,June,63.6,1993,All items
1993-07-01,July,63.4,1993,All items
1993-08-01,August,63.7,1993,All items
1993-09-01,September,64.0,1993,All items
1993-10-01,October,64.0,1993,All items
