date,value
2012-04-01,170 012
2012-07-01,168 182
2012-10-01,165 894
2013-01-01,162 250
2013-04-01,160 712
2013-07-01,158 185
2013-10-01,156 694
2014-01-01,152 438
2014-04-01,150 891
2014-07-01,148 709
2014-10-01,146 979
2015-01-01,145 676
2015-04-01,144 102
2015-07-01,142 728
2015-10-01,141 394
2016-01-01,141 266
2016-04-01,140 432
2016-07-01,139 912
2016-10-01,139 475
2017-01-01,139 415
2017-04-01,138 844
2017-07-01,138 048
2017-10-01,137 280
2018-01-01,137 263
2018-04-01,136 769
2018-07-01,136 307
2018-10-01,135 364
2019-01-01,134 990
2019-04-01,134 304
2019-07-01,133 456
2019-10-01,132 343
2020-01-01,132 361
2020-04-01,132 634
2020-07-01,132 252
2020-10-01,134 195
2021-01-01,135 444
2021-04-01,136 599
2021-07-01,137 394
2021-10-01,137 127
2022-01-01,137 069
2022-04-01,136 825
2022-07-01,136 179
2022-10-01,134 935
2023-01-01,134 530
2023-04-01,133 567
2023-07-01,132 346
2023-10-01,131 306
2024-01-01,130 658
