General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Estimates start after
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,346,270.6,245,206.4,23,20.1,19.1,16.2,7.7,7.5,6.8,6.9,8.7,9.2,8.4,8,7.4,6.1,7.3,11.1,10.6,8.3,8.9,8,no data,no data,no data,no data,no data,no data,2025
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.2,71.2,68.2,63.8,60.6,64.1,60.2,57.5,58.2,56.7,53.6,55.1,59.7,57.7,59.4,62.1,70.4,72,73.7,73.3,71.9,68.5,66.6,75.4,74.8,64.7,58,54.5,52.6,51.5,50.7,49.9,49.2,48.6,48,2025
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.1,69.3,76.8,106.3,95.9,90.7,79.6,79.9,69.7,53.4,50,47.3,38.2,32.7,25.4,22.5,12.8,7.6,8.9,9.5,8.5,8.6,6.5,6.9,7.7,18.1,24,34.5,40.9,46,55.1,48.1,47.7,48.1,54.1,59.2,66.4,72.7,77.3,81.7,85.9,2024
American Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.8,15.3,15.2,15.1,14.8,17.2,20.9,27.7,33.5,35,36.5,41.5,42.5,42,41,39.8,37.9,36.3,35.4,46.4,48.6,38.9,35.4,32.9,30.3,28,26.9,26.3,25.7,25.1,24.5,2024
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,118.2,100.2,65.1,50.8,41.6,29.9,16.7,18.8,28.1,48.4,32.6,26.3,23.8,29.5,35.3,50.4,65.7,59.6,81.6,100.8,119.8,75.5,57.4,75.7,57.1,51.3,51.6,53.5,55.2,56.6,57.1,57.7,2025
Anguilla,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.1,94.6,90.8,85.3,84.5,92.1,85.5,80.6,94.6,95.9,96.4,107.6,114.5,113,107.7,82.8,79.1,68.7,66.8,89.2,79.4,81.1,76.9,85.4,91.9,92.1,83.1,88.2,84.3,81.6,100.5,93,82.4,74.5,71.8,69.7,66.5,65.2,63.9,62.3,60.4,58.4,2025
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25,26.9,28.4,30.7,32.6,31.7,34.1,38.9,40.8,48,147.2,125.2,117.9,80.3,70.8,62.1,53.8,55.4,43.5,38.9,40.4,43.5,44.7,52.6,53.1,57,85.2,89.8,103.8,81,84.3,154.6,84.7,80.3,70.4,68.1,63,59.3,55.4,52.2,2025
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.8,46.5,45.2,39.2,39.6,38.1,38.2,33,26.4,24.4,18.7,16.1,16.4,40.6,40,42.2,41.4,40.9,43.7,48.7,56.7,58.9,55.7,53.7,67.4,63.4,49.2,50.5,50,49,50.6,51.2,51.4,50.4,48.8,46.7,2025
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.1,54.8,51.1,41,39.3,38.6,44.3,47.1,40.8,42.5,45.1,45.5,44.6,40.3,48.8,54.7,59.3,65.5,70,77.7,74.2,75.4,75.8,73.3,72.1,116.3,109.7,96.1,80.3,68.6,63.6,60.3,57.5,55,52.6,50.3,48,2024
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,17,16.4,21.6,27.6,30.6,31.7,31.1,29.3,25.9,23.7,22.5,19.5,17.1,15,13.2,11.9,10.8,9.9,9.6,11.7,16.6,20.3,24,27.4,30.3,33.9,37.6,40.5,41,41.6,46.5,56.9,55.4,50,49.4,50.6,51,50.6,50.7,50.5,50.2,49.7,49.1,2024
Austria,no data,no data,no data,no data,no data,no data,no data,no data,57.7,56.6,56.2,56.4,56.3,61,64.1,68.2,68.2,63.4,69.2,61.3,66.1,67.2,67.4,66.4,65.9,69.4,68.2,65.8,69.5,80.8,83.7,83.4,82.9,82.4,85.2,85.6,83.4,79.1,74.6,71,83.2,82.4,78.1,77.8,79.2,80.5,82.1,82.7,83.4,84.2,85.2,86.4,2024
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.2,16.7,11.4,14.3,25.4,13.1,13,11.9,10.7,9.7,6.9,5.3,4,3.2,4.7,5,5,5.8,6.2,8.5,18,20.6,22.5,18.7,17.7,21.3,26.3,17.3,21.8,21.6,20.1,20,20,19.9,19.9,20,20.2,2025
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.2,15.3,17.9,19.7,20.9,21,20.7,21.5,20.8,19.8,19.2,18.5,19.4,20.8,21.6,23,23.2,23.5,25.3,30.1,33.9,35.3,37.6,44.2,47.7,49.9,51.1,54.6,61.5,60.3,71.9,90.7,84.7,78.3,73.8,73.8,71.9,70.2,68.5,66.3,64.1,61.9,2025
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.2,6.7,6.5,5.9,5.6,13.6,13.1,14.8,20,24.7,24.7,25,27.2,31.1,28.2,23.2,19.4,15.7,12.1,20.5,28.8,31.6,34.8,42.3,42.6,63.2,77.4,84,90.4,97.1,125.7,122.3,111.6,123,133.7,147.6,152.4,154.5,157.3,158.9,160,161.2,2024
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37,36.6,35.6,35.3,35,33.9,33,29.6,29.4,29.1,28.3,28.7,28.2,27.7,28.3,29.6,32,34.5,35.6,37.9,39.7,41,42,41.8,43.2,45.3,46.6,47.9,48.8,2025
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.4,52,52.3,52,47.2,47,53.6,59,62,61.8,61,62.7,64.1,64.9,69.8,83.5,90.3,94.4,103.5,111.7,115.1,122.5,127.1,134.6,107.2,101.6,129.6,108.6,104,104.1,98.9,94.2,89.5,85.1,81.2,77,73.1,69.1,2025
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.2,8.1,12.3,15.8,20.3,32.5,36.8,58.2,36.9,36.9,38.8,53,53.5,53.2,47.5,41,47.5,41.2,40.8,40.7,38.7,33.1,33.1,31.5,30.7,29.7,28.9,28.2,2024
Belgium,76.8,89.7,99.6,110.3,114.6,119.4,124.7,129.2,129.7,126.4,130.3,131.8,134.7,138.9,137.1,131.3,129,124.3,119.2,115.4,109.6,108.2,105.4,101.7,97.2,95.1,91.5,87.3,93.2,99.9,100.2,102.7,104.3,105,106.6,105.6,105.5,102.5,100.1,97.6,111.2,108.5,103.1,102.2,103.9,106.3,109.2,111.5,114.2,116.6,119.5,122.3,2024
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.5,53.2,67.2,70.7,72.7,71.4,66.4,64.7,69.7,68.4,66.2,63.1,62.8,61.5,65.1,70.5,78.1,79,78.6,103,82.2,66.8,67.5,65.4,67.9,63.2,62.7,62.4,61.7,60.8,60,2025
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.6,39.4,39.6,38,30.8,23.4,21.5,27,8.4,14.3,18.3,18.7,21,21.9,19.5,18.5,22.3,30.9,35.9,39.4,40.8,40.4,46.1,55.6,59.7,61.3,60.5,57.3,57.2,55.6,53.2,52,51.1,50.3,2024
Bermuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.2,53.2,38.7,36.8,33,36.4,39.2,44,52.4,57.7,68.5,76,80.8,80.1,67.3,60.6,61,55.8,62.3,71.5,87.4,89.8,90.2,103,104.1,103.4,100.8,116,124.5,119.9,117.2,108.7,103.6,120.3,122.9,122.4,136.9,131,124,2025
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.5,74.4,77.2,85.5,80.6,73.2,48.6,35.5,32.4,34.1,32.8,30.5,30.7,31,31.8,34,38.2,41.9,44.2,48.9,67.5,68.7,69.2,78.3,83.2,84.8,102.7,no data,no data,no data,no data,no data,2025
"Bonaire, Sint Eustatius and Saba",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.4,56,34.6,35.1,31.1,27.6,25.5,24.9,20.6,18.2,30.3,36.4,42.2,40.9,43.6,43.8,47.1,46.4,44.9,38.6,34.5,32.8,37.2,35.8,31.2,29,29.4,29.9,30.8,32.5,34.8,37.1,39.4,41.7,2024
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.3,9.3,8.2,7.5,8.4,7.1,10.7,7.5,6.1,5.9,7.8,22.4,26.5,27.9,26.4,23.8,23.9,24.5,22.3,19.6,19.6,21.5,23.5,22.3,21,22.5,33.2,38.6,47,51.9,55.5,58.6,61.2,64.4,2024
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.2,67.3,76.1,71.5,68,67,64.6,63,61.4,64.7,62.4,60.6,61.6,59.6,61.6,71.7,77.4,82.7,84.8,87.1,96,88.9,83.9,84,87,93.3,96.5,100,102.3,104.1,105.5,106.5,2024
British Indian Ocean Territories,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
British Virgin Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Brunei Darussalam,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.9,1.1,1.1,2.1,2.1,2.2,3.2,3,3,2.6,1.9,1.8,2.2,1.4,1.3,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,2024
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.3,78.7,73.3,67.1,53.4,45.4,37.8,28.5,22.6,17.6,14.7,14.5,14.1,14.3,16.5,17.2,26.3,25.4,27,22.9,20.1,18.4,22.7,23.9,22.5,22.9,23.8,27.1,28.2,29.7,30.9,32.7,34.4,35.9,2025
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.3,39.7,40.7,39.2,20.1,22.4,24.9,25.9,23.7,24.5,25.2,25.9,26.1,31.3,32.9,33.9,38.1,41.7,43.6,55.5,59.2,56.8,57.2,52,48.8,47.1,46.9,46.6,46.4,46.4,2024
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,120,113.6,144.8,159.9,166.1,137,130.3,129.6,102.5,25.7,46.9,42.7,41.4,37.9,38,39.9,46.1,46.9,53,60.1,65.9,63.6,69.8,59.9,53.1,41.2,37,37.1,35.2,33.5,32.8,31.3,2024
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.3,72.9,66.4,71.9,62.2,64.7,65.6,67.8,66.7,66.2,59.6,57.5,58.8,66.2,71.6,82.9,93.5,105.7,115.7,115.6,113,112.3,109.8,149.1,149.5,127.6,117.5,112.8,101,95.9,90.7,85.8,81.1,76.1,71.4,2024
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.2,31.6,37.2,34.7,34.1,33.6,37.8,39.6,38.1,31.3,26.6,25.3,22.7,23.1,23.5,23.7,25,24.6,24,23.4,22,22.9,21.3,21.2,25.5,26.4,25.3,26.3,26.1,26.5,27.1,27.2,27.3,27.1,27.2,27.8,2025
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.8,68.4,75.9,62.2,56.6,51.5,51.7,43.8,18.4,13.8,11.2,11.3,14,15.9,14.9,17.5,20.7,31.6,32.1,36.5,38.3,41.6,44.9,47.2,45.6,43.6,43.4,40.4,39.3,38.6,37,35.4,33.4,31.9,2024
Canada,44.6,46.1,51.7,57.2,60.2,65.2,69.3,69.8,69.7,71,73.7,81.7,88.2,94.7,97.5,100.1,100.2,95.3,93.3,89,80.4,81.5,79.6,75.9,71.9,70.6,69.9,67.2,70.4,81.8,84,84.3,87,87.7,85.8,92.3,92.5,91,90.8,90.1,118.1,112.6,103.5,105.1,110,113.5,110.7,109.5,108.1,106.7,105.2,103.5,2024
Cayman Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.1,85.3,84.2,94.7,103.1,98.5,95.9,99.7,103,46.7,47.9,35.8,20.3,19.9,19.7,31.5,51.8,57.5,54.4,49.3,47.4,47.9,44.9,42.4,46.3,48.9,55.6,59.9,61.8,64,66.5,69.7,73,77,81.6,2025
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.7,52.4,43.5,42,34.4,25.2,22,20.1,17.6,15.7,23.9,22.9,22.3,20,22.3,29.4,31.3,40.2,39.1,33.8,38.4,41.6,41.7,32.1,32.2,31.4,30.4,29.9,29.9,28.6,27.5,26.5,25.7,2024
Channel Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
