General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Estimates start after
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.1,30.5,28.1,22.6,17.3,14.6,12.8,12.1,13.3,13.1,14.3,15,12.6,10.3,7,5,3.9,4.9,5.8,8.6,11.1,11.9,12.8,15,17.4,21.1,23.7,25.8,28.3,32.4,36.4,37.9,39.4,41.7,41.8,42.5,44.4,45.5,46.8,48.1,49.2,2024
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.4,21.2,20.4,20.4,21.6,22.7,24.3,25.6,26.4,26,25.9,25.2,28.7,26.7,34,33.3,33.2,33.8,36.4,39.3,40.8,50,53.9,55.9,59.8,70.1,72.1,77.3,84.1,90.4,99.2,106.9,112.5,116.7,120.3,123.8,126.8,2024
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.3,25.3,27.5,34,38,41.1,47.5,45,41.5,38.5,36,32.7,32.4,35.4,36.5,35.8,34,37.6,43.3,50.4,49.9,49.4,51.8,51,65.3,64.4,61.3,55.4,61,59.9,60.9,61.3,61,60.4,59.8,59.2,2025
Comoros,no data,no data,no data,no data,150.1,142.8,136.6,128.8,119.9,113.7,108.1,103.9,101,95.7,87.8,77.7,75.4,70.9,69.4,64.5,60.7,53,48.2,44.4,42.4,39.9,38.5,36.2,33.4,31.8,30.1,27.6,25,10.5,12,13.6,15.7,19.4,17.5,22.4,25.5,27.9,30.2,31.5,30,29.5,32.4,33.8,32.1,30,28.5,26.8,2024
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135,185.4,136,114.5,164.1,112,107.5,85.1,80.3,91.6,31.8,7.8,7.6,8.3,8.7,10.2,10.6,8.4,9.2,9.7,11.6,14,14.7,15.7,15.8,20.2,24.6,27.8,29.5,31.2,32.7,33.5,2023
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,145,180.1,163.5,185.3,122.6,99.8,94.7,93.8,69.6,83.8,43.5,34.4,30.2,33.9,42.3,74.2,84.5,88.5,71.2,77.6,102.5,97.8,93.5,102.9,98,96.8,91.3,85.8,79.1,72.3,66.1,60.4,2024
Cook Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.7,30.6,40.7,39,38.9,39.6,41.4,40.6,41,37.3,33,27,24,26,28.1,29.5,33.7,35.1,37.4,39.8,44.1,47.1,51.7,56.1,66.5,67,61.4,60.4,58.9,60.4,61.1,61.4,61.4,60.8,59.9,58.6,2024
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.3,30,35.4,36.6,36.5,37.8,40,40.9,38.4,37.1,38.9,47.9,56.8,63.1,68.9,79.5,83.2,82.8,79.3,76.2,72.8,70.9,86.5,78.2,68.5,60.9,57.4,55.9,56.5,56.9,57.6,58.1,58.4,58.7,2024
Cuba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Curacao,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.7,48.8,53.5,55,55.7,56,57.5,61,63,64.7,64,59,53.1,44.1,52.8,55.3,64.8,79.2,102.7,113,111.6,106.8,96.4,100.7,92.3,113.6,96.5,80.3,71.1,62.8,55.3,50.9,46.6,42.4,38.7,35.1,32.1,2025
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.5,11.5,12.1,13.9,15.1,16.9,22.6,25.7,28.1,28.3,27.7,27.6,27.3,28.2,33.4,36.7,39.4,43.8,44.1,41.5,39.5,36.2,33.8,31.7,29.6,36.9,40.7,42.5,42.2,43.3,44.6,46.4,47.6,48.8,50.2,51.9,53.6,2024
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.2,75.2,78,74,71.2,63,56.4,56.7,58.2,57.5,53.5,51.2,46.5,45.6,50,24.7,24.6,26.7,29.2,31.1,32.6,35.3,37.2,46.3,50.2,56,56.7,59.5,56.3,55.1,54,52.3,51.2,49.8,48.6,2025
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.7,78.7,75.3,71.5,68.3,64.4,60.3,56.8,53.6,50.1,50.3,48.2,46.2,39.4,33.2,29.5,35.5,43,46.1,50,48.7,47.8,48.7,44.6,41.7,40.2,38.5,38.3,45.2,39.6,33.3,33,30.5,27.5,27.4,27.8,28.2,28.8,29.4,29.8,2024
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.5,27.9,25.7,25,24.6,26.9,40.3,45.9,48,47.5,41.1,42.1,40.3,38.3,35.6,34,32.1,29.6,26.7,24.1,21.2,18.5,16.2,2024
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.1,56.9,54,53.4,55.9,57.4,53.7,47.7,56.3,61.8,68.9,98.5,97.9,94.9,86.2,82,77.4,71.8,64.4,62.5,66.8,69.7,73.1,73.9,71.3,68.2,76.9,84.2,85.7,97.8,118.4,116.3,110,101.3,108.2,102.6,98.3,94.7,91.4,88.2,84.8,81.6,2025
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.8,13.2,16,16.7,20.4,21.5,48.2,34.3,38.3,36,32.9,33.6,36.8,37.4,39.1,42.4,46.8,45,44.8,46.7,49.5,50.8,53.5,71.8,62.8,59.6,60.5,58.8,59,58.3,56.7,55.4,54,52.4,50,2025
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.8,55,47.2,40.2,35.8,33.1,29.6,24.9,19.7,18.4,18.6,19.3,23.4,28.2,36.4,46.1,47.4,49.5,52.1,63.6,61.8,57.2,54.5,54.1,54.4,no data,no data,no data,no data,no data,no data,2025
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.8,72.4,71.7,79.1,85.8,97.1,96.5,98.3,85.9,76.3,66.8,69.5,69.6,72.8,69.9,79.8,80.9,83.8,91.6,97.8,87.9,80.1,86.2,89.9,88.5,95.9,90.9,86.8,87,84.9,82,78,74.5,70.9,2025
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.3,36.4,31.9,30.5,28,28.5,27.8,25.7,28,29.6,37.8,43.8,46,46.8,46.3,52.6,52.2,54.2,65.8,66.8,65.6,70,69.7,71.8,73.5,75.2,77.1,77,77.9,95.4,88,83.7,85,87.4,87.2,84.5,82.2,80.3,78.4,76.6,74.4,2025
Equatorial Guinea,146.2,221.1,260.7,259.3,257.9,183.8,152.5,141.3,154.5,187,157,169.5,136.9,152.6,216,136.9,91.2,46.3,59.2,60.5,36.6,25.5,19.4,6.8,4.5,2.8,1.2,0.8,0.5,4.3,7.9,7.2,7.1,6.3,12.6,31.7,41.1,36.2,40.6,43.2,49.4,42.3,29.8,39.1,36.4,40.6,39.1,42.3,44.7,45.4,44.6,44.7,2024
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,219.1,238.6,243.4,264,193.5,205.4,199,201.3,259.7,207.1,201.8,171.6,171.6,232.4,204.5,271.4,251.2,290.4,267.1,260.4,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2019
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7,7.3,6,5.4,5.9,5.1,4.9,5.7,5.6,5.2,4.7,4.7,3.9,4.7,8,8,7.6,11.1,11.4,11.6,10.8,10.2,9.4,8.5,9,19.1,18.4,19.2,20.2,23.5,24.2,27.8,31.3,34.2,36.6,39,41.2,2024
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15,13.1,12.5,11.5,12.7,15.6,16.7,18.2,21.7,17.2,17.7,15,13.6,14.7,16.1,14.6,10.6,14.2,14.6,14.8,15.2,14.1,16,20.1,21.7,26.5,30.5,37.7,37.3,39.5,39.4,40.1,44.9,50,52.7,54,55.7,55.9,55.6,2025
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.9,141,155.2,146.6,132.8,80.3,89.3,97.8,93.6,97.3,107.4,103.7,103.1,78.2,79.6,55.7,56.1,30,39.4,44.6,39.4,44.1,44.2,50.7,51.8,55.3,58.4,54.7,53.2,53.8,46.9,38.7,33.4,43.1,40.4,36.1,33.6,31.1,29.1,27,2025
Faeroe Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Falkland Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
