sport,Women,Men
Swimming,37,32
Athletics,27,31
Artistic Gymnastics,35,17
Rhythmic Gymnastics,30,12
Diving,23,17
Tennis,19,21
Artistic Swimming,18,8
Football,16,31
Basketball,15,23
Volleyball,14,16
Boxing,8,18
Equestrian Jumping,11,7
Sport Climbing,3,4
Surfing,7,6
Rugby Sevens,5,9
Archery,11,14
Table Tennis,9,12
Hockey,7,11
Golf,5,11
