country,iso3,stock,capacity_load,consumption,storage_days,storage_maximum,capacity_proficiency
EU,not found,335.92,29.4,3519.0,34.843,1142.585,118.512
Austria,AUT,36.232,35.95,78.2,169.112,100.783,470.408
Belgium,BEL,2.296,25.57,152.95,5.48,8.981,21.432
Bulgaria,BGR,2.81,40.11,31.05,33.028,7.005,82.342
Croatia,HRV,0.496,10.39,27.6,6.559,4.774,63.132
Czech Republic,CZE,14.316,30.42,77.05,67.816,47.06,222.931
Denmark,DNK,2.641,26.97,18.4,52.385,9.792,194.236
France,FRA,27.483,21.86,368.0,27.259,125.723,124.698
Germany,DEU,53.117,21.15,903.9,21.449,251.145,101.414
Hungary,HUN,23.183,34.1,94.3,89.732,67.985,263.144
Ireland,IRL,0.0,0.0,57.5,0.0,,
Italy,ITA,93.906,46.18,677.35,50.603,203.348,109.577
Latvia,LVA,5.005,20.13,9.2,198.552,24.861,986.349
Netherlands,NLD,13.611,9.43,300.15,16.552,144.341,175.528
Poland,POL,17.726,48.82,241.5,26.79,36.308,54.875
Portugal,PRT,2.739,76.72,42.55,23.496,3.57,30.625
Romania,ROU,10.465,30.9,109.25,34.963,33.867,113.148
Slovakia,SVK,9.901,26.61,49.45,73.084,37.209,274.649
Spain,ESP,19.982,55.77,326.6,22.331,35.829,40.042
Sweden,SWE,0.012,14.58,11.5,0.384,0.083,2.634
United Kingdom,GBR,7.25,20.472,714.14,3.706,35.415,18.101
