Change,Spending power,Spending power IfG projection,Spending power per person,Spending power per person IfG projection
2010/11,0.0%,,0.0%,
2011/12,-6.9%,,-7.8%,
2012/13,-9.5%,,-11.0%,
2013/14,-12.5%,,-14.6%,
2014/15,-16.7%,,-19.3%,
2015/16,-18.7%,,-21.9%,
2016/17,-21.9%,,-25.6%,
2017/18,-21.8%,,-26.0%,
2018/19,-22.2%,,-26.8%,
2019/20,-22.6%,,-27.5%,
2020/21,-19.9%,,-25.2%,
2021/22,-19.7%,,-25.2%,
2022/23,-19.1%,,-25.5%,
2023/24,-15.4%,,-23.1%,
2024/25,-12.3%,,-21.2%,
2025/26,-8.2%,-8.2%,-18.3%,-18.3%
2026/27,,-4.6%,,-16.1%
2027/28,,-2.5%,,-15.0%
2028/29,,0.0%,,-13.7%
