,COU,Reporting country,MEASURE,Currency,MEASURE_PRINCIPLE,Measurement principle,FDI_TYPE,Type of FDI,TYPE_ENTITY,Type of entity,ACCOUNTING_ENTRY,Accounting entry,LEVEL_COUNTERPART,Level of counterpart,COUNTERPART_AREA,Partner country/territory,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
64,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PRT,Portugal,2021,2021,USD,US Dollar,6,Millions,,,959.43711114168,,
80,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TCD,Chad,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
83,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AUS,Australia,2021,2021,USD,US Dollar,6,Millions,,,23282.413713893,,
372,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TWN,Chinese Taipei,2021,2021,USD,US Dollar,6,Millions,,,835.60061389271,,
408,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TGO,Togo,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
424,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),RUS,Russian Federation,2021,2021,USD,US Dollar,6,Millions,,,1752.1574580468,,
459,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CYM,Cayman Islands,2021,2021,USD,US Dollar,6,Millions,,,72446.012063274,,
480,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),UKR,Ukraine,2021,2021,USD,US Dollar,6,Millions,,,5.6179434140303,,
547,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),FSM,"Micronesia, Federated States of",2021,2021,USD,US Dollar,6,Millions,,,0.0,,
645,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),COD,"Congo, the Democratic Republic of the",2021,2021,USD,US Dollar,6,Millions,,,0.0,,
733,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TJK,Tajikistan,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
756,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SXM,Sint Maarten,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
817,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NZL,New Zealand,2021,2021,USD,US Dollar,6,Millions,,,2194.9514649243,,
860,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ISR,Israel,2021,2021,USD,US Dollar,6,Millions,,,1710.9011691884,,
911,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MRT,Mauritania,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
930,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CMR,Cameroon,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
954,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),UMI,US Minor Outlying islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1044,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LBN,Lebanon,2021,2021,USD,US Dollar,6,Millions,,,141.67654704264,,
1085,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ARM,Armenia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1086,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),UGA,Uganda,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1097,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SUR,Suriname,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1211,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SAU,Saudi Arabia,2021,2021,USD,US Dollar,6,Millions,,,963.06279821183,,
1234,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MNE,Montenegro,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1266,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GUY,Guyana,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1292,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ALB,Albania,2021,2021,USD,US Dollar,6,Millions,,,4.8291912407153,,
1352,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CCK,Cocos islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1641,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AZE,Azerbaijan,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
1668,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SLB,Solomon Islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1738,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),R25,Total Official Development Assistance (ODA) recipients,2021,2021,USD,US Dollar,6,Millions,,,,d,Secondary Confidentiality
1765,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IMN,Isle of Man,2021,2021,USD,US Dollar,6,Millions,,,22457.900687758,,
1799,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NER,Niger,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1865,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BVT,Bouvet Island,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
1892,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TON,Tonga,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
2131,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GNQ,Equatorial Guinea,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
2166,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SGP,Singapore,2021,2021,USD,US Dollar,6,Millions,,,28036.706918845,,
2233,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KGZ,Kyrgyzstan,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
2410,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MEX,Mexico,2021,2021,USD,US Dollar,6,Millions,,,6231.5584786795,,
2507,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PAK,Pakistan,2021,2021,USD,US Dollar,6,Millions,,,133.15438145805,,
2655,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TLS,Timor-Leste,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
2665,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BEN,Benin,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
2731,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AUT,Austria,2021,2021,USD,US Dollar,6,Millions,,,6455.7744938102,,
2766,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IRQ,Iraq,2021,2021,USD,US Dollar,6,Millions,,,,d,Secondary Confidentiality
2776,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GNB,Guinea-Bissau,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
2778,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VGB,"Virgin Islands, British",2021,2021,USD,US Dollar,6,Millions,,,52457.109738652,,
2840,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PRK,"Korea, Democratic People's Republic of (North Korea)",2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
2881,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PSE,"Palestinian Territory, Occupied",2021,2021,USD,US Dollar,6,Millions,,,0.0,,
3054,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GRD,Grenada,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
3193,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BMU,Bermuda,2021,2021,USD,US Dollar,6,Millions,,,69356.613081155,,
