,Region,R&D 2022
0,"East of England, London and South East",2226.729200821892
1,England,1667.948696201983
2,UK,1572.4117746682673
3,"Midlands and South West (East Midlands, West Midlands, South West)",1256.6223143011346
4,Northern Ireland,1143.7451874543922
5,Scotland,1104.9886892795355
6,"North (North East, North West, Yorkshire and the Humber)",1087.3870985847223
7,Wales,732.7262563410459
