Category,Item,Scotland,Wales,Northern Ireland
Policy Area,Education,fully,fully,fully
Policy Area,Health & social care,fully,fully,fully
Policy Area,Housing,fully,fully,fully
Policy Area,Environmental issues,fully,fully,fully
Policy Area,Culture & Sport,fully,fully,fully
Policy Area,Justice & Policing,fully,fully,fully
Policy Area,Social security & Employment,not devolved,not devolved,not devolved
Policy Area,Local government,fully,fully,fully
Policy Area,Agriculture,fully,fully,fully
Policy Area,Pensions and child support,not devolved,not devolved,not devolved
Policy Area,Transport,partially,partially,partially
Policy Area,Business,fully,fully,fully
Policy Area,Energy,not devolved,not devolved,not devolved
Tax,Council tax,fully,fully,fully
Tax,Business tax,fully,fully,fully
Tax,Property tax,fully,fully,not devolved
Tax,Landfill tax,fully,fully,not devolved
Tax,Stamp tax,fully,fully,not devolved
Tax,Income tax,partially,partially,not devolved
Tax,Air passenger duty,partially,partially,partially
Tax,VAT,not devolved,not devolved,not devolved
Tax,Aggregates levy,fully,not devolved,fully
Tax,Corporation tax,not devolved,not devolved,fully
