DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,CELL,CELL_NAME,CELL_CODE,CELL_TYPE,CELL_TYPECODE,CELL_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402722305,T01:40 (Aged 16-64 - Inactive : All People ),T01:40,T,1,1,20701,Confidence,62200,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,31,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402722561,T01:43 (Aged 16-19 - All : All People ),T01:43,T,1,2,20100,Value,2941800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,32,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402722561,T01:43 (Aged 16-19 - All : All People ),T01:43,T,1,2,20701,Confidence,35900,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,33,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402724097,T01:61 (Aged 16-19 - Inactive : All People ),T01:61,T,1,3,20100,Value,1221100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,34,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402724097,T01:61 (Aged 16-19 - Inactive : All People ),T01:61,T,1,3,20701,Confidence,23100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,35,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402724353,T01:64 (Aged 20-24 - All : All People ),T01:64,T,1,4,20100,Value,3675800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,36,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402724353,T01:64 (Aged 20-24 - All : All People ),T01:64,T,1,4,20701,Confidence,40100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,37,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402725889,T01:82 (Aged 20-24 - Inactive : All People ),T01:82,T,1,5,20100,Value,883000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,38,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402725889,T01:82 (Aged 20-24 - Inactive : All People ),T01:82,T,1,5,20701,Confidence,19700,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,39,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402726145,T01:85 (Aged 25-34 - All : All People ),T01:85,T,1,6,20100,Value,7703100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,40,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402726145,T01:85 (Aged 25-34 - All : All People ),T01:85,T,1,6,20701,Confidence,58100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,41,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402727681,T01:103 (Aged 25-34 - Inactive : All People ),T01:103,T,1,7,20100,Value,1286200,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,42,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402727681,T01:103 (Aged 25-34 - Inactive : All People ),T01:103,T,1,7,20701,Confidence,23700,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,43,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402727937,T01:106 (Aged 35-49 - All : All People ),T01:106,T,1,8,20100,Value,12739800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,44,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402727937,T01:106 (Aged 35-49 - All : All People ),T01:106,T,1,8,20701,Confidence,74700,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,45,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402729473,T01:124 (Aged 35-49 - Inactive : All People ),T01:124,T,1,9,20100,Value,1942100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,46,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402729473,T01:124 (Aged 35-49 - Inactive : All People ),T01:124,T,1,9,20701,Confidence,29200,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,47,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402729729,T01:127 (Aged 50+ - All : All People ),T01:127,T,1,10,20100,Value,19233100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,48,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402729729,T01:127 (Aged 50+ - All : All People ),T01:127,T,1,10,20701,Confidence,91800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,49,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402731265,T01:145 (Aged 50+ - Inactive : All People ),T01:145,T,1,11,20100,Value,11868900,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,50,3920
