"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_SNP","VoteShare_GREEN","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining","ShareMuslimReligion"
"E14000530","ALDERSHOT","Hampshire","South East","England",72617,0.660065824806863,"CON","LAB",0.348368522072937,2019,0.583743636818827,0.23537511474589,0.144371192522741,0,0.0365100559125428,0,0,0,2.39043384567304,0.0365100559125428,0.0234200877129916
"E14000531","ALDRIDGE-BROWNHILLS","West Midlands","West Midlands","England",60138,0.654195350693405,"CON","LAB",0.504193991154491,2019,0.707894870621727,0.203700879467236,0.0602663819836307,0,0.0195973768491688,0,0,0.008540491078237,1.82916268046722,0.0281378679274058,0.0142043991139958
"E14000532","ALTRINCHAM AND SALE WEST","Greater Manchester","North West","England",73107,0.749080115447221,"CON","LAB",0.112101236236145,2019,0.480452130087833,0.368350893851688,0.110220404287566,0,0.028595949820134,0,0,0.0123806219527783,2.63410091894614,0.0409765717729124,0.0640581031271055
"E14000533","AMBER VALLEY","Derbyshire","East Midlands","England",69976,0.651180404710186,"CON","LAB",0.370575196962714,2019,0.638532271161147,0.267957074198433,0.0630500142647091,0,0.0304606403757105,0,0,0,2.06429191832038,0.0304606403757105,0.00242471213463242
"E14000534","ARUNDEL AND SOUTH DOWNS","West Sussex","South East","England",81726,0.751388786922154,"CON","LIBDEM",0.366743746743095,2019,0.579175351745701,0.158318134445023,0.212431605002606,0,0.0410207139134966,0,0,0.00905419489317353,2.45458656495607,0.0500749088066701,0.00353817683213317
"E14000535","ASHFIELD","Nottinghamshire","East Midlands","England",78204,0.626310674645798,"CON","OTHER",0.117047774601878,2019,0.39262964475296,0.244405879951,0.0225602286647611,0,0.0137607186606778,0,0.0510616578195182,0.275581870151082,3.41130143112933,0.340404246631278,0.00546448087431694
"E14000536","ASHFORD","Kent","South East","England",89553,0.670653132781705,"CON","LAB",0.40008991158694,2019,0.620556452821392,0.220466541234453,0.100700977372251,0,0.0439234752493382,0,0,0.0143525533225661,2.24229443854356,0.0582760285719043,0.0162970060632717
"E14000537","ASHTON-UNDER-LYNE","Greater Manchester","North West","England",67978,0.567521845302892,"LAB","CON",0.110500531377174,2019,0.370175484071645,0.480676015448819,0.0361595686772596,0,0.0313123720158636,0,0.0816765597864123,0,2.65225002357479,0.112988931802276,0.102643451804153
"E14000538","AYLESBURY","Buckinghamshire","South East","England",86665,0.698967287832458,"CON","LAB",0.28679675118859,2019,0.540428552562071,0.253631801373481,0.166419043845747,0,0.0395206022187005,0,0,0,2.59302955579088,0.0395206022187005,0.0800342170061719
"E14000539","BANBURY","Oxfordshire","South East","England",90116,0.698222291269031,"CON","LAB",0.267208086330478,2019,0.542712290014463,0.275504203683985,0.140350598369384,0,0.0414329079321689,0,0,0,2.55196976498607,0.0414329079321689,0.0339066267046745
"E14000540","BARKING","London","London","England",77953,0.570843970084538,"LAB","CON",0.346681947908942,2019,0.264994718982449,0.611676666891391,0.0333041191936897,0,0.0184273803905706,0,0.0715971145418998,0,2.21756324296712,0.0900244949324704,0.270277124702689
"E14000541","BARNSLEY CENTRAL","South Yorkshire","Yorkshire and The Humber","England",65277,0.565329289029827,"LAB","BREXIT",0.0967672004986045,2019,0.213857951928028,0.401159797306452,0.0318673278595236,0,0.0243882611169824,0,0.304392596807848,0.0243340649811668,3.31651066295565,0.353114922905997,0.00792897055900347
"E14000542","BARNSLEY EAST","South Yorkshire","Yorkshire and The Humber","England",69504,0.547738259668508,"LAB","BREXIT",0.0845022327291831,2019,0.2725768321513,0.37638560546362,0.0349356448647229,0,0.0242185447859207,0,0.291883372734437,0,3.30068740160537,0.316101917520357,0.00454651433900676
"E14000543","BARROW AND FURNESS","Cumbria","North West","England",70158,0.6563185951709,"CON","LAB",0.125722103982974,2019,0.518524953307562,0.392802849324588,0.0439777613690657,0,0.0152673413542979,0,0.029427094644486,0,2.34634218708356,0.0446944359987838,0.00420874458181319
"E14000544","BASILDON AND BILLERICAY","Essex","East","England",69906,0.63124767544989,"CON","LAB",0.46256345177665,2019,0.670549311094996,0.207985859318347,0.0847761058738216,0,0.0316125815808557,0,0,0.0050761421319797,1.99558334721073,0.0366887237128354,0.0185357665578334
"E14000545","BASINGSTOKE","Hampshire","South East","England",82928,0.659765097433919,"CON","LAB",0.259499570485991,2019,0.54087693966699,0.281377369180999,0.125034269734798,0,0.0390766362656042,0,0,0.0136347851516093,2.57024778120853,0.0527114214172135,0.0209546763071567
"E14000546","BASSETLAW","Nottinghamshire","East Midlands","England",80024,0.635321903428971,"CON","LAB",0.27562400424854,2019,0.552270805058909,0.27664680081037,0.0655376566157235,0,0,0,0.105544737514998,0,2.51907334919913,0.105544737514998,0.0061525121989466
"E14000547","BATH","Avon","South West","England",67805,0.768940343632475,"LIBDEM","CON",0.236334343473091,2019,0.308738348229698,0.127335149027581,0.545072691702789,0,0,0,0.0123134757758257,0.00654033526410679,2.44599102156248,0.0188538110399325,0.0158138947634229
"E14000548","BATLEY AND SPEN","West Yorkshire","Yorkshire and The Humber","England",79558,0.665263078508761,"LAB","CON",0.066601167646003,2019,0.360288699529541,0.426889867175544,0.0465169006367261,0,0.0130746122017118,0,0.0317040451943243,0.121525875262154,3.02891378618333,0.16630453265819,0.230797029434617
