"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_SNP","VoteShare_GREEN","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"E14000530","ALDERSHOT","Hampshire","South East","England",71465,0.635052123417057,"CON","LIBDEM",0.123083024854574,2010,0.467191080557025,0.12094570773841,0.34410805570245,0,0,0,0.0449717962277455,0.0227833597743698,2.82607805877874,0.0677551560021153
"E14000531","ALDRIDGE-BROWNHILLS","West Midlands","West Midlands","England",58909,0.655825086149824,"CON","LAB",0.39514417352591,2010,0.593078635398872,0.197934461872962,0.176864937619713,0,0.0219236941554072,0,0,0.0101982709530465,2.36526180731232,0.0321219651084537
"E14000532","ALTRINCHAM AND SALE WEST","Greater Manchester","North West","England",72208,0.684037779747396,"CON","LIBDEM",0.234749863340959,2010,0.489462069524022,0.224181564189258,0.254712206183062,0,0,0,0.0316441601036584,0,2.81127764887771,0.0316441601036584
"E14000533","AMBER VALLEY","Derbyshire","East Midlands","England",70171,0.654942925140015,"CON","LAB",0.0116628225771356,2010,0.38613516689151,0.374472344314374,0.14439270638409,0,0,0,0.0197136515949345,0.075286130815092,3.16219745261246,0.0949997824100265
"E14000534","ARUNDEL AND SOUTH DOWNS","West Sussex","South East","England",76835,0.728600247283139,"CON","LIBDEM",0.298149405165946,2010,0.577560644492873,0.086367046550677,0.279411239326927,0,0,0,0.0566610696295238,0,2.3678913052245,0.0566610696295238
"E14000535","ASHFIELD","Nottinghamshire","East Midlands","England",77379,0.622856330528955,"LAB","LIBDEM",0.00398373308988298,2010,0.221968628101917,0.336936675242759,0.332952942152876,0,0,0,0.0193584529836501,0.0887833015187982,3.54721526729666,0.108141754502448
"E14000536","ASHFORD","Kent","South East","England",81271,0.67902449828352,"CON","LIBDEM",0.313436622270544,2010,0.541415239648455,0.16678445229682,0.227978617377911,0,0.0183745583038869,0,0.0454471323729274,0,2.66435875316782,0.0638216906768144
"E14000537","ASHTON-UNDER-LYNE","Greater Manchester","North West","England",67714,0.567563576217621,"LAB","CON",0.236625728559534,2010,0.247450041631973,0.484075770191507,0.148391965029142,0,0,0,0.0438696919233972,0.07621253122398,3.07395364280787,0.120082223147377
"E14000538","AYLESBURY","Buckinghamshire","South East","England",77844,0.682929962489081,"CON","LIBDEM",0.2373499868327,2010,0.521726044919303,0.125935818817953,0.284376058086603,0,0,0,0.0679620781761408,0,2.67704300749841,0.0679620781761408
"E14000539","BANBURY","Oxfordshire","South East","England",84379,0.666528401616516,"CON","LIBDEM",0.324087409541082,2010,0.528137835386995,0.191550648103697,0.204050425845913,0,0.0170516171476325,0,0.0498924272328017,0.00931704628296083,2.77681654001518,0.076261090663395
"E14000540","BARKING","London","London","England",73868,0.613838197866465,"LAB","CON",0.365105970050504,2010,0.178042917319101,0.543148887369605,0.0820192753015901,0,0.0069911562975542,0,0.028670357056216,0.161127406655934,2.77569552351025,0.196788920009704
"E14000541","BARNSLEY CENTRAL","South Yorkshire","Yorkshire and The Humber","England",65543,0.564530155775598,"LAB","LIBDEM",0.299802708034918,2010,0.172643982595065,0.472608848409502,0.172806140374584,0,0,0,0.0466744142050215,0.135266614415827,3.29486481583906,0.181941028620848
"E14000542","BARNSLEY EAST","South Yorkshire","Yorkshire and The Humber","England",68435,0.560911814130197,"LAB","LIBDEM",0.288907414161413,2010,0.164877820038556,0.470457979471682,0.181550565310269,0,0,0,0.045094565727088,0.138019069452405,3.30514270098357,0.183113635179493
"E14000543","BARROW AND FURNESS","Cumbria","North West","England",68943,0.640006962273182,"LAB","CON",0.118031003535491,2010,0.363022391442299,0.48105339497779,0.100262895476385,0,0.0120116036624059,0,0.0190599220378932,0.0245897924032273,2.67120778501799,0.0556613181035264
"E14000544","BASILDON AND BILLERICAY","Essex","Eastern","England",65515,0.63449591696558,"CON","LAB",0.296807717289326,2010,0.527364141547788,0.230556424258462,0.157280665880825,0,0,0,0.0382737135846424,0.0465250547282831,2.78059028084517,0.0847987683129255
"E14000545","BASINGSTOKE","Hampshire","South East","England",75473,0.671153922594835,"CON","LIBDEM",0.260117660994196,2010,0.505192087495558,0.203873336755241,0.245074426501362,0,0,0,0.0409839301930746,0.00487621905476369,2.78902438474268,0.0458601492478383
"E14000546","BASSETLAW","Nottinghamshire","East Midlands","England",76513,0.647955249434737,"LAB","CON",0.165701837545636,2010,0.338927325170946,0.504629162716582,0.11235048510398,0,0,0,0.0358835750448797,0.00820945196361216,2.60756205759948,0.0440930270084918
"E14000547","BATH","Avon","South West","England",66686,0.706085235281768,"LIBDEM","CON",0.252368007475683,2010,0.313638873550525,0.0690438771609396,0.566006881026207,0,0.0237862634328675,0,0.0189015843350465,0.00862252049441448,2.35572595815501,0.0513103682623285
"E14000548","BATLEY AND SPEN","West Yorkshire","Yorkshire and The Humber","England",76738,0.666019442779327,"LAB","CON",0.0862079085875286,2010,0.335733432467863,0.421941341055391,0.158386976853392,0,0.0118374454597038,0,0,0.0721008041636502,3.11355264926966,0.083938249623354
"E14000549","BATTERSEA","London","London","England",74311,0.656591890837157,"CON","LAB",0.122499590096737,2010,0.473499754058042,0.351000163961305,0.147073290703394,0,0.0114567961960977,0,0.0103500573864568,0.00661993769470405,2.70770910700807,0.0284267912772586
