"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_GREEN","VoteShare_SNP","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"S14000022","EDINBURGH EAST",NA,"Scotland","Scotland",65896,0.660480150540245,"SNP","LAB",0.0786940238494589,2017,0.185671943570066,0.346575373940216,0.0424832847000437,0,0.425269397789674,0,0,0,2.9651817920143,0
"S14000023","EDINBURGH NORTH AND LEITH",NA,"Scotland","Scotland",79473,0.711587583204359,"SNP","LAB",0.0287346159287028,2017,0.272050502192672,0.311536285188853,0.0456040458339228,0.0305382656669967,0.340270901117556,0,0,0,3.44990643600294,0.0305382656669967
"S14000024","EDINBURGH SOUTH",NA,"Scotland","Scotland",64553,0.741096463371183,"LAB","SNP",0.324289297658863,2017,0.197073578595318,0.549101170568562,0.0290133779264214,0,0.224811872909699,0,0,0,2.55276406845051,0
"S14000025","EDINBURGH SOUTH WEST",NA,"Scotland","Scotland",71178,0.693894180786198,"SNP","CON",0.0222109738813525,2017,0.333630289532294,0.267523790240939,0.0430046568131201,0,0.355841263413646,0,0,0,3.21181378396947,0
"S14000026","EDINBURGH WEST",NA,"Scotland","Scotland",71500,0.738391608391608,"LIBDEM","SNP",0.0565962685860403,2017,0.218941187612463,0.149180793635761,0.342987025286485,0,0.286390756700445,0,0,0.00250023676484516,3.70567774506819,0.00250023676484516
"S14000027","NA H-EILEANAN AN IAR",NA,"Scotland","Scotland",21301,0.69564809163889,"SNP","LAB",0.0679578890538534,2017,0.16473208260224,0.337832366041301,0.0168713726548792,0,0.405790255095155,0,0,0.0747739236064246,3.20709274905298,0.0747739236064246
"S14000028","FALKIRK",NA,"Scotland","Scotland",82240,0.654292315175097,"SNP","LAB",0.0914902711442324,2017,0.261814938021521,0.29788697058113,0.0208143619097177,0.0168745005482354,0.389377241725362,0,0.0132319872140348,0,3.22797838851053,0.0301064877622703
"S14000029","GLASGOW CENTRAL",NA,"Scotland","Scotland",64346,0.559226680757157,"SNP","LAB",0.0630002223210316,2017,0.139339706536238,0.384309693196976,0.0290406847487772,0,0.447309915518008,0,0,0,2.71710323238082,0
"S14000030","GLASGOW EAST",NA,"Scotland","Scotland",66242,0.545967814981432,"SNP","LAB",0.00207377094508654,2017,0.188464303489465,0.38569374550683,0.0156777083448543,0,0.387767516451916,0,0.0139357407509816,0.00846098545595311,2.98370577825144,0.0223967262069347
"S14000031","GLASGOW NORTH",NA,"Scotland","Scotland",53862,0.621458542200438,"SNP","LAB",0.0316673139545305,2017,0.147432258835479,0.344665850088131,0.0344456726316733,0.0971230544020554,0.376333164042661,0,0,0,3.41557046073607,0.0971230544020554
"S14000032","GLASGOW NORTH EAST",NA,"Scotland","Scotland",59931,0.530193055346982,"LAB","SNP",0.00761605035405194,2017,0.129221085759245,0.429173878835563,0.0200472069236821,0,0.421557828481511,0,0,0,2.63851406955364,0
"S14000033","GLASGOW NORTH WEST",NA,"Scotland","Scotland",63773,0.609097894093112,"SNP","LAB",0.0659303882195448,2017,0.180259499536608,0.359051590979302,0.0357069302852435,0,0.424981979198847,0,0,0,2.91293641163256,0
"S14000034","GLASGOW SOUTH",NA,"Scotland","Scotland",69126,0.644475305963024,"SNP","LAB",0.0454994388327722,2017,0.190931537598204,0.365544332210999,0.0324803591470258,0,0.411043771043771,0,0,0,2.94040274420611,0
"S14000035","GLASGOW SOUTH WEST",NA,"Scotland","Scotland",62991,0.561635789239733,"SNP","LAB",0.00169596924642429,2017,0.156142235287467,0.404940923737916,0.0186839278647747,0,0.40663689298434,0,0.0135960201255017,0,2.82290462909958,0.0135960201255017
"S14000036","GLENROTHES",NA,"Scotland","Scotland",66378,0.60862032601163,"SNP","LAB",0.0808683383252061,2017,0.194955320676254,0.347137305378846,0.0299017302408475,0,0.428005643704052,0,0,0,2.91889985307254,0
"S14000037","GORDON",NA,"Scotland","Scotland",78531,0.68361538755396,"CON","SNP",0.0485610505727857,2017,0.40720871751886,0.118096302505355,0.11604731302971,0,0.358647666946074,0,0,0,3.10693314341905,0
"S14000038","INVERCLYDE",NA,"Scotland","Scotland",58853,0.664248211645965,"SNP","LAB",0.00982273041209419,2017,0.214846647737447,0.375156677666078,0.0250172665183025,0,0.384979408078173,0,0,0,2.97852522235308,0
"S14000039","INVERNESS, NAIRN, BADENOCH AND STRATHSPEY",NA,"Scotland","Scotland",76844,0.687119358700744,"SNP","CON",0.0932558095490616,2017,0.305259370087688,0.161966629419897,0.122668131285392,0,0.398515179636749,0,0,0.0115906895702733,3.40816952218799,0.0115906895702733
"S14000040","KILMARNOCK AND LOUDOUN",NA,"Scotland","Scotland",73327,0.634268414090308,"SNP","LAB",0.134791115698037,2017,0.266701068610377,0.288567804080931,0.0213722075297254,0,0.423358919778968,0,0,0,2.99320198546939,0
"S14000041","KIRKCALDY AND COWDENBEATH",NA,"Scotland","Scotland",72721,0.635208536736294,"LAB","SNP",0.00560691013789971,2017,0.232979022795662,0.368367501569502,0.0242028012902388,0,0.362760591431602,0,0.0116900829129955,0,3.10278096996029,0.0116900829129955
"S14000042","LANARK AND HAMILTON EAST",NA,"Scotland","Scotland",77313,0.652800951974442,"SNP","CON",0.00527045769764217,2017,0.320546859520507,0.318684366950664,0.024053893402021,0,0.325817317218149,0,0.0108975629086586,0,3.21373642731722,0.0108975629086586
"S14000043","LINLITHGOW AND EAST FALKIRK",NA,"Scotland","Scotland",86186,0.65084816559534,"SNP","LAB",0.0520376510856776,2017,0.290779762541448,0.311423681677185,0.0343352230185047,0,0.363461332762862,0,0,0,3.17641193683671,0
"S14000044","LIVINGSTON",NA,"Scotland","Scotland",81208,0.64654960102453,"SNP","LAB",0.0738596324159604,2017,0.243767260260928,0.326787924959528,0.0287972574040568,0,0.400647557375488,0,0,0,3.05287047478906,0
"S14000045","MIDLOTHIAN",NA,"Scotland","Scotland",68328,0.662583421145065,"LAB","SNP",0.0195480750115963,2017,0.254478386676386,0.363527930554635,0.0380138272259404,0,0.343979855543039,0,0,0,3.15777177329044,0
"S14000046","MORAY",NA,"Scotland","Scotland",70649,0.67382411640646,"CON","SNP",0.0873647726079194,2017,0.475517277596891,0.109400273080559,0.0226446801806533,0,0.388152504988972,0,0,0.00428526415292511,2.56885419873185,0.00428526415292511
"S14000047","MOTHERWELL AND WISHAW",NA,"Scotland","Scotland",68215,0.614615553763835,"SNP","LAB",0.00758479225301723,2017,0.202499642226781,0.37761770738921,0.0219434241282259,0,0.385202499642227,0,0.0127367266135572,0,3.00638006310323,0.0127367266135572
"S14000048","NORTH AYRSHIRE AND ARRAN",NA,"Scotland","Scotland",73176,0.648204329288291,"SNP","CON",0.0765922459047498,2017,0.312398541100078,0.274914089347079,0.0236965825480151,0,0.388990787004828,0,0,0,3.07648796305778,0
"S14000049","NORTH EAST FIFE",NA,"Scotland","Scotland",58685,0.712652296157451,"SNP","LIBDEM",4.78217206255072e-05,2017,0.241212758835063,0.0962651236191478,0.328559131557553,0,0.328606953278179,0,0,0.00535603271005691,3.52842104041735,0.00535603271005691
"S14000050","OCHIL AND SOUTH PERTHSHIRE",NA,"Scotland","Scotland",76767,0.70561569424362,"CON","SNP",0.0620107812730764,2017,0.414802097179146,0.200247378526067,0.0321592083887166,0,0.35279131590607,0,0,0,2.96159650696017,0
"S14000051","ORKNEY AND SHETLAND",NA,"Scotland","Scotland",34164,0.681331225851774,"LIBDEM","SNP",0.196030416290759,2017,0.0869527860119431,0.114447738110581,0.485973278343429,0,0.28994286205267,0,0.0121579241311166,0.0105254113502599,2.93122271350094,0.0226833354813765
"S14000052","PAISLEY AND RENFREWSHIRE NORTH",NA,"Scotland","Scotland",67436,0.691247998101904,"SNP","LAB",0.0560549179448675,2017,0.275490721870642,0.318395366298402,0.0316636275876864,0,0.374450284243269,0,0,0,3.13985201221617,0
"S14000053","PAISLEY AND RENFREWSHIRE SOUTH",NA,"Scotland","Scotland",61344,0.679968701095462,"SNP","LAB",0.0609177215189873,2017,0.194716148830073,0.345775795934024,0.031813387034906,0,0.406693517453011,0,0,0.0210011507479862,3.08329804005815,0.0210011507479862
"S14000054","PERTH AND NORTH PERTHSHIRE",NA,"Scotland","Scotland",71762,0.717998383545609,"SNP","CON",0.000407569141193553,2017,0.422765647743814,0.103813682678311,0.0502474526928675,0,0.423173216885007,0,0,0,2.69463008899358,0
"S14000055","ROSS, SKYE AND LOCHABER",NA,"Scotland","Scotland",53638,0.716917111003393,"SNP","CON",0.153924169137151,2017,0.248634732407552,0.12209393041036,0.209132990066053,0,0.402558901544703,0,0,0.017579445571332,3.53574942930449,0.017579445571332
"S14000056","RUTHERGLEN AND HAMILTON WEST",NA,"Scotland","Scotland",80098,0.635121975579915,"LAB","SNP",0.00520915238245007,2017,0.195412014467684,0.375471772291241,0.0424201918540651,0,0.370262619908791,0,0.00914058814278975,0.0072928133354301,3.14272177822758,0.0164334014782198
"S14000057","STIRLING",NA,"Scotland","Scotland",66415,0.743145373786042,"CON","SNP",0.00299862225463976,2017,0.37059324094335,0.220884998784342,0.0340991976659373,0,0.367594618688711,0,0,0.00682794391765945,3.101114511408,0.00682794391765945
"S14000058","WEST ABERDEENSHIRE AND KINCARDINE",NA,"Scotland","Scotland",72477,0.712294934944879,"CON","SNP",0.153995157384988,2017,0.47852784503632,0.11052784503632,0.086411622276029,0,0.324532687651332,0,0,0,2.82490873702293,0
"S14000059","WEST DUNBARTONSHIRE",NA,"Scotland","Scotland",67602,0.652096091831603,"SNP","LAB",0.0519020937776467,2017,0.171993739083093,0.376607762629585,0.0228886418800898,0,0.428509856407232,0,0,0,2.8124661088191,0
"W07000041","YNYS MON",NA,"Wales","Wales",52921,0.706090209935564,"LAB","CON",0.14073915486927,2017,0.277892257874595,0.418631412743865,0.0128187973345465,0,0,0.273958305456686,0.016699226590307,0,3.04903421221002,0.016699226590307
"W07000042","DELYN",NA,"Wales","Wales",54090,0.728748382325753,"LAB","CON",0.107565071794612,2017,0.414353848495611,0.521918920290223,0.0261555634481709,0,0,0.0375716677659952,0,0,2.24122675510378,0
"W07000043","ALYN AND DEESIDE",NA,"Wales","Wales",63013,0.710329614523987,"LAB","CON",0.116957104557641,2017,0.403932082216265,0.520889186773905,0.0240616621983914,0,0,0.0261617515638963,0.0249553172475424,0,2.29161832929186,0.0249553172475424
"W07000044","WREXHAM",NA,"Wales","Wales",49881,0.703514364186764,"LAB","CON",0.0522056309130286,2017,0.436595235381283,0.488800866294312,0.0246494927618831,0,0,0.0499544055625214,0,0,2.31136528096293,0
"W07000045","LLANELLI",NA,"Wales","Wales",59434,0.678769727765252,"LAB","CON",0.298051658321352,2017,0.23657726438947,0.534628922710823,0.0135838580139805,0,0,0.182217044271479,0.0329929106142482,0,2.65764490763713,0.0329929106142482
"W07000046","GOWER",NA,"Wales","Wales",62163,0.733169248588389,"LAB","CON",0.0717263472002809,2017,0.42693522906793,0.498661576268211,0.0204274179392663,0,0,0.0366201509566438,0.0140863612427593,0.0032692645251887,2.30997837251694,0.017355625767948
"W07000047","SWANSEA WEST",NA,"Wales","Wales",56892,0.655311818884905,"LAB","CON",0.284265865565152,2017,0.313287913738533,0.597553779303685,0.0340378735046403,0.0116410063837777,0,0.0410117482967652,0,0.00246767877259804,2.18244365181728,0.0141086851563757
"W07000048","SWANSEA EAST",NA,"Wales","Wales",58521,0.600792877770373,"LAB","CON",0.374527148098638,2017,0.259933445206064,0.634460593304702,0.0177763872692625,0.0102107568474644,0,0.048038908956455,0.0295799084160528,0,2.11100238385738,0.0397906652635172
"W07000049","ABERAVON",NA,"Wales","Wales",49892,0.666800288623427,"LAB","CON",0.50381748226524,2017,0.17737766021402,0.681195142479259,0.0180052903691235,0,0,0.0829926656246243,0.0404292413129734,0,1.98280451228447,0.0404292413129734
"W07000050","CARDIFF CENTRAL",NA,"Wales","Wales",59288,0.680862906490352,"LAB","CON",0.425991527733049,2017,0.198107364926797,0.624098892659846,0.134144226719845,0.010404538360542,0,0.0247479376718607,0.00849703966110932,0,2.23446937897797,0.0189015780216513
"W07000051","CARDIFF NORTH",NA,"Wales","Wales",67221,0.773895062554856,"LAB","CON",0.0802352850717004,2017,0.421110299488678,0.501345584560378,0.0329475990926916,0,0,0.0334089423705355,0.0111875744877167,0,2.32014177960393,0.0111875744877167
"W07000052","RHONDDA",NA,"Wales","Wales",50514,0.652017262541078,"LAB","PLAID_CYMRU",0.417354870051008,2017,0.101196259412193,0.640514938061695,0.00841025018217148,0,0,0.223160068010687,0.0267184843332524,0,2.1227587366813,0.0267184843332524
"W07000053","TORFAEN",NA,"Wales","Wales",61839,0.621436310418991,"LAB","CON",0.266465429753572,2017,0.309505841942283,0.575971271695855,0.0221707564599651,0,0,0.0535793281115824,0.0387728017903146,0,2.31266067302162,0.0387728017903146
"W07000054","MONMOUTH",NA,"Wales","Wales",64909,0.766211157158483,"CON","LAB",0.164997788233402,2017,0.531045160252544,0.366047372019142,0.0415007841717939,0.0191820484980094,0,0.0269031246229943,0.015321510435517,0,2.38635899738688,0.0345035589335264
