"Constituency_Name","ID","Region","Country","ElectorateSize","Votes_CON","VoteShare_CON","Votes_GREEN","VoteShare_GREEN","Votes_LAB","VoteShare_LAB","Votes_LIBDEM","VoteShare_LIBDEM","Votes_REFORM","VoteShare_REFORM","Votes_IND","VoteShare_IND","Votes_OTH","VoteShare_OTH","Votes_UKIP","VoteShare_UKIP","Votes_SNP","VoteShare_SNP","Votes_PC","VoteShare_PC","Votes_APNI","VoteShare_APNI","Votes_DUP","VoteShare_DUP","Votes_SDLP","VoteShare_SDLP","Votes_SF","VoteShare_SF","Votes_UUP","VoteShare_UUP","Votes_TUV","VoteShare_TUV","GE_ElectionYear","TotalVotes","PartyNameWinner","PartyNameRunnerUp","WinMargin","Turnout","ShareMuslimReligion","Constituency","Region_or_Country","Cand_Conservative","Cand_Labour","Cand_LiberalDemocrats","Cand_ReformUK","Cand_Green","Cand_SNP","Cand_PlaidCymru","IncumbentLabour","IncumbentConservative","IncumbentLabourCand","IncumbentConservativeCand","VoteShare_Sans_C_L","gss_code","Leave.preds","Remain.preds","LeavePct","RemainPct"
"Dunstable and Leighton Buzzard","E14001206","Eastern","England",74069,14309,0.3108,2115,0.0459,14976,0.3252,6497,0.1411,8071,0.1753,0,0,77,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46045,"LAB","CON",0.0144000000000001,0.621650083030688,0.0208065068969031,"DUNSTABLE AND LEIGHTON BUZZARD","East of England","Andrew Selous","Alex Mayer","Emma Holland-Lindsay","Harry Palmer","Sukhinder Hundal",NA,NA,0,1,NA,1,0.00169999999999998,"E14001206",32725.1557284463,24011.9714385054,0.576785561104477,0.423214438895523
"Dwyfor Meirionnydd","W07000096","Wales","Wales",72533,4712,0.1166,1448,0.0358,5912,0.1464,1381,0.0342,4857,0.1202,0,0,297,0.0074,0,0,0,0,21788,0.5394,0,0,0,0,0,0,0,0,0,0,0,0,2024,40395,"PC","LAB",0.393,0.556918919664153,0.00314362225726896,"DWYFOR MEIRIONNYDD","Wales","Tomos Day","Joanna Stallard","Phoebe Jenkins","Lucy Murphy","Karl Drinkwater",NA,"Liz Saville Roberts",0,0,NA,NA,0.5468,"W07000096",22707.5026039514,29481.7993938086,0.435098798694912,0.564901201305087
"Ealing Central and Acton","E14001207","London","England",75399,8345,0.1747,5444,0.114,22340,0.4677,6056,0.1268,3105,0.065,303,0.0063,2176,0.0456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47769,"LAB","CON",0.293,0.633549516571838,0.166369676834793,"EALING CENTRAL AND ACTON","London","James Windsor-Clive","Rupa Huq","Alastair Mitton","Felix Orrell","Kate Crossland",NA,NA,1,0,1,NA,0.0518,"E14001207",17761.2446667113,38621.064562078,0.315014494965776,0.684985505034224
"Ealing North","E14001208","London","England",72985,8144,0.1884,4056,0.0938,20663,0.478,2543,0.0588,3948,0.0913,499,0.0115,3379,0.0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,43232,"LAB","CON",0.2896,0.592340891964102,0.203401110215074,"EALING NORTH","London","Maria Khan","James Murray","Craig O'Donnell","Harvey Griffiths","Natalia Kubica",NA,NA,1,0,1,NA,0.0897,"E14001208",24921.4224293325,25722.0757168149,0.492095201587656,0.507904798412344
"Ealing Southall","E14001209","London","England",75085,7207,0.1539,4356,0.093,23000,0.4913,2832,0.0605,2585,0.0552,2124,0.0453,4712,0.1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46816,"LAB","CON",0.3374,0.623506692415263,0.19304271246147,"EALING SOUTHALL","London","Georgie Callé","Deirdre Costigan","Tariq Mahmood","Steve Chilcott","Neil Reynolds",NA,NA,1,0,0,NA,0.1461,"E14001209",19130.2145155227,29373.9820779605,0.39440328588172,0.60559671411828
"Earley and Woodley","E14001210","South East","England",70083,17361,0.3781,3418,0.0744,18209,0.3966,6142,0.1338,0,0,0,0,784,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45914,"LAB","CON",0.0184999999999999,0.655137479845326,0.0854956344063644,"EARLEY AND WOODLEY","South East","Pauline Jorgensen","Yuan Yang","Tahir Maher","","Gary Shacklady",NA,NA,0,1,NA,0,0.0170999999999999,"E14001210",24135.739501469,26020.5502057122,0.481210624676915,0.518789375323085
"Easington","E14001211","North East","England",70043,3753,0.1093,1173,0.0342,16774,0.4887,811,0.0236,10232,0.2981,0,0,1581,0.0461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,34324,"LAB","REFORM",0.1906,0.490041831446397,0.00333823513626654,"EASINGTON","North East","Joanne Howey","Grahame Morris","Tony Ferguson","Lynn Murphy","Stephen Ashfield",NA,NA,1,0,1,NA,0.0461000000000001,"E14001211",31812.9949327539,16236.6363673802,0.662086140350158,0.337913859649842
"East Antrim","N05000005","Northern Ireland","Northern Ireland",69936,0,0,568,0.0143,0,0,0,0,0,0,0,0,4135,0.1042,0,0,0,0,0,0,10156,0.256,11462,0.2889,892,0.0225,2986,0.0753,9476,0.2388,0,0,2024,39675,"DUP","APNI",0.0329,0.567304392587509,NA,"EAST ANTRIM","Northern Ireland",NA,NA,NA,NA,"Mark Bailey",NA,NA,0,0,NA,NA,0.9857,NA,NA,NA,NA,NA
"East Grinstead and Uckfield","E14001212","South East","England",72356,19319,0.3834,5277,0.1047,10440,0.2072,10839,0.2151,0,0,2482,0.0493,2036,0.0404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,50393,"CON","LIBDEM",0.1683,0.696459174083697,0.00923814107258688,"EAST GRINSTEAD AND UCKFIELD","South East","Mims Davies","Ben Cox","Benedict Dempsey","Nathan Curtis","Christina Coleman",NA,NA,0,1,NA,1,0.0896,"E14001212",27259.6468904586,28386.2325464317,0.489877187067815,0.510122812932185
"East Ham","E14001213","London","England",70902,3876,0.1023,4226,0.1115,19570,0.5165,1210,0.0319,1340,0.0354,7670,0.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,37892,"LAB","IND",0.314,0.534427801754534,0.471226479879137,"EAST HAM","London","Maria Higson","Stephen Timms","Hillary Briffa","Dan Oxley","Rosie Pearce",NA,NA,1,0,1,NA,0.2024,"E14001213",15484.8698059059,19797.6183494458,0.438882590641701,0.561117409358299
"East Hampshire","E14001214","South East","England",69959,18509,0.3694,2404,0.048,4967,0.0991,17234,0.344,6476,0.1292,0,0,516,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,50106,"CON","LIBDEM",0.0254,0.716219499992853,0.00480959718247853,"EAST HAMPSHIRE","South East","Damian Hinds","Lucy Sims","Dominic Martin","Matthew Kellerman","Richard Knight",NA,NA,0,1,NA,1,0.0103000000000001,"E14001214",25957.7351886669,28194.6133587454,0.479346434364522,0.520653565635478
"East Kilbride and Strathaven","S14000077","Scotland","Scotland",75161,3547,0.0759,1811,0.0388,22682,0.4856,1074,0.023,3377,0.0723,0,0,505,0.0108,86,0.0018,13625,0.2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46707,"LAB","SNP",0.1939,0.621426005508176,NA,"EAST KILBRIDE AND STRATHAVEN","Scotland","Ross Lambie","Joani Reid","Aisha Mir","David Mills",NA,"Grant Costello",NA,0,0,NA,NA,0.3044,"S14000077",18510.2709909082,30561.6422723627,0.377207036774796,0.622792963225204
"East Londonderry","N05000006","Northern Ireland","Northern Ireland",72213,187,0.0045,445,0.0108,0,0,0,0,0,0,0,0,5406,0.131,0,0,0,0,0,0,3734,0.0905,11506,0.2788,5260,0.1274,11327,0.2744,3412,0.0827,0,0,2024,41277,"DUP","SF",0.00439999999999996,0.571600681317768,NA,"EAST LONDONDERRY","Northern Ireland",NA,NA,NA,NA,"Jen McCahon",NA,NA,0,0,NA,NA,0.9847,NA,NA,NA,NA,NA
"East Renfrewshire","S14000021","Scotland","Scotland",72959,8494,0.1691,1510,0.0301,21935,0.4367,1150,0.0229,2360,0.047,0,0,1264,0.0252,0,0,13514,0.2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,50227,"LAB","SNP",0.1676,0.688427747090832,NA,"EAST RENFREWSHIRE","Scotland","Sandesh Gulhaneg","Blair McDougall","Alan Grant","Matt Alexander",NA,"Kirsten Oswald",NA,0,0,NA,NA,0.2942,"S14000021",13596,39345,0.256814189380631,0.743185810619369
"East Surrey","E14001215","South East","England",73145,17502,0.3558,2957,0.0601,10052,0.2043,8833,0.1795,8380,0.1703,1145,0.0233,327,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49196,"CON","LAB",0.1515,0.67258185795338,0.0155222495663049,"EAST SURREY","South East","Claire Coutinho","Tom Bowell","Claire Malcomson","Chris Scott","Shasha Khan",NA,NA,0,1,NA,1,0.03,"E14001215",30332.807720416,26745.114425761,0.531428029961102,0.468571970038898
"East Thanet","E14001216","South East","England",73790,10083,0.2361,4590,0.1075,17054,0.3993,1365,0.032,8591,0.2011,1030,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42713,"LAB","CON",0.1632,0.578845372001626,0.0169291525907598,"EAST THANET","South East","Helen Harrison","Polly Billington","Jai Singh","Paul Webb","Steve Roberts",NA,NA,0,1,NA,0,0.024,"E14001216",33346.4606786564,19518.6568133129,0.63078381853066,0.36921618146934
"East Wiltshire","E14001217","South West","England",71109,16849,0.357,1844,0.0391,12134,0.2571,8204,0.1738,7885,0.1671,0,0,278,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47194,"CON","LAB",0.0999,0.66368532815818,0.00596061840180301,"EAST WILTSHIRE","South West","Danny Kruger","Rob Newman","David Kinnaird","Stephen Talbot","Emily Herbert",NA,NA,0,1,NA,1,0.00590000000000004,"E14001217",31088.3531005974,25738.538325237,0.547071154528509,0.452928845471491
"East Worthing and Shoreham","E14001218","South East","England",75466,12601,0.2567,3246,0.0661,22126,0.4508,3180,0.0648,7169,0.1461,762,0.0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49084,"LAB","CON",0.1941,0.650412106114012,0.0143240014856007,"EAST WORTHING AND SHOREHAM","South East","Leila Williams","Tom Rutland","David Batchelor","Lionel Harman","Debbie Woudman",NA,NA,0,1,NA,0,0.0155,"E14001218",30904.6903328349,26507.9795988444,0.53829042212479,0.46170957787521
"Eastbourne","E14001219","South East","England",73322,11538,0.253,1421,0.0312,2689,0.059,23742,0.5206,6061,0.1329,0,0,0,0,154,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45605,"LIBDEM","CON",0.2676,0.621982488202722,0.0222091078981017,"EASTBOURNE","South East","Caroline Ansell","Paul Richards","Josh Babarinde","Mark Ashdown","Michael Munson",NA,NA,0,1,NA,1,0.00329999999999989,"E14001219",30700,22845,0.573349519096088,0.426650480903913
"Eastleigh","E14001220","South East","England",69982,14424,0.3107,2403,0.0518,7005,0.1509,15970,0.344,6151,0.1325,467,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46420,"LIBDEM","CON",0.0333,0.663313423451745,0.0135113467520389,"EASTLEIGH","South East","Samuel Joynson","Daniel Shearer","Liz Jarvis","Clare Fawcett","Ben Parry",NA,NA,0,1,NA,0,0.0101,"E14001220",27785.0883960179,25614.9712502614,0.520319426234084,0.479680573765916
"Edinburgh East and Musselburgh","S14000078","Scotland","Scotland",75705,2598,0.057,4669,0.1024,18790,0.4123,1949,0.0428,2129,0.0467,365,0.008,0,0,0,0,15075,0.3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45575,"LAB","SNP",0.0815,0.602007793408626,NA,"EDINBURGH EAST AND MUSSELBURGH","Scotland","Marie-Clair Munro","Chris Murray","Charles Dundas","Derek Winton",NA,"Tommy Sheppard",NA,0,0,NA,NA,0.3388,"S14000078",15870.595273037,32166.229275842,0.330383938199083,0.669616061800917
"Edinburgh North and Leith","S14000079","Scotland","Scotland",76770,3254,0.0658,5417,0.1095,20805,0.4205,3879,0.0784,1818,0.0367,139,0.0028,626,0.0126,0,0,13537,0.2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49475,"LAB","SNP",0.1469,0.644457470366028,NA,"EDINBURGH NORTH AND LEITH","Scotland","Joanna Mowat","Tracy Gilbert","Mike Andersen","Alan Melville",NA,"Deidre Brock",NA,0,0,NA,NA,0.2891,"S14000079",8616.39702314093,45467.0027366051,0.159316852516991,0.840683147483009
"Edinburgh South","S14000080","Scotland","Scotland",70980,4001,0.0854,4270,0.0912,24976,0.5334,2746,0.0586,1845,0.0394,542,0.0116,721,0.0154,0,0,7725,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46826,"LAB","SNP",0.3684,0.65970695970696,NA,"EDINBURGH SOUTH","Scotland","Christopher Cowdy","Ian Murray","Andy Williamson","Cameron Rose",NA,"Simita Kumar",NA,1,0,1,NA,0.192,"S14000080",17494.4302633736,36656.2248464735,0.32306959588735,0.67693040411265
"Edinburgh South West","S14000081","Scotland","Scotland",73315,5558,0.1217,3450,0.0756,18663,0.4087,3014,0.066,2087,0.0457,181,0.004,265,0.0058,0,0,12446,0.2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45664,"LAB","SNP",0.1361,0.622846620746096,NA,"EDINBURGH SOUTH WEST","Scotland","Sue Webber","Scott Arthur","Bruce Wilson","Ian Harper",NA,"Joanna Cherry",NA,0,0,NA,NA,0.2823,"S14000081",12085.525899326,36583.8519233492,0.24831889043988,0.75168110956012
"Edinburgh West","S14000082","Scotland","Scotland",76723,2897,0.0552,2100,0.04,7854,0.1497,26645,0.5078,2209,0.0421,506,0.0096,85,0.0016,0,0,10175,0.1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,52471,"LIBDEM","SNP",0.3139,0.683901828656335,NA,"EDINBURGH WEST","Scotland","Alastair Shields","Michael Davidson","Christine Jardine","Otto Inglis",NA,"Euan Hyslop",NA,0,0,NA,NA,0.2052,"S14000082",13585.1865941093,41559.5064720812,0.246355285318261,0.753644714681739
"Edmonton and Winchmore Hill","E14001221","London","England",75204,7888,0.1922,3681,0.0897,20520,0.4999,2721,0.0663,3501,0.0853,1700,0.0414,1034,0.0252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41045,"LAB","CON",0.3077,0.545782139247912,0.22822522153196,"EDMONTON AND WINCHMORE HILL","London","Zoe Huggins","Kate Osamor","Tim Martin","Neville Watson","Luke Balnave",NA,NA,1,0,1,NA,0.0666000000000001,"E14001221",23290.1114664114,27756.1611780233,0.456254889140287,0.543745110859713
"Ellesmere Port and Bromborough","E14001222","North West","England",71027,5210,0.1242,2706,0.0645,24186,0.5764,2328,0.0555,7278,0.1734,256,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41964,"LAB","REFORM",0.403,0.590817576414603,0.00894123580276747,"ELLESMERE PORT AND BROMBOROUGH","North West","Lee Evans","Justin Madders","Chris Carubia","Nick Goulding","Harry Gorman",NA,NA,1,0,1,NA,0.006,"E14001222",28995.2041365666,17929.0868521654,0.617914592327655,0.382085407672344
"Eltham and Chislehurst","E14001223","London","England",74179,11640,0.2555,3079,0.0676,20069,0.4404,2423,0.0532,7428,0.163,571,0.0125,356,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45566,"LAB","CON",0.1849,0.614270885290985,0.0546561455322926,"ELTHAM AND CHISLEHURST","London","Charlie Davis","Clive Efford","Ulysse Abbate","Mark Simpson","Sam Gabriel",NA,NA,1,0,1,NA,0.0202999999999999,"E14001223",53057.4562822947,56981.7028919713,0.482168863161423,0.517831136838577
"Ely and East Cambridgeshire","E14001224","Eastern","England",76279,16632,0.3176,2359,0.045,9160,0.1749,17127,0.327,6443,0.123,205,0.0039,443,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,52369,"LIBDEM","CON",0.00940000000000002,0.686545445011078,0.00711136395960745,"ELY AND EAST CAMBRIDGESHIRE","East of England","Lucy Frazer","Elizabeth McWilliams","Charlotte Cane","Edmund Fordham","Andrew Cogan",NA,NA,0,1,NA,1,0.0125000000000001,"E14001224",28598.6624409576,29579.2929516317,0.491572147009492,0.508427852990508
"Enfield North","E14001225","London","England",76824,8632,0.1985,3713,0.0854,21368,0.4913,2517,0.0579,5146,0.1183,1448,0.0333,668,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,43492,"LAB","CON",0.2928,0.566125169217953,0.177208433413397,"ENFIELD NORTH","London","Chris Dey","Feryal Clark","Gaetano Russo","Stephen Bird","Isobel Whittaker",NA,NA,1,0,1,NA,0.0486,"E14001225",24748.65408662,28073.7175166933,0.468525992594161,0.531474007405839
"Epping Forest","E14001226","Eastern","England",74553,18038,0.432,2486,0.0595,12356,0.2959,5268,0.1262,0,0,3037,0.0727,568,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41753,"CON","LAB",0.1361,0.560044532077851,0.0422109867414832,"EPPING FOREST","East of England","Neil Hudson","Rosalind Doré","Jon Whitehouse","Peter Bell","Simon Heap",NA,NA,0,1,NA,0,0.0864,"E14001226",34928.355113148,22062.5509182684,0.612875940134969,0.387124059865031
"Epsom and Ewell","E14001227","South East","England",76844,16988,0.3116,1745,0.032,8325,0.1527,20674,0.3792,5795,0.1063,0,0,998,0.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,54525,"LIBDEM","CON",0.0676,0.70955442194576,0.0411096070759702,"EPSOM AND EWELL","South East","Mhairi Fraser","Mark Todd","Helen Maguire","Mayuran Senthilnathan","Stephen McKenna",NA,NA,0,1,NA,0,0.0182,"E14001227",28611.0980841158,32592.0376496422,0.46747765030501,0.53252234969499
"Erewash","E14001228","East Midlands","England",71986,11365,0.2643,2478,0.0576,17224,0.4005,2426,0.0564,9162,0.213,351,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,43006,"LAB","CON",0.1362,0.597421720890173,0.00462204294298079,"EREWASH","East Midlands","Maggie Throup","Adam Thompson","James Archer","Liam Booth-Isherwood","Brent Poland",NA,NA,0,1,NA,1,0.00820000000000007,"E14001228",34507.2404057721,20120.8590909544,0.631675652707631,0.368324347292369
"Erith and Thamesmead","E14001229","London","England",76728,5564,0.1378,3482,0.0862,22246,0.5509,1872,0.0464,5944,0.1472,200,0.005,1071,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40379,"LAB","REFORM",0.4037,0.526261599416119,0.0878822901849217,"ERITH AND THAMESMEAD","London","Richard Mark","Abena Oppong-Asare","Pierce Chalmers","Michael Pastor","Sarah Barry",NA,NA,1,0,1,NA,0.0314999999999999,"E14001229",13733.3687218884,13994.0812033467,0.495298657428625,0.504701342571375
"Esher and Walton","E14001230","South East","England",73280,16312,0.3027,1396,0.0259,2846,0.0528,28315,0.5255,4777,0.0887,0,0,234,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,53880,"LIBDEM","CON",0.2228,0.735262008733624,0.0264472124521482,"ESHER AND WALTON","South East","John Cope","Yoel Gordon","Monica Harding","Alastair Gray","Maciej Pawlik",NA,NA,0,1,NA,0,0.00440000000000011,"E14001230",23444.4404617255,33977.0486499248,0.408286876993736,0.591713123006264
"Exeter","E14001231","South West","England",71713,6288,0.1564,5907,0.147,18225,0.4534,4201,0.1045,4914,0.1223,660,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40195,"LAB","CON",0.297,0.560498096579421,0.0226729723617843,"EXETER","South West","Tessa Tucker","Steve Race","Will Aczel","William Petty","Andrew Bell",NA,NA,1,0,0,NA,0.0164,"E14001231",22277.151912232,27597.9312428338,0.446658942762471,0.553341057237529
"Exmouth and Exeter East","E14001232","South West","England",74502,14728,0.287,2331,0.0454,14607,0.2846,11387,0.2219,7085,0.1381,1044,0.0203,134,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,51316,"CON","LAB",0.00239999999999996,0.688786878204612,0.00726268719426187,"EXMOUTH AND EXETER EAST","South West","David Reed","Helen Dallimore","Paul Arnott","Garry Sutherland","Olly Davey",NA,NA,0,1,NA,0,0.023,"E14001232",26324.4412112677,25828.4989952117,0.504754690858199,0.495245309141801
"Falkirk","S14000083","Scotland","Scotland",75067,3576,0.0839,1711,0.0401,18343,0.4303,1092,0.0256,3375,0.0792,600,0.0141,581,0.0136,0,0,13347,0.3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42625,"LAB","SNP",0.1172,0.567826075372667,NA,"FALKIRK","Scotland","James Bundy","Euan Stainbank","Tim McKay","Keith Barrow",NA,"Toni Giugliano",NA,0,0,NA,NA,0.3409,"S14000083",20324.5019167157,27468.2242896138,0.425263497817038,0.574736502182961
"Fareham and Waterlooville","E14001233","South East","England",77036,17561,0.3504,2036,0.0406,11482,0.2291,9533,0.1902,9084,0.1812,0,0,427,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,50123,"CON","LAB",0.1213,0.650643854821123,0.00641700404858299,"FAREHAM AND WATERLOOVILLE","South East","Suella Braverman","Gemma Furnivall","Paul Gray","Kevan Chippindall-Higgin","Baz Marie",NA,NA,0,1,NA,1,0.00849999999999998,"E14001233",34186.9770048428,23514.7962439146,0.592477060582865,0.407522939417135
"Farnham and Bordon","E14001234","South East","England",72938,18951,0.3575,2496,0.0471,7328,0.1382,17602,0.332,6217,0.1173,0,0,421,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,53015,"CON","LIBDEM",0.0255,0.726850201541035,0.0137334943558931,"FARNHAM AND BORDON","South East","Gregory Stafford","Alex Just","Khalil Yousuf","Ged Hall","Claire Matthes",NA,NA,0,1,NA,0,0.00790000000000006,"E14001234",25818.6658200816,33255.7177076775,0.437053495580692,0.562946504419308
"Faversham and Mid Kent","E14001235","South East","England",71798,14816,0.318,4218,0.0905,13347,0.2865,4158,0.0892,9884,0.2121,0,0,171,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46594,"CON","LAB",0.0315,0.648959581046826,0.0109428629113668,"FAVERSHAM AND MID KENT","South East","Helen Whately","Mel Dawkins","Hannah Perkin","Maxwell Harrison","Hannah Temple",NA,NA,0,1,NA,1,0.00369999999999993,"E14001235",30140.9381701913,22275.4002939283,0.575029447942527,0.424970552057473
"Feltham and Heston","E14001236","London","England",75226,8195,0.2107,2543,0.0654,16139,0.415,1821,0.0468,5130,0.1319,2858,0.0735,2201,0.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,38887,"LAB","CON",0.2043,0.516935633956345,0.177826358056688,"FELTHAM AND HESTON","London","Reva Gudi","Seema Malhotra","Dhruv Sengupta","Prabhdeep Singh","Katharine Kandelaki",NA,NA,1,0,1,NA,0.1302,"E14001236",30440.1746143083,19973.9208224434,0.603802852170536,0.396197147829464
"Fermanagh and South Tyrone","N05000007","Northern Ireland","Northern Ireland",74643,0,0,0,0,0,0,0,0,0,0,0,0,1153,0.0226,0,0,0,0,0,0,2420,0.0474,0,0,2386,0.0467,24844,0.4864,20273,0.3969,0,0,2024,51076,"SF","UUP",0.0895,0.684270460726391,NA,"FERMANAGH AND SOUTH TYRONE","Northern Ireland",NA,NA,NA,NA,"",NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA
"Filton and Bradley Stoke","E14001237","South West","England",73598,12905,0.2562,4142,0.0822,22905,0.4548,3596,0.0714,6819,0.1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,50367,"LAB","CON",0.1986,0.684352835674882,0.0280838697057481,"FILTON AND BRADLEY STOKE","South West","Jack Lopresti","Claire Hazelgrove","Benet Allen","Gareth Watson","James Nelson",NA,NA,0,1,NA,1,2.77555756156289e-17,"E14001237",25153.7304012924,26055.3310739631,0.491196863927038,0.508803136072962
"Finchley and Golders Green","E14001238","London","England",75761,17276,0.3505,3107,0.063,21857,0.4434,3375,0.0685,2598,0.0527,272,0.0055,804,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49289,"LAB","CON",0.0929,0.650585393540212,0.109163138113135,"FINCHLEY AND GOLDERS GREEN","London","Alex Deane","Sarah Sackman","Sarah Hoyle","Bepi Pezzulli","Steve Parsons",NA,NA,0,1,NA,0,0.0218999999999999,"E14001238",17540.8502665636,38552.5433171862,0.312707952682064,0.687292047317936
"Folkestone and Hythe","E14001239","South East","England",70023,11291,0.2611,3954,0.0914,15020,0.3473,1736,0.0401,10685,0.2471,0,0,560,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,43246,"LAB","CON",0.0861999999999999,0.617597075246705,0.0111376032922885,"FOLKESTONE AND HYTHE","South East","Damian Collins","Tony Vaughan","Larry Ngan","William Wright","Marianne Brett",NA,NA,0,1,NA,1,0.013,"E14001239",31853.3032716078,18309.9451629836,0.634992833710556,0.365007166289444
"Forest of Dean","E14001240","South West","England",71510,16095,0.3347,4735,0.0985,16373,0.3405,2604,0.0541,8194,0.1704,0,0,90,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48091,"LAB","CON",0.00579999999999997,0.672507341630541,0.00273068857042991,"FOREST OF DEAN","South West","Mark Harper","Matt Bishop","James Joyce","Stanley Goodin","Chris McFarling",NA,NA,0,1,NA,1,0.00180000000000008,"E14001240",31551.2820122346,22856.9207193111,0.579899361276664,0.420100638723336
"Foyle","N05000008","Northern Ireland","Northern Ireland",69890,0,0,0,0,0,0,0,0,0,0,1519,0.0396,3106,0.081,0,0,0,0,0,0,1268,0.0331,3915,0.1021,15647,0.4079,11481,0.2993,1422,0.0371,0,0,2024,38358,"SDLP","SF",0.1086,0.54883388181428,NA,"FOYLE","Northern Ireland",NA,NA,NA,NA,"",NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA
"Frome and East Somerset","E14001241","South West","England",70177,11165,0.2394,5083,0.109,6416,0.1376,16508,0.3539,6441,0.1381,1031,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46644,"LIBDEM","CON",0.1145,0.664662211265799,0.00287487252923691,"FROME AND EAST SOMERSET","South West","Lucy Trimnell","Robin Moss","Anna Sabine","David Swain","Martin Dimery",NA,NA,0,1,NA,0,0.022,"E14001241",26245.238757881,23636.617261464,0.526147999539205,0.473852000460795
"Fylde","E14001242","North West","England",75114,15917,0.3319,1560,0.0325,15356,0.3202,2120,0.0442,8295,0.173,4513,0.0941,199,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47960,"CON","LAB",0.0116999999999999,0.638496152514844,0.00690751204919395,"FYLDE","North West","Andrew Snowden","Tom Calver","Mark Jewell","Brook Wimbury","Brenden Wilkinson",NA,NA,0,0,NA,NA,0.0982,"E14001242",31145.5516704337,24036.5072372635,0.564414454388712,0.435585545611288
