"Constituency_Name","ID","Region","Country","ElectorateSize","Votes_CON","VoteShare_CON","Votes_GREEN","VoteShare_GREEN","Votes_LAB","VoteShare_LAB","Votes_LIBDEM","VoteShare_LIBDEM","Votes_REFORM","VoteShare_REFORM","Votes_IND","VoteShare_IND","Votes_OTH","VoteShare_OTH","Votes_UKIP","VoteShare_UKIP","Votes_SNP","VoteShare_SNP","Votes_PC","VoteShare_PC","Votes_APNI","VoteShare_APNI","Votes_DUP","VoteShare_DUP","Votes_SDLP","VoteShare_SDLP","Votes_SF","VoteShare_SF","Votes_UUP","VoteShare_UUP","Votes_TUV","VoteShare_TUV","GE_ElectionYear","TotalVotes","PartyNameWinner","PartyNameRunnerUp","WinMargin","Turnout","ShareMuslimReligion","Constituency","Region_or_Country","Cand_Conservative","Cand_Labour","Cand_LiberalDemocrats","Cand_ReformUK","Cand_Green","Cand_SNP","Cand_PlaidCymru","IncumbentLabour","IncumbentConservative","IncumbentLabourCand","IncumbentConservativeCand","VoteShare_Sans_C_L","gss_code","Leave.preds","Remain.preds","LeavePct","RemainPct"
"Amber Valley","E14001066","East Midlands","England",70625,10725,0.2522,2278,0.0536,15746,0.3702,1590,0.0374,12192,0.2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42531,"LAB","REFORM",0.0835,0.602208849557522,0.00235877786513992,"AMBER VALLEY","East Midlands","Nigel Mills","Linsey Farnsworth","Kate Smith","Alex Stevenson","Matt McGuinness",NA,NA,0,1,NA,1,-9.9999999999989e-05,"E14001066",33506.4293835166,17827.9991865052,0.652708724278732,0.347291275721268
"Angus and Perthshire Glens","S14000065","Scotland","Scotland",77006,14272,0.3014,0,0,6799,0.1436,3156,0.0667,3246,0.0686,733,0.0155,0,0,0,0,19142,0.4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47348,"SNP","CON",0.1029,0.614861179648339,NA,"ANGUS AND PERTHSHIRE GLENS","Scotland","Stephen Kerrb","Elizabeth Carr-Ellis","Claire McLaren","Kenneth Morton",NA,"Dave Doogan",NA,0,0,NA,NA,0.4197,"S14000065",23427.7684168395,28388.7195557975,0.45212960842138,0.54787039157862
"Arbroath and Broughty Ferry","S14000066","Scotland","Scotland",76810,6841,0.1551,0,0,14722,0.3337,2249,0.051,3800,0.0861,0,0,924,0.0209,0,0,15581,0.3532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,44117,"SNP","LAB",0.0195,0.574365317016014,NA,"ARBROATH AND BROUGHTY FERRY","Scotland","Richard Brooks","Cheryl-Ann Cruickshank","David Evans","Gwen Wood",NA,"Stephen Gethinsd",NA,0,0,NA,NA,0.3741,"S14000066",18927.6139661061,32735.6745525858,0.366364869693846,0.633635130306154
"Argyll, Bute and South Lochaber","S14000067","Scotland","Scotland",71707,9350,0.2084,0,0,8585,0.1914,7359,0.164,3045,0.0679,941,0.021,0,0,0,0,15582,0.3473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,44862,"SNP","CON",0.1389,0.625629297000293,NA,"ARGYLL, BUTE AND SOUTH LOCHABER","Scotland","Amanda Hampsey","Hamish Maxwell","Alan Reidc","Melanie Hurst",NA,"Brendan O'Hara",NA,0,0,NA,NA,0.3683,"S14000067",20419.7549330323,31229.0875174388,0.395357455544409,0.604642544455591
"Arundel and South Downs","E14001067","South East","England",76974,22001,0.4019,5515,0.1007,9782,0.1787,9867,0.1803,7391,0.135,0,0,184,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,54740,"CON","LIBDEM",0.2216,0.711149219216878,0.00260349671218498,"ARUNDEL AND SOUTH DOWNS","South East","Andrew Griffith","Chris Philipsborn","Richard Allen","David Thomas","Steve McAuliff",NA,NA,0,1,NA,1,0.00340000000000007,"E14001067",30197.7871825785,31750.6017103189,0.487466869151149,0.512533130848851
"Ashfield","E14001068","East Midlands","England",69819,3271,0.082,1100,0.0276,11554,0.2897,619,0.0155,17062,0.4278,0,0,6276,0.1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,39882,"REFORM","LAB",0.1381,0.571219868517166,0.00637465286543802,"ASHFIELD","East Midlands","Debbie Soloman","Rhea Keehn","Daniel Holmes","Lee Anderson","Alexander Coates",NA,NA,0,0,NA,NA,0.1574,"E14001068",35935.5356360179,14814.5397914436,0.708088319738195,0.291911680261805
"Ashford","E14001069","South East","England",73546,13483,0.287,4355,0.0927,15262,0.3249,2445,0.052,10141,0.2159,0,0,1289,0.0274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46975,"LAB","CON",0.0379,0.638715905691676,0.0190109797534469,"ASHFORD","South East","Damian Green","Sojan Joseph","Adam Rowledge","Tristram Kennedy Harper","Mandy Rossi",NA,NA,0,1,NA,1,0.0275000000000001,"E14001069",32626.4319402758,20978.434887572,0.608646823898578,0.391353176101422
"Ashton-under-Lyne","E14001070","North West","England",72278,4375,0.1234,2481,0.07,15575,0.4392,1411,0.0398,8784,0.2477,0,0,2835,0.0799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,35461,"LAB","REFORM",0.1915,0.490619552284236,0.105539842289894,"ASHTON-UNDER-LYNE","North West","Lizzie Hacking","Angela Rayner","Dominic Hardwick","Robert Barrowcliffe","Lee Huntbach",NA,NA,1,0,1,NA,0.0799,"E14001070",28651.8617385726,17139.6304673403,0.62570273119147,0.37429726880853
"Aylesbury","E14001071","South East","England",75636,14451,0.2894,2590,0.0519,15081,0.302,10440,0.2091,6746,0.1351,0,0,632,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49940,"LAB","CON",0.0126,0.660267597440372,0.0872059562417211,"AYLESBURY","South East","Rob Butler","Laura Kyrke-Smith","Steve Lambert","Lesley Taylor","Julie Atkins",NA,NA,0,1,NA,1,0.0125,"E14001071",27528.1760783356,26470.5240003216,0.509793310547044,0.490206689452956
"Ayr, Carrick and Cumnock","S14000107","Scotland","Scotland",72057,9247,0.226,886,0.022,14930,0.365,1081,0.026,3544,0.087,0,0,472,0.011,0,0,10776,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40936,"LAB","SNP",0.102,0.568105805126497,NA,"AYR, CARRICK AND CUMNOCK","Scotland","Martin Dowey","Elaine Stewart","Paul Kennedy","Andrew Russell",NA,"Allan Dorans",NA,0,0,NA,NA,0.274,"S14000006",20547.9187831227,26701.9618087307,0.434877687006589,0.565122312993411
