Years,Total receipts (PSCR),Total spending (TME),Public sector net borrowing (PSNB),Public sector net debt (PSND),note,date
1900-01,10.419793015590592,14.404623419485702,3.98483040389511,37.803019695119836,actual,1901-03-31
1901-02,11.321760386443776,15.45213105871193,4.130370672268153,40.95431850312761,actual,1902-03-31
1902-03,12.131178339597474,14.913190571831514,2.78201223223404,42.97228484727513,actual,1903-03-31
1903-04,12.380731555799345,13.759371969218048,1.3786404134187027,42.86311893689353,actual,1904-03-31
1904-05,12.301970120744523,13.157759346535446,0.8557892257909234,41.79005518649582,actual,1905-03-31
1905-06,12.057687354005703,12.469915981493077,0.41222862748737477,39.823317439477194,actual,1906-03-31
1906-07,11.817295203635553,11.817295203635553,0.0,37.926069274110866,actual,1907-03-31
1907-08,11.79666068479814,11.564394826755482,-0.2322658580426573,38.168247672891354,actual,1908-03-31
1908-09,12.132456649509374,12.19558077359631,0.06312412408693646,37.64135144866227,actual,1909-03-31
1909-10,12.297506556882384,12.518861674906267,0.22135511802388308,36.68952030177684,actual,1910-03-31
1910-11,12.743824386990166,12.448828452106135,-0.29499593488403164,33.87810864035074,actual,1911-03-31
1911-12,12.747464201511649,12.350876426353508,-0.3965877751581406,31.844382709730823,actual,1912-03-31
1912-13,13.054951125805255,12.479316841555939,-0.5756342842493165,30.211447628413012,actual,1913-03-31
1913-14,13.129991843132835,13.98994338557444,0.8599515424416051,29.41121260952036,actual,1914-03-31
1914-15,13.446417368549165,24.50654122765772,11.060123859108556,42.001900573850556,actual,1915-03-31
1915-16,14.921328871676714,41.98656765792095,27.065238786244237,67.78024994846878,actual,1916-03-31
1916-17,18.19763322280998,45.94955350439447,27.751920281584493,103.08815025501829,actual,1917-03-31
1917-18,19.95617263956982,47.193807576158605,27.237634936588783,125.38523577837432,actual,1918-03-31
1918-19,20.87786611730433,42.245564860774756,21.367698743470427,144.1427062385639,actual,1919-03-31
1919-20,22.175379868771866,27.786352812603077,5.610972943831211,139.230722018966,actual,1920-03-31
1920-21,22.670459506408687,22.70671049102817,0.03625098461948184,152.23840045936495,actual,1921-03-31
1921-22,26.604295806240057,27.74224561672387,1.1379498104838142,174.50678301011337,actual,1922-03-31
1922-23,27.055025232282766,26.77344647878112,-0.28157875350164474,187.43137787208204,actual,1923-03-31
1923-24,25.946467376041298,25.264301062990423,-0.6821663130508746,183.51353830989228,actual,1924-03-31
1924-25,24.269500106415244,24.780498777581293,0.5109986711660497,177.03899936016893,actual,1925-03-31
1925-26,24.30584726976887,25.70599367283577,1.400146403066902,179.65495879806045,actual,1926-03-31
1926-27,25.057067004864752,26.938105009673357,1.8810380048086053,174.22775807381035,actual,1927-03-31
1927-28,24.972933047432434,25.461937138165414,0.4890040907329798,171.364701147185,actual,1928-03-31
1928-29,25.227561759158412,25.50718447872346,0.27962271956504736,168.59524049766677,actual,1929-03-31
1929-30,24.962577463339482,25.858840218007256,0.8962627546677737,169.30061038469347,actual,1930-03-31
1930-31,25.751768342644006,27.43704878248982,1.6852804398458154,178.34836967885337,actual,1931-03-31
1931-32,27.467378263622738,29.376005819424673,1.9086275558019352,185.99692044726572,actual,1932-03-31
1932-33,28.413216706036316,28.7178834088675,0.30466670283118447,189.65819444067344,actual,1933-03-31
1933-34,27.288896922809585,26.81389436540646,-0.47500255740312625,185.83076961337994,actual,1934-03-31
1934-35,26.288596414278913,25.98304664967042,-0.30554976460849304,174.7734992174652,actual,1935-03-31
1935-36,25.740144248058467,26.177516113821575,0.43737186576310805,165.83416693518583,actual,1936-03-31
1936-37,25.31705097262552,26.269624117873196,0.9525731452476762,155.66444148477797,actual,1937-03-31
1937-38,25.270207419043306,27.390481671668514,2.120274252625208,154.13827663669812,actual,1938-03-31
1938-39,25.678266148363317,30.7733431988107,5.095077050447383,147.44486437056523,actual,1939-03-31
1939-40,26.325821703333695,40.127185553790056,13.801363850456362,136.59204179817695,actual,1940-03-31
1940-41,28.682513382714276,55.530441183908884,26.847927801194608,143.95351118046247,actual,1941-03-31
1941-42,32.637342467452385,59.69854350002236,27.061201032569976,158.36524631843113,actual,1942-03-31
1942-43,35.26303351939861,60.947890063230744,25.684856543832133,176.65078706033782,actual,1943-03-31
1943-44,37.97833112132199,62.24368436803856,24.265353246716565,200.6751931365828,actual,1944-03-31
1944-45,39.39881208876743,61.79193556579003,22.3931234770226,233.31594631784586,actual,1945-03-31
1945-46,39.939805580996804,55.126568303056956,15.186762722060152,246.63241970824953,actual,1946-03-31
1946-47,37.082211380795066,43.47604662161746,6.393835240822398,251.69599422914263,actual,1947-03-31
1947-48,36.983256969582335,37.723109413390134,0.7398524438077985,230.0466203237141,actual,1948-03-31
1948-49,42.94091903719912,38.59956236323851,-6.975929978118161,210.65423868762173,actual,1949-03-31
1949-50,43.29854548442764,38.47481304955214,-7.8149396006245375,204.87066969642828,actual,1950-03-31
1950-51,42.8414442700157,39.183673469387756,-7.417582417582418,185.64095514984703,actual,1951-03-31
1951-52,41.13123121023561,40.64881493392994,-5.921834580158008,169.39303389839512,actual,1952-03-31
1952-53,39.92662203913492,41.27188465499485,-4.42842430484037,158.43150964015766,actual,1953-03-31
1953-54,37.998201977824394,40.503446209169915,-3.5540905004495054,152.63311486036775,actual,1954-03-31
1954-55,37.46378046701893,38.923924777001304,-3.505482643031646,143.26304570736897,actual,1955-03-31
1955-56,35.96607744967814,35.771942372534994,-4.505977316848881,132.41429970617042,actual,1956-03-31
1956-57,35.573197240336455,35.96068424534543,-3.8606936962479916,123.83310408069693,actual,1957-03-31
1957-58,35.16815496023813,35.194810964503084,-3.936203296459194,118.37941227612589,actual,1958-03-31
1958-59,35.65031069209342,35.95457467323763,-3.7711592029140775,114.27140293025002,actual,1959-03-31
1959-60,33.65898765729908,35.94660877256463,-1.8292928074619064,107.53809763852806,actual,1960-03-31
1960-61,33.45846315552386,35.94354142422763,-1.5165734449491348,102.42540695355835,actual,1961-03-31
1961-62,35.46426921573505,37.631924949362144,-2.235172879428592,99.4140692715737,actual,1962-03-31
1962-63,35.4804753820034,37.30730050933786,-2.4448217317487266,98.23914689135371,actual,1963-03-31
1963-64,34.635506406440896,37.33905579399141,-2.8319914789636917,90.65714885576317,actual,1964-03-31
1964-65,35.16568641514847,37.03342418591307,-4.145746664753982,84.17952546872407,actual,1965-03-31
1965-66,36.96110621713249,38.48535810576333,-4.484664050612637,80.87165195850751,actual,1966-03-31
1966-67,37.64049162682421,40.036045958597214,-4.355553330496384,77.73781169493998,actual,1967-03-31
1967-68,39.090438546960286,42.94184076792772,-4.114906832298137,77.03606911933674,actual,1968-03-31
1968-69,40.80790368453692,41.38528323674701,-6.334067532023181,69.78950610945682,actual,1969-03-31
1969-70,41.85236905768739,40.13728536868398,-7.885057923411286,61.1520899192132,actual,1970-03-31
1970-71,40.048161044990735,39.48859206901928,-6.837828941669699,54.67863507790912,actual,1971-03-31
1971-72,38.3739837398374,39.35578784359272,-4.391792489353465,52.60608551424504,actual,1972-03-31
1972-73,35.87960771051742,38.4673655732161,-2.3280351707811975,46.561387563432554,actual,1973-03-31
1973-74,36.17645283929757,40.25948946955524,-1.161064510289059,45.17207605795535,actual,1974-03-31
1974-75,39.01224256992116,44.70778757817116,0.16907376097451673,47.74910184031088,actual,1975-03-31
1975-76,40.11949289993711,46.45079606765748,0.7704147495945186,49.329063738944804,actual,1976-03-31
1976-77,40.20918234478487,45.13890355229911,0.4258254326879087,47.79034583068192,actual,1977-03-31
1977-78,38.385912101143894,42.25346177001807,0.7170379289584589,44.32080457591401,actual,1978-03-31
1978-79,36.902026429885936,41.41704530094927,1.7893719003108786,42.17962999990478,actual,1979-03-31
1979-80,37.265684116392656,40.939929146316295,1.147932860975442,39.07540119932036,actual,1980-03-31
1980-81,38.496101196928805,42.80870819907446,2.063038748794474,40.3315837411974,actual,1981-03-31
1981-82,40.87762060745454,42.88894625847831,0.5468364955525529,40.020457741976735,actual,1982-03-31
1982-83,40.580059795571216,43.18871030297847,0.6733873061148454,38.661072239307664,actual,1983-03-31
1983-84,39.4794756215404,42.775552837218136,1.1093050924141628,38.82256250540704,actual,1984-03-31
1984-85,39.2158640755067,42.46345008407194,1.3127657204148413,38.6901534791566,actual,1985-03-31
1985-86,38.29025497729654,40.42230319736432,0.6379152467172027,37.08208490314159,actual,1986-03-31
1986-87,37.404077041541534,39.32418389966234,0.9870755278646173,34.86376536976784,actual,1987-03-31
1987-88,36.18057836375295,37.17253945166487,0.6992993321759802,30.974360113017557,actual,1988-03-31
1988-89,35.53819718408641,34.56858310101169,-1.0248452650220046,25.655406330225304,actual,1989-03-31
1989-90,34.72748384186391,34.747180168975426,-0.760055848617842,23.075532491838494,actual,1990-03-31
1990-91,33.91537974590369,34.99227111457889,0.09436601057017092,21.648991194262088,actual,1991-03-31
1991-92,33.544990432035256,36.871590493908556,2.0574973787836153,22.859348825666448,actual,1992-03-31
1992-93,32.06588459502955,38.339106153569205,5.21489374085519,26.673113659963377,actual,1993-03-31
1993-94,31.347099815535973,37.924011067841775,5.788711826193892,31.148685719986034,actual,1994-03-31
1994-95,32.22789633589237,37.57872629683682,4.53219829403008,34.549022083973185,actual,1995-03-31
1995-96,33.28845436364943,37.405771543643446,3.351439409914931,36.051544418614284,actual,1996-03-31
1996-97,32.44972914409534,35.58342361863488,2.776273022751896,36.56996878379034,actual,1997-03-31
1997-98,34.629717741475694,35.6973223328285,0.5695135085826121,36.64717031782573,actual,1998-03-31
1998-99,35.157740496710545,35.15358226613666,-0.5163136295907608,35.13586480578508,actual,1999-03-31
1999-00,35.82453228584012,34.75375655234599,-1.5350400465776575,32.49177819142283,actual,2000-03-31
2000-01,36.51066486765803,35.055818309697415,-1.8595337888270078,28.275377590446084,actual,2001-03-31
2001-02,35.83028958756919,36.3328222096683,-0.5944307479500816,28.112244897959187,actual,2002-03-31
2002-03,34.638250984602884,37.55686128204768,1.4737815616823409,29.796492859172023,actual,2003-03-31
2003-04,35.466155168701604,38.91915932868249,1.7608018846426456,30.93456021303167,actual,2004-03-31
2004-05,36.04402776732608,39.930693445531176,1.840699234737023,33.46319774288589,actual,2005-03-31
2005-06,36.69823472222908,39.937620600993924,1.38725071682023,34.311233253177605,actual,2006-03-31
2006-07,37.168949587351825,39.96806736937294,0.9827391549492887,35.12225853447258,actual,2007-03-31
2007-08,37.39809671974418,40.31611491209415,1.1255422867080123,35.61952668481555,actual,2008-03-31
2008-09,36.09599369290433,43.485352616806665,4.3840126748364945,50.601601098425,actual,2009-03-31
2009-10,36.13818368187105,46.440881961736096,7.299799811050405,64.71980461280506,actual,2010-03-31
2010-11,37.02558570557118,45.717501227099014,6.2473008429049095,70.87252587450584,actual,2011-03-31
2011-12,37.34209555934195,44.553421110980295,5.369214154788038,74.26555884656378,actual,2012-03-31
2012-13,36.87049327697339,44.0464163854176,5.296060658224268,77.47155350255119,actual,2013-03-31
2013-14,36.75879533487743,42.495235201962025,4.283772411736204,79.21774442775738,actual,2014-03-31
2014-15,36.783420301354056,42.028909001909994,3.3163556400174468,81.56653154592702,actual,2015-03-31
2015-16,36.971067750116454,41.19548677604679,2.5551990062626158,81.08894058697209,actual,2016-03-31
2016-17,37.52298115917414,40.38655029832053,1.0534334919542354,83.33479150991269,actual,2017-03-31
2017-18,37.1884721287168,40.03551538038954,0.6381238121239236,82.29406468630918,actual,2018-03-31
2018-19,37.39001300107744,39.45509567707274,-0.03505598376199471,80.24559426428586,actual,2019-03-31
2019-20,36.9312393054879,39.64396530651207,0.814477982910192,85.41054166568667,actual,2020-03-31
2020-21,37.97298074159241,53.0420618951806,11.62149084986107,96.58256646354253,actual,2021-03-31
