Constituency,GEO_CODE,Date,Inac_pc,Inac_pc_low,Inac_pc_high
Aberavon,W07000049,2023-12,0.28300000000000003,0.20500000000000002,0.36100000000000004
Aberconwy,W07000058,2023-12,0.265,0.189,0.341
Aberdeen North,S14000001,2023-12,0.21,0.134,0.286
Aberdeen South,S14000002,2023-12,0.23199999999999998,0.16099999999999998,0.303
Airdrie and Shotts,S14000003,2023-12,0.265,0.15500000000000003,0.375
Aldershot,E14000530,2023-12,0.139,0.05700000000000002,0.221
Aldridge-Brownhills,E14000531,2023-12,0.14300000000000002,0.06800000000000002,0.21800000000000003
Altrincham and Sale West,E14000532,2023-12,0.23199999999999998,0.16399999999999998,0.3
Alyn and Deeside,W07000043,2023-12,0.19,0.124,0.256
Amber Valley,E14000533,2023-12,0.23199999999999998,0.14399999999999996,0.32
Angus,S14000004,2023-12,0.308,0.238,0.378
Arfon,W07000057,2023-12,0.225,0.169,0.281
Argyll and Bute,S14000005,2023-12,0.295,0.22699999999999998,0.363
Arundel and South Downs,E14000534,2023-12,0.233,0.138,0.328
Ashfield,E14000535,2023-12,0.335,0.23500000000000001,0.43500000000000005
Ashford,E14000536,2023-12,0.268,0.17800000000000002,0.358
Ashton-under-Lyne,E14000537,2023-12,0.263,0.182,0.34400000000000003
Aylesbury,E14000538,2023-12,0.13,0.052000000000000005,0.20800000000000002
"Ayr, Carrick and Cumnock",S14000006,2023-12,0.32,0.251,0.389
Banbury,E14000539,2023-12,0.159,0.079,0.239
Banff and Buchan,S14000007,2023-12,0.265,0.15000000000000002,0.38
Barking,E14000540,2023-12,0.265,0.191,0.339
Barnsley Central,E14000541,2023-12,0.308,0.23299999999999998,0.383
Barnsley East,E14000542,2023-12,0.258,0.193,0.323
Barrow and Furness,E14000543,2023-12,0.23199999999999998,0.15599999999999997,0.308
Basildon and Billericay,E14000544,2023-12,0.239,0.129,0.349
Basingstoke,E14000545,2023-12,0.172,0.09799999999999998,0.246
Bassetlaw,E14000546,2023-12,0.215,0.11800000000000001,0.312
Bath,E14000547,2023-12,0.183,0.128,0.238
Batley and Spen,E14000548,2023-12,0.287,0.19399999999999995,0.38
Battersea,E14000549,2023-12,0.07400000000000001,,
Beaconsfield,E14000550,2023-12,0.14400000000000002,0.07600000000000001,0.21200000000000002
Beckenham,E14000551,2023-12,0.205,0.10899999999999999,0.301
Bedford,E14000552,2023-12,0.133,0.066,0.2
Bermondsey and Old Southwark,E14000553,2023-12,0.20800000000000002,0.11700000000000002,0.29900000000000004
Berwick-upon-Tweed,E14000554,2023-12,0.263,0.17700000000000002,0.349
"Berwickshire, Roxburgh and Selkirk",S14000008,2023-12,0.23,0.171,0.28900000000000003
Bethnal Green and Bow,E14000555,2023-12,0.32299999999999995,0.23799999999999993,0.408
Beverley and Holderness,E14000556,2023-12,0.249,0.16999999999999998,0.328
Bexhill and Battle,E14000557,2023-12,0.313,0.20400000000000001,0.422
Bexleyheath and Crayford,E14000558,2023-12,0.23,0.12000000000000001,0.34
Birkenhead,E14000559,2023-12,0.261,0.133,0.389
"Birmingham, Edgbaston",E14000560,2023-12,0.258,0.14500000000000002,0.371
"Birmingham, Erdington",E14000561,2023-12,0.319,0.224,0.41400000000000003
"Birmingham, Hall Green",E14000562,2023-12,0.237,0.12199999999999998,0.352
"Birmingham, Hodge Hill",E14000563,2023-12,0.45,0.325,0.575
"Birmingham, Ladywood",E14000564,2023-12,0.297,0.187,0.407
"Birmingham, Northfield",E14000565,2023-12,0.22899999999999998,0.13699999999999998,0.32099999999999995
"Birmingham, Perry Barr",E14000566,2023-12,0.214,0.124,0.304
"Birmingham, Selly Oak",E14000567,2023-12,0.215,0.124,0.306
"Birmingham, Yardley",E14000568,2023-12,0.39899999999999997,0.27199999999999996,0.526
Bishop Auckland,E14000569,2023-12,0.192,0.107,0.277
Blackburn,E14000570,2023-12,0.309,0.245,0.373
Blackley and Broughton,E14000571,2023-12,0.294,0.176,0.412
Blackpool North and Cleveleys,E14000572,2023-12,0.209,0.151,0.267
Blackpool South,E14000573,2023-12,0.321,0.251,0.391
Blaenau Gwent,W07000072,2023-12,0.264,0.20800000000000002,0.32
Blaydon,E14000574,2023-12,0.258,0.192,0.324
Blyth Valley,E14000575,2023-12,0.122,0.064,0.18
Bognor Regis and Littlehampton,E14000576,2023-12,0.078,,
Bolsover,E14000577,2023-12,0.212,0.106,0.318
Bolton North East,E14000578,2023-12,0.384,0.278,0.49
Bolton South East,E14000579,2023-12,0.299,0.194,0.40399999999999997
Bolton West,E14000580,2023-12,0.204,0.11699999999999999,0.291
Bootle,E14000581,2023-12,0.249,0.163,0.33499999999999996
Boston and Skegness,E14000582,2023-12,0.27399999999999997,0.16699999999999998,0.38099999999999995
Bosworth,E14000583,2023-12,0.152,0.08499999999999999,0.219
Bournemouth East,E14000584,2023-12,0.20199999999999999,0.14799999999999996,0.256
Bournemouth West,E14000585,2023-12,0.163,0.11200000000000002,0.214
Bracknell,E14000586,2023-12,0.18,0.143,0.217
Bradford East,E14000587,2023-12,0.298,0.179,0.417
Bradford South,E14000588,2023-12,0.23,0.136,0.324
Bradford West,E14000589,2023-12,0.22699999999999998,0.11599999999999998,0.33799999999999997
Braintree,E14000590,2023-12,0.217,0.108,0.326
Brecon and Radnorshire,W07000068,2023-12,0.242,0.16999999999999998,0.314
Brent Central,E14000591,2023-12,0.257,0.133,0.381
Brent North,E14000592,2023-12,0.245,0.11299999999999999,0.377
Brentford and Isleworth,E14000593,2023-12,0.18600000000000003,0.09100000000000003,0.281
Brentwood and Ongar,E14000594,2023-12,0.175,0.07999999999999999,0.27
Bridgend,W07000073,2023-12,0.304,0.23399999999999999,0.374
Bridgwater and West Somerset,E14000595,2023-12,0.171,0.101,0.24100000000000002
Brigg and Goole,E14000596,2023-12,0.154,0.09999999999999999,0.20800000000000002
"Brighton, Kemptown",E14000597,2023-12,0.289,0.19499999999999998,0.383
"Brighton, Pavilion",E14000598,2023-12,0.21100000000000002,0.134,0.28800000000000003
