date,measure,value
2020-01-03,UK 10-year yield,0.74
2020-01-06,UK 10-year yield,0.77
2020-01-07,UK 10-year yield,0.79
2020-01-08,UK 10-year yield,0.8
2020-01-09,UK 10-year yield,0.83
2020-01-10,UK 10-year yield,0.79
2020-01-13,UK 10-year yield,0.77
2020-01-14,UK 10-year yield,0.73
2020-01-15,UK 10-year yield,0.66
2020-01-16,UK 10-year yield,0.65
2020-01-17,UK 10-year yield,0.65
2020-01-20,UK 10-year yield,0.66
2020-01-21,UK 10-year yield,0.64
2020-01-22,UK 10-year yield,0.64
2020-01-23,UK 10-year yield,0.59
2020-01-24,UK 10-year yield,0.57
2020-01-27,UK 10-year yield,0.51
2020-01-28,UK 10-year yield,0.55
2020-01-29,UK 10-year yield,0.53
2020-01-30,UK 10-year yield,0.55
2020-01-31,UK 10-year yield,0.53
2020-02-03,UK 10-year yield,0.54
2020-02-04,UK 10-year yield,0.57
2020-02-05,UK 10-year yield,0.61
2020-02-06,UK 10-year yield,0.6
2020-02-07,UK 10-year yield,0.58
2020-02-10,UK 10-year yield,0.57
2020-02-11,UK 10-year yield,0.58
2020-02-12,UK 10-year yield,0.62
2020-02-13,UK 10-year yield,0.65
2020-02-14,UK 10-year yield,0.63
2020-02-17,UK 10-year yield,0.65
2020-02-18,UK 10-year yield,0.63
2020-02-19,UK 10-year yield,0.62
2020-02-20,UK 10-year yield,0.59
2020-02-21,UK 10-year yield,0.57
2020-02-24,UK 10-year yield,0.54
2020-02-25,UK 10-year yield,0.5
2020-02-26,UK 10-year yield,0.5
2020-02-27,UK 10-year yield,0.46
2020-02-28,UK 10-year yield,0.43
2020-03-02,UK 10-year yield,0.41
2020-03-03,UK 10-year yield,0.39
2020-03-04,UK 10-year yield,0.37
2020-03-05,UK 10-year yield,0.33
2020-03-06,UK 10-year yield,0.2
2020-03-09,UK 10-year yield,0.16
2020-03-10,UK 10-year yield,0.22
2020-03-11,UK 10-year yield,0.29
2020-03-12,UK 10-year yield,0.28
2020-03-13,UK 10-year yield,0.4
2020-03-16,UK 10-year yield,0.48
2020-03-17,UK 10-year yield,0.55
2020-03-18,UK 10-year yield,0.81
2020-03-19,UK 10-year yield,0.83
2020-03-20,UK 10-year yield,0.53
2020-03-23,UK 10-year yield,0.39
2020-03-24,UK 10-year yield,0.44
2020-03-25,UK 10-year yield,0.43
2020-03-26,UK 10-year yield,0.37
2020-03-27,UK 10-year yield,0.34
2020-03-30,UK 10-year yield,0.31
2020-03-31,UK 10-year yield,0.36
2020-04-01,UK 10-year yield,0.32
2020-04-02,UK 10-year yield,0.34
2020-04-03,UK 10-year yield,0.32
2020-04-06,UK 10-year yield,0.34
2020-04-07,UK 10-year yield,0.4
2020-04-08,UK 10-year yield,0.38
2020-04-09,UK 10-year yield,0.31
2020-04-14,UK 10-year yield,0.33
2020-04-15,UK 10-year yield,0.29
2020-04-16,UK 10-year yield,0.29
2020-04-17,UK 10-year yield,0.29
2020-04-20,UK 10-year yield,0.33
2020-04-21,UK 10-year yield,0.29
2020-04-22,UK 10-year yield,0.32
2020-04-23,UK 10-year yield,0.3
2020-04-24,UK 10-year yield,0.3
2020-04-27,UK 10-year yield,0.32
2020-04-28,UK 10-year yield,0.3
2020-04-29,UK 10-year yield,0.3
2020-04-30,UK 10-year yield,0.24
2020-05-04,UK 10-year yield,0.24
2020-05-05,UK 10-year yield,0.21
2020-05-06,UK 10-year yield,0.24
2020-05-07,UK 10-year yield,0.25
2020-05-11,UK 10-year yield,0.28
2020-05-12,UK 10-year yield,0.26
2020-05-13,UK 10-year yield,0.24
2020-05-14,UK 10-year yield,0.23
2020-05-15,UK 10-year yield,0.25
2020-05-18,UK 10-year yield,0.27
2020-05-19,UK 10-year yield,0.26
2020-05-20,UK 10-year yield,0.25
2020-05-21,UK 10-year yield,0.19
2020-05-22,UK 10-year yield,0.18
2020-05-26,UK 10-year yield,0.22
2020-05-27,UK 10-year yield,0.19
2020-05-28,UK 10-year yield,0.2
2020-05-29,UK 10-year yield,0.18
2020-06-02,UK 10-year yield,0.23
2020-06-03,UK 10-year yield,0.29
2020-06-04,UK 10-year yield,0.32
2020-06-05,UK 10-year yield,0.37
2020-06-08,UK 10-year yield,0.35
2020-06-09,UK 10-year yield,0.33
2020-06-10,UK 10-year yield,0.27
2020-06-11,UK 10-year yield,0.2
2020-06-12,UK 10-year yield,0.22
2020-06-15,UK 10-year yield,0.22
2020-06-16,UK 10-year yield,0.21
2020-06-17,UK 10-year yield,0.2
2020-06-18,UK 10-year yield,0.24
2020-06-19,UK 10-year yield,0.26
2020-06-22,UK 10-year yield,0.21
2020-06-23,UK 10-year yield,0.24
2020-06-24,UK 10-year yield,0.21
2020-06-25,UK 10-year yield,0.18
2020-06-26,UK 10-year yield,0.19
2020-06-29,UK 10-year yield,0.18
2020-06-30,UK 10-year yield,0.19
2020-07-01,UK 10-year yield,0.24
2020-07-02,UK 10-year yield,0.21
2020-07-03,UK 10-year yield,0.21
2020-07-06,UK 10-year yield,0.22
2020-07-07,UK 10-year yield,0.2
2020-07-08,UK 10-year yield,0.2
2020-07-09,UK 10-year yield,0.18
2020-07-10,UK 10-year yield,0.17
2020-07-13,UK 10-year yield,0.21
2020-07-14,UK 10-year yield,0.17
2020-07-15,UK 10-year yield,0.19
2020-07-16,UK 10-year yield,0.16
2020-07-17,UK 10-year yield,0.18
2020-07-20,UK 10-year yield,0.17
2020-07-21,UK 10-year yield,0.17
2020-07-22,UK 10-year yield,0.15
2020-07-23,UK 10-year yield,0.15
2020-07-24,UK 10-year yield,0.18
2020-07-27,UK 10-year yield,0.14
2020-07-28,UK 10-year yield,0.14
2020-07-29,UK 10-year yield,0.15
2020-07-30,UK 10-year yield,0.12
2020-07-31,UK 10-year yield,0.13
2020-08-03,UK 10-year yield,0.13
2020-08-04,UK 10-year yield,0.11
2020-08-05,UK 10-year yield,0.16
2020-08-06,UK 10-year yield,0.14
2020-08-07,UK 10-year yield,0.18
2020-08-10,UK 10-year yield,0.17
2020-08-11,UK 10-year yield,0.24
2020-08-12,UK 10-year yield,0.28
2020-08-13,UK 10-year yield,0.29
2020-08-14,UK 10-year yield,0.29
2020-08-17,UK 10-year yield,0.26
2020-08-18,UK 10-year yield,0.26
2020-08-19,UK 10-year yield,0.27
2020-08-20,UK 10-year yield,0.27
2020-08-21,UK 10-year yield,0.25
2020-08-24,UK 10-year yield,0.25
2020-08-25,UK 10-year yield,0.31
2020-08-26,UK 10-year yield,0.35
2020-08-27,UK 10-year yield,0.38
2020-08-28,UK 10-year yield,0.35
2020-09-01,UK 10-year yield,0.35
2020-09-02,UK 10-year yield,0.28
2020-09-03,UK 10-year yield,0.27
2020-09-04,UK 10-year yield,0.29
2020-09-07,UK 10-year yield,0.29
2020-09-08,UK 10-year yield,0.22
2020-09-09,UK 10-year yield,0.28
2020-09-10,UK 10-year yield,0.28
2020-09-11,UK 10-year yield,0.22
2020-09-14,UK 10-year yield,0.24
2020-09-15,UK 10-year yield,0.26
2020-09-16,UK 10-year yield,0.26
2020-09-17,UK 10-year yield,0.22
2020-09-18,UK 10-year yield,0.22
2020-09-21,UK 10-year yield,0.2
2020-09-22,UK 10-year yield,0.24
2020-09-23,UK 10-year yield,0.27
2020-09-24,UK 10-year yield,0.25
2020-09-25,UK 10-year yield,0.22
2020-09-28,UK 10-year yield,0.24
2020-09-29,UK 10-year yield,0.22
2020-09-30,UK 10-year yield,0.26
2020-10-01,UK 10-year yield,0.27
2020-10-02,UK 10-year yield,0.29
2020-10-05,UK 10-year yield,0.32
2020-10-06,UK 10-year yield,0.32
2020-10-07,UK 10-year yield,0.34
2020-10-08,UK 10-year yield,0.33
2020-10-09,UK 10-year yield,0.31
2020-10-12,UK 10-year yield,0.31
2020-10-13,UK 10-year yield,0.27
2020-10-14,UK 10-year yield,0.26
2020-10-15,UK 10-year yield,0.21
2020-10-16,UK 10-year yield,0.22
2020-10-19,UK 10-year yield,0.21
2020-10-20,UK 10-year yield,0.23
2020-10-21,UK 10-year yield,0.28
2020-10-22,UK 10-year yield,0.33
2020-10-23,UK 10-year yield,0.33
2020-10-26,UK 10-year yield,0.32
2020-10-27,UK 10-year yield,0.27
2020-10-28,UK 10-year yield,0.25
2020-10-29,UK 10-year yield,0.26
2020-10-30,UK 10-year yield,0.3
2020-11-02,UK 10-year yield,0.26
2020-11-03,UK 10-year yield,0.31
2020-11-04,UK 10-year yield,0.25
2020-11-05,UK 10-year yield,0.28
2020-11-06,UK 10-year yield,0.32
2020-11-09,UK 10-year yield,0.42
2020-11-10,UK 10-year yield,0.44
2020-11-11,UK 10-year yield,0.46
2020-11-12,UK 10-year yield,0.4
2020-11-13,UK 10-year yield,0.38
2020-11-16,UK 10-year yield,0.39
2020-11-17,UK 10-year yield,0.37
2020-11-18,UK 10-year yield,0.38
2020-11-19,UK 10-year yield,0.37
2020-11-20,UK 10-year yield,0.35
2020-11-23,UK 10-year yield,0.37
2020-11-24,UK 10-year yield,0.37
2020-11-25,UK 10-year yield,0.36
2020-11-26,UK 10-year yield,0.32
2020-11-27,UK 10-year yield,0.34
2020-11-30,UK 10-year yield,0.36
2020-12-01,UK 10-year yield,0.41
2020-12-02,UK 10-year yield,0.4
2020-12-03,UK 10-year yield,0.38
2020-12-04,UK 10-year yield,0.39
2020-12-07,UK 10-year yield,0.32
2020-12-08,UK 10-year yield,0.3
2020-12-09,UK 10-year yield,0.3
2020-12-10,UK 10-year yield,0.25
2020-12-11,UK 10-year yield,0.21
2020-12-14,UK 10-year yield,0.26
2020-12-15,UK 10-year yield,0.3
2020-12-16,UK 10-year yield,0.32
2020-12-17,UK 10-year yield,0.31
2020-12-18,UK 10-year yield,0.28
2020-12-21,UK 10-year yield,0.24
2020-12-22,UK 10-year yield,0.22
2020-12-23,UK 10-year yield,0.35
2020-12-29,UK 10-year yield,0.25
2020-12-30,UK 10-year yield,0.26
2021-01-04,UK 10-year yield,0.23
2021-01-05,UK 10-year yield,0.25
2021-01-06,UK 10-year yield,0.28
2021-01-07,UK 10-year yield,0.34
2021-01-08,UK 10-year yield,0.34
2021-01-11,UK 10-year yield,0.35
2021-01-12,UK 10-year yield,0.4
2021-01-13,UK 10-year yield,0.35
2021-01-14,UK 10-year yield,0.33
2021-01-15,UK 10-year yield,0.34
2021-01-18,UK 10-year yield,0.34
2021-01-19,UK 10-year yield,0.33
2021-01-20,UK 10-year yield,0.35
2021-01-21,UK 10-year yield,0.38
2021-01-22,UK 10-year yield,0.36
2021-01-25,UK 10-year yield,0.31
2021-01-26,UK 10-year yield,0.32
2021-01-27,UK 10-year yield,0.32
2021-01-28,UK 10-year yield,0.33
2021-01-29,UK 10-year yield,0.37
2021-02-01,UK 10-year yield,0.37
2021-02-02,UK 10-year yield,0.4
2021-02-03,UK 10-year yield,0.42
2021-02-04,UK 10-year yield,0.49
2021-02-05,UK 10-year yield,0.54
2021-02-08,UK 10-year yield,0.53
2021-02-09,UK 10-year yield,0.51
2021-02-10,UK 10-year yield,0.54
2021-02-11,UK 10-year yield,0.52
2021-02-12,UK 10-year yield,0.57
2021-02-15,UK 10-year yield,0.63
2021-02-16,UK 10-year yield,0.68
2021-02-17,UK 10-year yield,0.63
2021-02-18,UK 10-year yield,0.68
2021-02-19,UK 10-year yield,0.76
2021-02-22,UK 10-year yield,0.75
2021-02-23,UK 10-year yield,0.79
2021-02-24,UK 10-year yield,0.84
2021-02-25,UK 10-year yield,0.86
2021-02-26,UK 10-year yield,0.89
2021-03-01,UK 10-year yield,0.84
2021-03-02,UK 10-year yield,0.78
2021-03-03,UK 10-year yield,0.85
2021-03-04,UK 10-year yield,0.81
2021-03-05,UK 10-year yield,0.84
2021-03-08,UK 10-year yield,0.83
2021-03-09,UK 10-year yield,0.8
2021-03-10,UK 10-year yield,0.8
2021-03-11,UK 10-year yield,0.82
2021-03-12,UK 10-year yield,0.91
2021-03-15,UK 10-year yield,0.88
2021-03-16,UK 10-year yield,0.87
2021-03-17,UK 10-year yield,0.92
2021-03-18,UK 10-year yield,0.96
2021-03-19,UK 10-year yield,0.93
2021-03-22,UK 10-year yield,0.91
2021-03-23,UK 10-year yield,0.85
2021-03-24,UK 10-year yield,0.84
2021-03-25,UK 10-year yield,0.82
2021-03-26,UK 10-year yield,0.84
2021-03-29,UK 10-year yield,0.88
2021-03-30,UK 10-year yield,0.93
