Year,tc_count,index_tc_median
2002,35,100
2003,36,106
2004,50,97
2005,68,130
2006,65,148
2007,76,126
2008,56,138
2009,57,121
2010,61,135
2011,70,147
2012,83,176
2013,92,178
2014,95,167
2015,98,157
2016,98,156
2017,97,156
2018,98,154
2019,93,157
2020,91,119
2021,88,148
2022,87,162
