Year,total_return,total_compensation,Bonus,return2
2023,0,4190000,1677000,1.459111933
2022,0,5955246,3842000,-11.83306694
2023,0,4658252,3080526,0.043901527
2022,0,2156266,388413,-33.080459
2023,0,795172,66181,0.42564555
2022,0,4655000,3292000,9.166329831
2023,0,4627000,3281000,14.68351132
2022,0,6408000,1499000,41.38737727
2023,0,7837000,1462000,9.416827674
2022,0,3948400,737600,-6.652967309
2023,0,3209300,358800,1.37689235
2022,0,4745000,3206000,-18.80182487
2023,0,4443000,2730000,34.74331481
2022,0,1629000,730000,-36.91722856
2023,1,2185000,1054000,56.95714759
2023,0,4670406,1862000,-5.760624993
2022,0,858555,207270,-17.15353444
2023,0,1377895,332482,18.84415338
2023,0,875490,210000,11.81863185
2022,0,2687000,968000,-19.41635568
2023,0,3689000,1206000,-9.726707387
2022,0,2512408,941186,-0.891190879
2023,0,2774255,1022519,15.2815243
2022,0,6682000,2395000,-23.64008604
2023,0,4498000,1289000,-3.678537431
2023,0,3070372,179000,45.90891814
