"Figure 1: The disability pay gap was 13.8% in 2021	",""
"Pay gap between disabled and non-disabled employees, UK, 2014 to 2021	",""
"",""
"Notes",""
"Unit","%	"
"",""
"Year","Pay gap between disabled and non-disabled employees (%)"
"2014","11.7"
"2015","12.9"
"2016","12.7"
"2017","12.7"
"2018","12.5"
"2019","14.1"
"2020","13.5"
"2021","13.8"
