date,price_cap
2017-04-28,1050.35
2017-05-28,1050.35
2017-06-28,1050.35
2017-07-28,1050.35
2017-08-28,1050.35
2017-09-28,1050.35
2017-10-28,1031.27
2017-11-28,1031.27
2017-12-28,1031.27
2018-01-28,1031.27
2018-02-28,1031.27
2018-03-28,1031.27
2018-04-28,1088.55
2018-05-28,1088.55
2018-06-28,1088.55
2018-07-28,1088.55
2018-08-28,1088.55
2018-09-28,1088.55
2018-10-28,1135.99
2018-11-28,1135.99
2018-12-28,1135.99
2019-01-28,1135.99
2019-02-28,1135.99
2019-03-28,1135.99
2019-04-28,1242.07
2019-05-28,1242.07
2019-06-28,1242.07
2019-07-28,1242.07
2019-08-28,1242.07
2019-09-28,1242.07
2019-10-28,1217.0
2019-11-28,1217.0
2019-12-28,1217.0
2020-01-28,1217.0
2020-02-28,1217.0
2020-03-28,1217.0
2020-04-28,1164.0
2020-05-28,1164.0
2020-06-28,1164.0
2020-07-28,1164.0
2020-08-28,1164.0
2020-09-28,1164.0
2020-10-28,1070.0
2020-11-28,1070.0
2020-12-28,1070.0
2021-01-28,1070.0
2021-02-28,1070.0
2021-03-28,1070.0
2021-04-28,1156.0
2021-05-28,1156.0
2021-06-28,1156.0
2021-07-28,1156.0
2021-08-28,1156.0
2021-09-28,1156.0
2021-10-28,1309.0
2021-11-28,1309.0
2021-12-28,1309.0
2022-01-28,1309.0
2022-02-28,1309.0
2022-03-28,1309.0
2022-04-28,2017.0
2022-05-28,2017.0
2022-06-28,2017.0
2022-07-28,2017.0
2022-08-28,2017.0
2022-09-28,2017.0
2022-10-28,2559.0
2022-11-28,2559.0
2022-12-28,2559.0
2023-01-28,2579.0
2023-02-28,2579.0
2023-03-28,2579.0
2023-04-28,2545.0
2023-05-28,2545.0
2023-06-28,2545.0
2023-07-28,2077.0
2023-08-28,2077.0
2023-09-28,2077.0
2023-10-28,1861.0
2023-11-28,1861.0
2023-12-28,1861.0
2024-01-28,1960.0
2024-02-28,1960.0
2024-03-28,1960.0
2024-04-28,1643.0
2024-05-28,1643.0
2024-06-28,1643.0
2024-07-28,1522.0
2024-10-01,1669.0
