GE,Age,Turnout
2015,18 - 24,38
2015,25 - 34,47
2015,35 - 44,58
2015,45 - 54,67
2015,55 - 64,72
2015,65+ ,74
2017,18 - 24,54
2017,25 - 34,55
2017,35 - 44,56
2017,45 - 54,66
2017,55 - 64,71
2017,65+ ,71
2019,18 - 24,47
2019,25 - 34,55
2019,35 - 44,54
2019,45 - 54,63
2019,55 - 64,66
2019,65+ ,74
