team1,elostrength1,series,value,fifa_code,Win,Last 16
france,1411.4944379889,Win,19.74,FRA,19.74,93.38
spain,1389.05023687336,Win,15.04,ESP,15.04,94.84
netherlands,1365.8283141274,Win,10.83,NED,10.83,88.22
belgium,1361.18887568485,Win,8.9,BEL,8.9,97.33
england,1357.98175150774,Win,9.49,ENG,9.49,93.41
portugal,1354.45879842753,Win,9.3,POR,9.3,97.09
italy,1346.65833245383,Win,8.31,ITA,8.31,91.48
germany,1329.34472076793,Win,7.73,GER,7.73,95.77
croatia,1307.31207550114,Win,4.35,CRO,4.35,86.48
denmark,1257.15335129649,Win,1.61,DEN,1.61,77.17
switzerland,1240.26115323277,Win,1.33,SUI,1.33,67.82
ukraine,1219.53211800943,Win,0.88,UKR,0.88,77.23
austria,1204.41824658958,Win,0.4,AUT,0.4,43.4
serbia,1204.25493398857,Win,0.58,SRB,0.58,61.11
hungary,1200.83330704872,Win,0.44,HUN,0.44,56.92
poland,1181.35744115334,Win,0.35,POL,0.35,38.91
turkey,1177.15264406219,Win,0.18,TUR,0.18,70.53
czech rep,1170.41975652613,Win,0.13,CZE,0.13,67.54
scotland,1162.40652014007,Win,0.22,SCO,0.22,44.56
slovenia,1122.62176848419,Win,0.06,SVN,0.06,35.18
romania,1110.58638567307,Win,0.07,ROU,0.07,43.8
slovakia,1096.66074630832,Win,0.05,SVK,0.05,42.07
georgia,1059.16881587559,Win,0.0,GEO,0.0,29.16
albania,1036.98768293181,Win,0.01,ALB,0.01,6.6
france,1411.4944379889,Last 16,93.38,FRA,19.74,93.38
spain,1389.05023687336,Last 16,94.84,ESP,15.04,94.84
netherlands,1365.8283141274,Last 16,88.22,NED,10.83,88.22
belgium,1361.18887568485,Last 16,97.33,BEL,8.9,97.33
england,1357.98175150774,Last 16,93.41,ENG,9.49,93.41
portugal,1354.45879842753,Last 16,97.09,POR,9.3,97.09
italy,1346.65833245383,Last 16,91.48,ITA,8.31,91.48
germany,1329.34472076793,Last 16,95.77,GER,7.73,95.77
croatia,1307.31207550114,Last 16,86.48,CRO,4.35,86.48
denmark,1257.15335129649,Last 16,77.17,DEN,1.61,77.17
switzerland,1240.26115323277,Last 16,67.82,SUI,1.33,67.82
ukraine,1219.53211800943,Last 16,77.23,UKR,0.88,77.23
austria,1204.41824658958,Last 16,43.4,AUT,0.4,43.4
serbia,1204.25493398857,Last 16,61.11,SRB,0.58,61.11
hungary,1200.83330704872,Last 16,56.92,HUN,0.44,56.92
poland,1181.35744115334,Last 16,38.91,POL,0.35,38.91
turkey,1177.15264406219,Last 16,70.53,TUR,0.18,70.53
czech rep,1170.41975652613,Last 16,67.54,CZE,0.13,67.54
scotland,1162.40652014007,Last 16,44.56,SCO,0.22,44.56
