"","date","team1","goals1","goals2","team2","city","country","neutral","elostrength1","elostrength2","balance","elopredict","outcome","goals1d.hat","goals2d.hat","tgoals","tgoals.hat","tgoals.hat.error","eloPH","eloPD","eloPA"

"14143",2024-07-14,"spain",NA,NA,"england",NA,NA,1,1427.988127889,1365.97878891516,0.242202581497227,0.588302992603724,NA,1.34200466493226,0.998783540991132,NA,2.34078820592339,NA,0.453082078455458,0.273482295749355,0.273435625795187

"16953",1980-06-22,"belgium",1,2,"germany","Rome","Italy",1,1129.7213903045,1287.76082760377,0.20465288531885,0.287051380184913,-1,0.910347834344105,1.91226453840281,3,2.82261237274691,0.177387627253088,0.161595713042967,0.220440016864564,0.617964270092469

"17051",1992-06-26,"denmark",2,0,"germany","Gothenburg","Sweden",1,1158.77849086452,1258.60070720371,0.230447797026552,0.360170807863852,1,1.04817430339096,1.6400145215197,2,2.68818882491066,-0.688188824910665,0.225250522949467,0.257296521432625,0.517452955617909

"17148",1976-06-20,"czechoslovakia",2,2,"germany","Belgrade","Yugoslavia",1,1167.29799689168,1282.66494786687,0.224341713979568,0.339817959744447,0,0.996905249392227,1.69851389264232,4,2.69541914203454,1.30458085796546,0.205323581518781,0.247848676994895,0.546827741486324

"17171",1996-06-30,"czech rep",1,2,"germany","London","England",1,1142.79127701138,1303.20971102219,0.203454928845394,0.284256932545663,-1,0.895258033234603,1.91428479334184,3,2.80954282657645,0.190457173423555,0.158366249076646,0.218012268039977,0.623621482883377

"18124",2004-07-04,"portugal",0,1,"greece","Lisbon","Portugal",0,1274.05543420094,1191.71914668874,0.236469199164501,0.61632197056231,-1,1.73245488405712,0.777780220975217,1,2.51023510503233,-1.51023510503233,0.623198695331345,0.218194877909091,0.158606426759564

"23520",2012-07-01,"spain",4,0,"italy","Kyiv","Ukraine",1,1436.93789357574,1288.75321869379,0.209518487603178,0.701200179912498,1,1.69726061265898,0.805666477749596,4,2.50292709040858,1.49707290959142,0.607674269819221,0.224767573404775,0.167558156776003

"23780",2021-07-11,"england",1,1,"italy","London","England",0,1371.75561776581,1395.07347856811,0.248877293960508,0.466493194131752,0,1.19495715512758,0.9727150103557,2,2.16767216548328,-0.167672165483281,0.420868839587669,0.278917064961968,0.300214095450363

"23786",2000-07-02,"france",2,1,"italy","Rotterdam","Netherlands",1,1327.065379762,1289.39374557031,0.247083743188847,0.554002377828691,1,1.35450266942004,1.1002002456227,3,2.45470291504274,0.545297084957255,0.421886136102003,0.278775588415069,0.299338275482928

"32491",1988-06-25,"russia",0,2,"netherlands","Munich","Germany",1,1228.71287997362,1202.18962929024,0.248548691025295,0.53809604933199,-1,1.41584472932323,1.1721926178562,2,2.58803734717943,-0.588037347179429,0.414188073657479,0.279795108969338,0.306016817373184

"38102",2016-07-10,"france",0,1,"portugal","Saint-Denis","France",0,1348.77599492695,1297.01607464993,0.244532537478573,0.573942291832396,-1,1.50134786122102,0.815794060597346,1,2.31714192181837,-1.31714192181837,0.560106138955664,0.243198698577684,0.196695162466653

"39163",1972-06-18,"germany",3,0,"russia","Brussels","Belgium",1,1252.37643084359,1213.12061947139,0.246835434235835,0.55625447328138,1,1.44089050060992,1.12631237074057,3,2.56720287135049,0.432797128649509,0.433998763599123,0.276936709212959,0.289064527187918

"39380",1964-06-21,"spain",2,1,"russia","Madrid","Spain",0,1137.67368754423,1186.57723188008,0.245111650553495,0.430083267764399,1,1.3313390585205,1.12847151411805,3,2.45981057263855,0.54018942736145,0.404298295196943,0.280928876120798,0.314772828682259

"43342",2008-06-29,"germany",0,1,"spain","Vienna","Austria",1,1318.25795533864,1337.59730013634,0.249227001769877,0.472197154280123,-1,1.16216166085862,1.26959677137229,1,2.43175843223091,-1.43175843223091,0.325729824974443,0.282034354744567,0.39223582028099

"43489",1984-06-27,"france",2,0,"spain","Paris","France",0,1215.26599727068,1142.99459977763,0.239487127194551,0.602532301278421,1,1.76204399373705,0.814587563102573,2,2.57663155683962,-0.576631556839619,0.612861559282607,0.222600399523056,0.164538041194338

"52598",1960-07-10,"russia",2,1,"yugoslavia","Paris","France",1,1124.65642024863,1136.81355239434,0.249694156471177,0.482511617318256,1,1.37598756303923,1.33903502369156,3,2.71502258673079,0.284977413269207,0.359667999882924,0.283394425415165,0.356937574701911

"52821",1968-06-10,"italy",2,0,"yugoslavia","Rome","Italy",0,1167.81264216097,1150.16162135751,0.249355854118871,0.525380029179033,1,1.56787191721258,0.947824168336106,2,2.51569608554868,-0.515696085548683,0.520968248835146,0.256229207957869,0.222802543206985

"53824",2024-07-14,"spain",2,1,"england","Berlin","Germany",1,1000,1000,0.25,0.5,NA,1.56681719018893,1.36034792298382,NA,2.92716511317275,NA,0.395407059974867,0.281773911398214,0.322819028626918

