Year,lower,upper,band
2024-01-01,1.1264226986473114,1.1264226986473114,10-90
2025-01-01,0.41589382879092174,2.905729888714185,10-90
2026-01-01,-0.3863924102849601,3.138548655123005,10-90
2027-01-01,-2.1257422326510094,4.635967919000726,10-90
2028-01-01,-2.657499132429256,5.066705737211629,10-90
2029-01-01,-2.909130298020439,5.5280704487949475,10-90
2030-01-01,-3.068955755099814,5.620727711297578,10-90
2024-01-01,1.1264226986473114,1.1264226986473114,20-80
2025-01-01,0.7435806173129886,2.39453472177379,20-80
2026-01-01,0.2163465893169576,2.531254538552814,20-80
2027-01-01,-0.8278119786183504,3.6270124476625636,20-80
2028-01-01,-1.2055630656741254,3.8773718852503976,20-80
2029-01-01,-1.3578524830587897,4.189181542094065,20-80
2030-01-01,-1.4459877926824212,4.270572414483193,20-80
2024-01-01,1.1264226986473114,1.1264226986473114,30-70
2025-01-01,0.9981160862317262,2.037981008797984,30-70
2026-01-01,0.6513057020562373,2.093692532336366,30-70
2027-01-01,0.08822626530782518,2.874856264472037,30-70
2028-01-01,-0.1769351701856059,2.998107432312602,30-70
2029-01-01,-0.25433149439485536,3.206724393707505,30-70
2030-01-01,-0.2948351250283472,3.2747016544067753,30-70
