WEO code,ISO3,WEO Subject Code,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,p21,GrowthLatest
514,BTN,NGDPRPPPPC,Bhutan,4099.575,4259.78,4532.5,4867.309,5110.016,5354.267,5634.98,6282.23,6886.105,7196.82,7783.444,8447.246,8886.366,9092.628,9338.277,9738.407,10332.502,10851.904,11208.486,11655.99,11271.179,10790.92,11149.479,11559.071,2021.0,0,0.03673642508318107
218,BOL,NGDPRPPPPC,Bolivia,5407.991,5396.623,5429.626,5476.696,5604.611,5750.965,5924.145,6090.763,6358.72,6465.642,6625.064,6860.401,7100.323,7467.423,7757.096,8013.704,8233.759,8456.073,8688.547,8757.259,7882.109,8242.886,8392.857,8424.186,2017.0,0,0.003732817084813875
963,BIH,NGDPRPPPPC,Bosnia and Herzegovina,7433.576,7601.064,7976.672,8282.242,8793.46,9158.615,9674.71,10269.528,10867.078,10830.348,11007.728,11241.24,11332.059,11841.551,11994.481,12540.351,12972.755,13420.36,13966.112,14389.734,13971.829,15030.359,15637.337,15991.393,2021.0,0,0.022641706832819457
616,BWA,NGDPRPPPPC,Botswana,11346.257,11382.363,12002.37,12429.31,12384.535,12768.712,13287.225,13783.379,13945.599,11729.565,12653.371,13250.251,12975.948,14144.518,14665.272,13682.704,14373.519,14656.773,14962.081,15117.995,13545.674,14871.674,15538.13,15823.421,2020.0,0,0.01836070363679549
223,BRA,NGDPRPPPPC,Brazil,11669.347,11667.501,11869.49,11858.172,12393.257,12643.116,12998.504,13643.377,14190.387,14027.775,14936.003,15394.301,15554.68,15886.774,15831.166,15137.898,14522.019,14596.874,14736.811,14799.44,14205.741,14854.61,15192.447,15242.778,2020.0,1,0.003312896204278358
516,BRN,NGDPRPPPPC,Brunei Darussalam,70799.884,70985.348,72160.188,72904.94,72045.502,71074.182,72978.174,72003.9,69666.379,67518.825,68073.772,69442.769,69140.573,66899.487,64533.663,63524.092,61236.93,60719.948,59332.445,59660.203,61592.937,60762.364,59707.913,61656.261,2021.0,0,0.0326313197381392
918,BGR,NGDPRPPPPC,Bulgaria,10564.182,11327.284,12061.656,12765.793,13667.37,14711.97,15793.505,16930.56,18047.909,17542.622,17952.758,18774.382,19026.924,19021.791,19321.65,20119.251,20882.413,21616.969,22355.868,23421.095,22607.556,24609.701,25590.438,26108.457,2021.0,0,0.02024267814407867
748,BFA,NGDPRPPPPC,Burkina Faso,1273.349,1316.902,1332.615,1392.678,1410.098,1484.741,1529.085,1544.396,1586.575,1586.377,1670.536,1729.05,1785.652,1833.103,1856.273,1872.567,1926.75,1988.468,2061.887,2121.061,2102.982,2186.793,2179.685,2223.889,2020.0,0,0.020279994586373803
618,BDI,NGDPRPPPPC,Burundi,762.145,752.266,747.541,748.139,753.704,783.06,801.411,804.928,817.097,821.152,836.463,844.029,855.054,870.183,880.664,821.668,791.413,770.707,760.306,751.762,732.311,733.16,724.809,727.174,2016.0,0,0.0032629285784255015
624,CPV,NGDPRPPPPC,Cabo Verde,4134.258,4302.589,4445.81,4695.826,4847.978,5055.04,5444.52,5877.428,6200.936,6057.605,6080.134,6250.739,6245.69,6221.664,6184.412,6170.77,6381.557,6535.104,7523.106,7855.849,6615.624,6995.329,7638.778,7880.938,2018.0,0,0.031701405643677544
522,KHM,NGDPRPPPPC,Cambodia,1467.855,1561.618,1633.352,1741.449,1890.103,2107.363,2300.142,2499.598,2629.895,2603.23,2728.46,2889.917,3068.253,3259.278,3455.676,3660.664,3871.956,4101,4363.211,4638.215,4472.254,4561.982,4743.2,4969.528,2021.0,0,0.0477163096643617
622,CMR,NGDPRPPPPC,Cameroon,2943.761,2963.282,3025.5,3092.787,3208.163,3160.419,3183.781,3224.673,3226.823,3221.442,3226.116,3248.265,3303.246,3374.99,3474.884,3572.366,3634.381,3665.118,3714.217,3743.317,3668.594,3707.698,3738.748,3805.375,2021.0,0,0.017820671518914876
156,CAN,NGDPRPPPPC,Canada,41650.361,41952.425,42752.974,43117.353,44033.292,45016.847,45740.722,46234.5,46205.531,44343.806,45206.134,46165.98,46482.402,47063.78,47924.294,47853.972,47831.314,48688.106,49352.626,49565.492,46508.356,48547.994,49368.956,49088.631,2022.0,0,-0.005678163419133212
626,CAF,NGDPRPPPPC,Central African Republic,1143.54,1152.554,1156.918,1112.472,1093.143,1106.064,1138.185,1162.499,1170.587,1180.613,1211.526,1242.714,1300.407,824.932,822.636,852.786,884.431,912.808,933.458,945.181,937.456,929.353,914.832,919.142,2021.0,0,0.004711247529601128
628,TCD,NGDPRPPPPC,Chad,976.379,1049.705,1095.758,1209.507,1556.345,1625.219,1579.44,1576.682,1571.8,1583.61,1739.941,1684.383,1771.95,1812.236,1874.207,1846.951,1690.283,1600.064,1588.971,1594.971,1515.287,1455.261,1448.816,1457.731,2019.0,0,0.006153300350078936
228,CHL,NGDPRPPPPC,Chile,14915.166,15210.404,15525.847,16089.703,16986.649,17798.917,18685.928,19449.357,19968.979,19531.285,20452.653,21486.074,22561.049,23084.61,23266.306,23523.903,23678.408,23671.478,24179.863,23905.932,22032.017,24293.791,24630.982,24156.628,2020.0,0,-0.01925842826729358
924,CHN,NGDPRPPPPC,China,3430.959,3690.639,4001.128,4375.732,4790.101,5304.324,5947.033,6759.277,7370.108,8027.091,8836.395,9621.154,10299.393,11034.449,11770.838,12535.035,13306.594,14151.786,15050.183,15893.004,16225.857,17590.899,18117.146,19073.979,2022.0,1,0.052813671645633296
233,COL,NGDPRPPPPC,Colombia,9278.841,9314.793,9429.062,9676.762,10067.962,10387.95,10954.715,11558.964,11806.921,11811.514,12208.674,12920.024,13291.837,13840.949,14327.703,14608.562,14749.122,14763.881,14879.14,14999.854,13642.259,14944.245,15890.144,15874.603,2022.0,0,-0.000978027637760934
632,COM,NGDPRPPPPC,Comoros,2717.028,2805.199,2873.476,2869.003,2887.286,2978.93,2852.226,2803.157,2840.415,2857.437,2888.882,2930.427,2944.309,2995.159,2977.572,2931.935,2948.843,2980.06,3006.767,2979.04,2895.356,2879.091,2843.855,2824.792,2021.0,0,-0.006703225023779378
636,COD,NGDPRPPPPC,Democratic Republic of the Congo,725.884,690.515,689.638,712.58,742.979,790.005,804.029,844.786,878.332,855.133,892.921,930.405,979.359,1040.149,1081.46,1114.662,1083.521,1087.499,1103.781,1116.671,1099.284,1130.928,1167.875,1202.609,2020.0,1,0.029741196617788655
634,COG,NGDPRPPPPC,Republic of Congo,5584.265,5185.328,5108.694,5006.95,4875.198,5194.411,5472.438,4985.845,5170.996,5631.961,6040.279,6022.949,6460.547,6258.068,6515.515,6130.904,5336.384,4978.064,4623.269,4556.806,4170.12,4129.437,4140.904,4205.157,2020.0,0,0.015516660130251677
238,CRI,NGDPRPPPPC,Costa Rica,12760.615,12727.738,12936.715,13283.944,13653.137,13982.474,14784.531,15771.542,16279.9,15902.111,16443.351,16948.668,17546.98,17756.299,18156.749,18593.603,19144.996,19711.653,20002.166,20271.551,19204.598,20492.549,21177.303,21553.437,2021.0,0,0.017761185170746333
662,CIV,NGDPRPPPPC,Côte d'Ivoire,4299.043,4195.186,4020.687,3865.521,3813.972,3781.306,3741.349,3710.902,3708.835,3732.384,3711.199,3441.455,3718.651,3960.47,4199.568,4455.098,4653.656,4814.38,4868.39,5139.326,5094.244,5312.71,5525.012,5718.872,2015.0,0,0.03508770659683646
960,HRV,NGDPRPPPPC,Croatia,18681.713,19625.663,20759.09,21915.705,22821.267,23776.932,24940.79,26183.681,26708.48,24815.482,24569.433,24627.321,24127.312,24099.054,24097.151,24905.22,25977.15,27183.155,28196.973,29326.323,26922.591,31767.734,33998.229,34693.964,2020.0,0,0.020463860044004075
423,CYP,NGDPRPPPPC,Cyprus,33126.864,34087.605,34956.321,35462.452,36772.05,38021.889,39228.265,40471.456,40953.049,39090.273,38898.053,38101.259,35837.756,33327.719,33036.257,34608.937,36827.277,38643.399,40380.699,42045.732,39659.742,41914.385,43849.403,44548.568,2022.0,0,0.015944686863809773
935,CZE,NGDPRPPPPC,Czech Republic,25015.951,25893.245,26379.253,27347.479,28656.473,30537.756,32525.384,34234.504,34851.057,32965.436,33650.931,34162.84,33834.281,33784.404,34560.822,36333.726,37200.66,39031.087,40169.319,41231.947,38802.147,40151.251,41855.538,41571.395,2021.0,0,-0.006788659603419831
128,DNK,NGDPRPPPPC,Denmark,49137.148,49363.703,49417.481,49469.825,50656.614,51710.876,53574.778,53866.237,53310.076,50367.043,51091.815,51533.522,51467.39,51743.654,52349.88,53268.953,54540.788,55673.456,56463.278,57060.339,55762.466,58298.045,60067.115,59863.636,2022.0,0,-0.0033875274349367264
611,DJI,NGDPRPPPPC,Djibouti,2965.932,2955.51,2994.208,3037.995,3074.007,3122.502,3226.588,3342.589,3489.404,3496.722,3588.113,3789.005,3906.285,4031.229,4241.881,4484.823,4726.119,4904.977,5059.72,5260.015,5245.414,5419.972,5479.467,5623.363,2020.0,0,0.02626094837326343
321,DMA,NGDPRPPPPC,Dominica,9367.763,9361.104,9102.737,9687.931,9990.557,10063.246,10539.534,11217.135,12024.395,11892.162,11989.15,12093.301,12050.306,11899.155,12326.96,11864.257,12183.757,11665.874,12072.954,12257.619,10063.562,10497.08,11071.282,11551.619,2011.0,0,0.04338585179205095
243,DOM,NGDPRPPPPC,Dominican Republic,9403.746,9504.656,9800.074,9538.207,9659.024,10439.471,11267.424,11967.654,12211.27,12194.671,13074.427,13341.204,13561.014,14071.387,14912.894,15791.32,16684.411,17301.383,18334.612,19090.477,17652.971,19647.299,20440.737,21124.141,2019.0,0,0.03343343246380982
248,ECU,NGDPRPPPPC,Ecuador,8274.159,8416.155,8574.25,8658.239,9208.567,9576.103,9823.595,9861.92,10301.95,10173.614,10340.203,10968.062,11396.852,11768.183,12021.476,11847.542,11525.328,11623.715,11603.144,11440.185,10403.08,10693.409,10865.672,11023.456,2021.0,0,0.014521329191604499
469,EGY,NGDPRPPPPC,Egypt,8718.17,8845.727,8949.344,9045.002,9238.511,9460.513,9897.975,10397.905,10904.945,11162.26,11468.367,11409.774,11381.021,11464.98,11540.477,11754.299,12014.027,11756.039,12140.467,12579.123,12801.097,13030.097,13618.837,13850.42,2021.0,1,0.017004609130720966
253,SLV,NGDPRPPPPC,El Salvador,6499.117,6523.727,6601.282,6687.167,6736.787,6916.777,7221.231,7343.783,7470.339,7286.962,7412.695,7666.038,7851.064,7995.289,8100.696,8265.992,8449.815,8617.859,8812.262,9021.242,8267.338,9085.259,9306.924,9500.61,2021.0,0,0.020810957519369417
642,GNQ,NGDPRPPPPC,Equatorial Guinea,12928.331,19865.687,22813.403,25050.958,31303.001,32419.368,33005.961,36347.342,40889.487,39583.925,34459.656,35113.411,36409.998,33450.827,32231.181,28149.294,24698.8,22449.899,20309.552,18544.02,17174.403,16099.643,15850.702,15099.503,2015.0,0,-0.047392159665862035
643,ERI,NGDPRPPPPC,Eritrea,1740.451,1826.685,1801.195,1672.471,1622.518,1601.296,1536.323,1517.168,1195.957,1317.105,1437.016,1781.739,1795.235,1592.332,2066.02,1624.28,1726.77,1537.449,1717.681,1761.128,1727.566,1750.428,1766.329,1784.499,2006.0,0,0.010286871811536851
939,EST,NGDPRPPPPC,Estonia,17807.862,18997.6,20412.884,22102.632,23748.027,26159.639,28884.094,31215.352,29692.895,25397.992,26078.191,28057.354,29066.947,29596.009,30548.735,31113.334,32085.781,33903.126,35063.859,36240.227,35969.409,38810.649,38286.145,37838.338,2021.0,0,-0.011696319908938166
734,SWZ,NGDPRPPPPC,Eswatini,5865.548,5872.926,6074.325,6253.061,6421.699,6746.566,7087.983,7337.87,7344.231,7405.188,7630.897,7746.72,8106.948,8360.752,8379.007,8506.237,8537.41,8650.839,8768.943,8917.731,8685.709,9271.228,9215.953,9374.47,2017.0,0,0.01720028303095728
644,ETH,NGDPRPPPPC,Ethiopia,819.82,858.174,849.81,810.881,882.801,968.844,1052.886,1138.18,1224.102,1312.39,1414.721,1539.358,1632.816,1750.026,1881.467,2028.184,2140.001,2302.935,2425.782,2588.09,2687.041,2793.738,2909.058,3038.164,2021.0,1,0.04438068955655068
819,FJI,NGDPRPPPPC,Fiji,9954.093,10071.832,10321.487,10331.851,10814.713,10601.054,10729.03,10560.669,10614.948,10416.214,10677.564,10913.84,11015.614,11482.903,12069.633,12557.202,12751.058,13316.586,13748.045,13592.636,11219.563,10587.403,12057.834,12828.884,2017.0,0,0.06394597902077598
172,FIN,NGDPRPPPPC,Finland,39939.944,40904.526,41492.42,42231.208,43804.053,44876.617,46515.476,48782.074,48946.279,44775.956,45985.675,46947.786,46069.129,45439.767,45069.678,45145.072,46282.735,47621.51,48078.357,48624.746,47416.288,48785.763,49672.664,49676.506,2022.0,0,7.734636499472207e-05
132,FRA,NGDPRPPPPC,France,41321.21,41830.726,42024.821,42086.397,42871.804,43287.985,44114.656,44876.404,44700.659,43224.546,43802.154,44554.417,44500.228,44578.484,44776.501,45056.684,45380.632,46369.701,47066.278,47766.946,43873.981,46714.523,47788.45,47988.098,2021.0,0,0.004177745877926593
646,GAB,NGDPRPPPPC,Gabon,16881.744,16824.041,16444.344,16316.144,16096.439,15580.344,14910.298,15392.754,15086.161,14202.626,14540.644,15001.764,15211.482,15446.707,15566.74,15652.462,15579.432,15302.638,15222.289,15608.055,15118.632,15149.406,15389.547,15659.915,2015.0,0,0.017568288397312823
648,GMB,NGDPRPPPPC,The Gambia,2271.434,2327.276,2180.857,2257.371,2341.168,2216.192,2137.817,2137.855,2205.118,2283.184,2346.724,2091.823,2135.754,2131.433,2038.797,2058.658,2036.872,2072.652,2158.068,2225.308,2173.159,2199.8,2230.433,2287.114,2018.0,0,0.02541255442328913
915,GEO,NGDPRPPPPC,Georgia,4873.741,5208.271,5556.95,6211.125,6617.92,7290.878,8037.166,9083.904,9364.297,9066.28,9701.581,10487.997,11263.367,11736.197,12262.412,12616.577,12959.863,13595.578,14241.746,14975.814,13988.178,15403.628,17144.664,17883.093,2021.0,0,0.04307048537084192
134,DEU,NGDPRPPPPC,Germany,43571.703,44273.705,44151.731,43857.235,44427.028,44815.222,46617.825,48115.246,48714.444,46099.926,48148.084,50038.553,50157.852,50237.478,51137.331,51450.805,52175.097,53373.918,53737.272,54181.281,52138.096,53484.024,54046.734,53947.031,2022.0,1,-0.0018447553186098917
652,GHA,NGDPRPPPPC,Ghana,2897.012,2932.631,2993.085,3070.827,3160.915,3278.091,3388.044,3445.511,3671.761,3794.974,3883.743,4320.063,4574.297,4792.24,4817.571,4810.494,4864.581,5148.047,5353.488,5585.885,5503.245,5684.338,5741.529,5689.293,2021.0,0,-0.009097924960407025
174,GRC,NGDPRPPPPC,Greece,29163.49,30199.24,31233.212,32959.798,34550.029,34663.433,36506.926,37595.177,37384.715,35667.882,33639.499,30214.168,28166.633,27664.556,27991.552,28113.654,28169.361,28518.16,29066.917,29660.382,27004.951,29392.16,31258.859,32204.01,2021.0,0,0.030236260383016477
328,GRD,NGDPRPPPPC,Grenada,11613.438,11333.716,11678.76,12738.886,12614.837,14246.63,13641.27,14442.879,14541.851,13537.816,13412.809,13444.637,13207.004,13427.54,14317.053,15142.069,15614.298,16217.5,16837.496,16867.708,14480.439,15070.004,15885.848,16375.842,2020.0,0,0.030844686415229493
258,GTM,NGDPRPPPPC,Guatemala,6417.512,6420.362,6537.274,6551.834,6590.059,6636.931,6849.504,7103.008,7202.238,7090.908,7133.319,7291.728,7362.635,7460.455,7631.775,7783.176,7832.248,7912.491,8018.915,8173.567,7869.279,8327.878,8489.049,8602.65,2020.0,0,0.013382064351377726
656,GIN,NGDPRPPPPC,Guinea,1606.186,1637.016,1692.938,1684.499,1691.747,1706.661,1709.528,1775.899,1801.454,1727.111,1753.17,1804.23,1862.57,1887.612,1908.826,1933.518,2090.475,2249.555,2334.237,2405.218,2462.001,2505.039,2548.885,2624.928,2014.0,0,0.029833829301831843
654,GNB,NGDPRPPPPC,Guinea-Bissau,1779.823,1825.875,1852.983,1808.998,1791.723,1868.835,1877.821,1884.608,1927.043,1930.278,2023.14,2139.64,2057.722,2078.984,2053.851,2132.912,2197.747,2253.422,2287.851,2339.339,2323.316,2418.795,2449.005,2505.869,2017.0,0,0.023219225767199345
336,GUY,NGDPRPPPPC,Guyana,7826.723,7991.115,8083.581,8037.037,8167.046,8004.835,8398.214,8963.699,9116.439,9381.353,9765.393,10255.492,10743.814,11092.416,11235.188,11268.171,11601.864,11964.644,12426.245,13052.244,18671.296,22349.714,36162.443,49473.159,2019.0,0,0.36808121619438156
263,HTI,NGDPRPPPPC,Haiti,2905.137,2847.528,2831.707,2884.439,2801.896,2842.055,2845.434,2930.675,2959.378,3082.754,2861.82,2959.857,2927.62,3006.303,3010.724,3040.855,3049.517,3079.714,3085.325,2989.792,2849.169,2759.656,2677.363,2649.886,2003.0,0,-0.010262709987401732
268,HND,NGDPRPPPPC,Honduras,4108.772,4109.773,4154.923,4235.629,4390.473,4546.252,4733.549,4914.322,5011.623,4787.864,4866.978,4956.402,5065.461,5113.461,5177.412,5283.41,5394.33,5557.931,5671.99,5721.952,5119.061,5661.236,5786.047,5896.167,2021.0,0,0.019031991962733936
532,HKG,NGDPRPPPPC,Hong Kong SAR,36064.696,36165.649,36789.385,37698.58,40776.431,43532.286,46144.954,48886.687,49744.116,48295.458,51156.67,53186.804,53627.234,54984.584,56176.267,57070.674,57771.625,59667.887,60769.096,59492.193,56300.775,60135.073,58566.555,60852.72,2021.0,0,0.03903533339121621
944,HUN,NGDPRPPPPC,Hungary,19629.449,20473.233,21496.614,22445.235,23626.774,24687.738,25715.411,25814.917,26128.594,24438.726,24743.683,25276.283,25095.98,25607.641,26777.887,27829.797,28517.561,29832.941,31496.974,33043.929,31552.551,33932.851,35608.218,35816.439,2021.0,0,0.00584755462910269
176,ISL,NGDPRPPPPC,Iceland,42203.988,43229.836,42984.168,43616.606,46680.075,49031.611,51031.373,53946.273,53777.168,49048.036,47919.356,48677.902,49022.767,50891.117,51143.679,52856.271,55608.744,56944.804,57997.499,57631.825,52409.56,53990.014,56330.577,56921.54,2021.0,0,0.01049098076875732
534,IND,NGDPRPPPPC,India,2353.82,2425.932,2476.331,2627.355,2786.569,2996.833,3224.929,3489.472,3574.043,3823.552,4158.168,4374.233,4551.864,4780.121,5071.045,5411.874,5789.677,6112.066,6436.152,6617.13,6172.043,6665.879,7054.258,7401.218,2013.0,1,0.049184478367533487
536,IDN,NGDPRPPPPC,Indonesia,5744.179,5869.758,6047.621,6247.622,6469.668,6741.814,7012.67,7352.768,7788.867,8040.417,8432.942,8792.318,9192.039,9570.556,9916.343,10260.61,10655.77,11073.521,11522.78,11976.45,11586.174,11924.982,12438.756,12933.696,2022.0,1,0.039790152648705425
429,IRN,NGDPRPPPPC,Islamic Republic of Iran,11378.399,11457.749,12181.025,12907.436,13264.229,13481.204,13933.157,14851.262,14737.255,14696.544,15347.147,15545.179,14787.876,14377.88,14909.895,14516.847,15601.647,15805.787,15323.612,14675.905,14990.882,15549.763,15782.707,15946.151,2021.0,1,0.010355891419640465
433,IRQ,NGDPRPPPPC,Iraq,,,,5155.324,7695.851,7623.7,7856.385,7816.329,8261.358,8332.885,8637.549,9056.08,10059.038,10554.47,10151.67,10346.328,11603.674,10916.391,11134.603,11483.073,9434.766,9901.597,10435.97,10544.864,2013.0,0,0.010434487642260397
178,IRL,NGDPRPPPPC,Ireland,48543.693,50329.211,52387.012,53093.019,55611.725,57401.89,58578.282,59967.347,56378.004,53138.082,53784.476,54035.628,53795.276,54098.999,58313.435,71809.373,72369.632,78003.143,83611.685,87028.319,91611.57,103118.322,113308.746,118442.663,2022.0,0,0.04530909732246089
436,ISR,NGDPRPPPPC,Israel,30545.039,29930.892,29303.34,29176.6,30037.674,30734.109,31875.694,33212.3,33680.502,33180.886,34423.245,35671.685,35927.66,36820.682,37537.151,37714.102,38650.33,39533.604,40356.316,41236.714,39753.579,42471.865,44335.461,44863.409,2021.0,0,0.011908030007853006
136,ITA,NGDPRPPPPC,Italy,43278.757,44094.503,44181.196,44093.058,44390.389,44420.063,45025.682,45522.09,44708.94,42049.401,42576.585,42693.083,41312.459,40436.082,40388.266,40736.641,41353.93,42111.532,42592.863,42885.328,39149.25,42318.29,43910.304,44226.482,2021.0,0,0.007200542269076689
343,JAM,NGDPRPPPPC,Jamaica,9723.522,9762.126,9771.624,10093.552,10190.506,10244.893,10504.476,10618.459,10494.351,10100.809,9920.97,10035.016,9958.596,9968.472,10017.356,10090.249,10233.176,10286.743,10455.167,10544.6,9487.737,9913.019,10297.813,10512.393,2021.0,0,0.020837434123148278
158,JPN,NGDPRPPPPC,Japan,36230.933,36284.703,36223.568,36712.198,37485.392,38156.347,38681.719,39252.312,38791.512,36623.683,38111.411,38049.959,38657.449,39500.441,39683.845,40348.24,40657.98,41408.954,41757.968,41680.506,40015.081,40984.544,41536.252,42262.858,2021.0,1,0.017493297180496685
