Year,OLD1,OLD2,GDP_OLD,GDP
1000-06-01,210145000000.0,210,210.14,0.21
1500-06-01,430527000000.0,431,430.52,0.43
1600-06-01,574469000000.0,574,574.46,0.57
1700-06-01,643323000000.0,643,643.32,0.64
1820-06-01,1202360000000.0,1202,1202.36,1.2
1870-06-01,1923920000000.0,1924,1923.91,1.92
1900-06-01,3418750000000.0,3419,3418.75,3.42
1913-06-01,4738680000000.0,4739,4738.67,4.74
1940-06-01,7806370000000.0,7806,7806.36,7.81
1950-06-01,9251060000000.0,9251,9251.06,9.25
1951-06-01,9795630000000.0,9796,9795.63,9.8
1952-06-01,10248700000000.0,10249,10248.69,10.25
1953-06-01,10764900000000.0,10765,10764.85,10.76
1954-06-01,11132800000000.0,11133,11132.81,11.13
1955-06-01,11842400000000.0,11842,11842.43,11.84
1956-06-01,12399300000000.0,12399,12399.31,12.4
1957-06-01,12871200000000.0,12871,12871.2,12.87
1958-06-01,13284500000000.0,13285,13284.51,13.28
1959-06-01,13893300000000.0,13893,13893.34,13.89
1960-06-01,14620400000000.0,14620,14620.43,14.62
1961-06-01,15127500000000.0,15128,15127.54,15.13
1962-06-01,15840400000000.0,15840,15840.37,15.84
1963-06-01,16528800000000.0,16529,16528.82,16.53
1964-06-01,17727400000000.0,17727,17727.42,17.73
1965-06-01,18655600000000.0,18656,18655.61,18.66
1966-06-01,19672800000000.0,19673,19672.77,19.67
1967-06-01,20404800000000.0,20405,20404.8,20.4
1968-06-01,21527600000000.0,21528,21527.59,21.53
1969-06-01,22715500000000.0,22715,22715.48,22.72
1970-06-01,23866700000000.0,23867,23866.74,23.87
1971-06-01,24855900000000.0,24856,24855.93,24.86
1972-06-01,26038200000000.0,26038,26038.22,26.04
1973-06-01,27766300000000.0,27766,27766.31,27.77
1974-06-01,28412700000000.0,28413,28412.73,28.41
1975-06-01,28846100000000.0,28846,28846.05,28.85
1976-06-01,30253200000000.0,30253,30253.17,30.25
1977-06-01,31479900000000.0,31480,31479.91,31.48
1978-06-01,32864000000000.0,32864,32864.03,32.86
1979-06-01,34039100000000.0,34039,34039.05,34.04
1980-06-01,34727100000000.0,34727,34727.06,34.73
1981-06-01,35407800000000.0,35408,35407.76,35.41
1982-06-01,35799100000000.0,35799,35799.14,35.8
1983-06-01,36817300000000.0,36817,36817.34,36.82
1984-06-01,38496700000000.0,38497,38496.72,38.5
1985-06-01,39823600000000.0,39824,39823.61,39.82
1986-06-01,41232000000000.0,41232,41231.97,41.23
1987-06-01,42812900000000.0,42813,42812.89,42.81
1988-06-01,44649600000000.0,44650,44649.64,44.65
1989-06-01,46076800000000.0,46077,46076.84,46.08
1990-06-01,47043800000000.0,47044,47043.8,47.04
1991-06-01,47650900000000.0,47651,47650.9,47.65
1992-06-01,48485100000000.0,48485,48485.1,48.49
1993-06-01,49415500000000.0,49416,49415.5,49.42
1994-06-01,50886600000000.0,50887,50886.6,50.89
1995-06-01,52576600000000.0,52577,52576.6,52.58
1996-06-01,54605200000000.0,54605,54605.2,54.61
1997-06-01,56772100000000.0,56772,56772.1,56.77
1998-06-01,58159500000000.0,58160,58159.5,58.16
1999-06-01,60247500000000.0,60248,60247.5,60.25
2000-06-01,63100900000000.0,63102,63101.9,63.1
2001-06-01,64639200000000.0,64639,64639.2,64.64
2002-06-01,66420900000000.0,66421,66420.9,66.42
2003-06-01,68894900000000.0,68895,68894.9,68.89
2004-06-01,72618200000000.0,72618,72618.2,72.62
2005-06-01,76089200000000.0,76089,76089.2,76.09
2006-06-01,80202600000000.0,80203,80202.6,80.2
2007-06-01,84576500000000.0,84577,84576.5,84.58
2008-06-01,87020700000000.0,87021,87020.7,87.02
2009-06-01,86750100000000.0,86750,86750.1,86.75
2010-06-01,91329700000000.0,91330,91329.7,91.33
2011-06-01,94982400000000.0,94982,94982.4,94.98
2012-06-01,98032300000000.0,98032,98032.3,98.03
2013-06-01,101270000000000.0,101270,101270.0,101.27
2014-06-01,104720000000000.0,104720,104720.0,104.72
2015-06-01,108120000000000.0,108120,108120.0,108.12
