Year,Country,Value
2012,RWA,1.905346521
2013,RWA,1.948362654
2014,RWA,2.019921673
2015,RWA,2.146981307
2016,RWA,2.220263129
2017,RWA,2.252026191
2018,RWA,2.386413995
2019,RWA,2.550471729
2020,RWA,2.406433262
2021,RWA,2.605819641
1960,SDN,1
1961,SDN,0.974862925
1962,SDN,1.015228358
1963,SDN,0.960535604
1964,SDN,0.923620329
1965,SDN,0.958522109
1966,SDN,0.900208377
1967,SDN,0.88992696
1968,SDN,0.884017907
1969,SDN,0.873219604
1970,SDN,0.900989085
1971,SDN,0.895670485
1972,SDN,0.825259209
1973,SDN,0.805058057
1974,SDN,0.866436147
1975,SDN,0.965588733
1976,SDN,1.084986803
1977,SDN,1.109461244
1978,SDN,1.004000705
1979,SDN,0.917300231
1980,SDN,0.89558694
1981,SDN,0.925275354
1982,SDN,0.944341924
1983,SDN,0.934385405
1984,SDN,0.867704158
1985,SDN,0.797919078
1986,SDN,0.824675695
1987,SDN,0.92630956
1988,SDN,0.917968244
1989,SDN,0.993795199
1990,SDN,0.924297625
1991,SDN,0.975629318
1992,SDN,1.023621466
1993,SDN,1.052888164
1994,SDN,1.038082997
1995,SDN,1.071623504
1996,SDN,1.107759545
1997,SDN,1.278049027
1998,SDN,1.303404898
1999,SDN,1.311606711
2000,SDN,1.354865856
2001,SDN,1.402755372
2002,SDN,1.447304389
2003,SDN,1.497879665
2004,SDN,1.532740756
2005,SDN,1.573342249
2006,SDN,1.625454563
2007,SDN,1.664591633
2008,SDN,1.674505122
2009,SDN,1.578429734
2010,SDN,1.591155298
2011,SDN,1.692431819
2012,SDN,1.579675014
2013,SDN,1.573377125
2014,SDN,1.6016582
2015,SDN,1.582310283
2016,SDN,1.587037734
2017,SDN,1.54711293
2018,SDN,1.458342482
2019,SDN,1.385888387
2020,SDN,1.29926712
2021,SDN,1.241012989
1960,SEN,1
1961,SEN,1.001210502
1962,SEN,0.972005723
1963,SEN,0.962628457
1964,SEN,0.97214644
1965,SEN,0.957334156
1966,SEN,0.95668287
1967,SEN,0.917622874
1968,SEN,0.946973835
1969,SEN,0.859200609
1970,SEN,0.905668476
1971,SEN,0.878086117
1972,SEN,0.906952311
1973,SEN,0.831446345
1974,SEN,0.841786587
1975,SEN,0.880742683
1976,SEN,0.934633585
1977,SEN,0.887779765
1978,SEN,0.833071657
1979,SEN,0.870375286
1980,SEN,0.882964732
1981,SEN,0.905191662
1982,SEN,0.952257204
1983,SEN,0.874679745
1984,SEN,0.884746496
1985,SEN,0.890271212
1986,SEN,0.892091517
1987,SEN,0.920607075
1988,SEN,0.886930462
1989,SEN,0.895953143
1990,SEN,0.863994331
1991,SEN,0.862007331
1992,SEN,0.849268268
1993,SEN,0.837501303
1994,SEN,0.815179096
1995,SEN,0.838277159
1996,SEN,0.834830196
1997,SEN,0.840476505
1998,SEN,0.869871652
1999,SEN,0.903358729
2000,SEN,0.916645155
2001,SEN,0.933671705
2002,SEN,0.912019887
2003,SEN,0.939636423
2004,SEN,0.958986316
2005,SEN,0.975220409
2006,SEN,0.972315554
2007,SEN,0.973824609
2008,SEN,0.983598971
2009,SEN,0.983974456
2010,SEN,0.990133302
2011,SEN,0.97639959
2012,SEN,0.988166999
2013,SEN,0.984930409
2014,SEN,1.018168867
2015,SEN,1.053886782
2016,SEN,1.090985075
2017,SEN,1.140233348
2018,SEN,1.178600166
2019,SEN,1.200159864
2020,SEN,1.183858384
2021,SEN,1.222872123
1960,SGP,1
1961,SGP,1.045803739
1962,SGP,1.094078399
1963,SGP,1.173877926
1964,SGP,1.108668377
1965,SGP,1.166822638
1966,SGP,1.254037695
1967,SGP,1.380079773
1968,SGP,1.539975485
1969,SGP,1.726835818
1970,SGP,1.937233892
1971,SGP,2.138140535
1972,SGP,2.378382858
1973,SGP,2.581862065
1974,SGP,2.694588027
1975,SGP,2.761447649
1976,SGP,2.927104809
1977,SGP,3.084640854
1978,SGP,3.284564286
1979,SGP,3.553246062
1980,SGP,3.863252831
1981,SGP,4.080146649
1982,SGP,4.182293635
1983,SGP,4.481484558
1984,SGP,4.784217089
1985,SGP,4.747933433
1986,SGP,4.816237919
1987,SGP,5.256643505
1988,SGP,5.702170384
1989,SGP,6.099717565
1990,SGP,6.443244388
1991,SGP,6.681346899
1992,SGP,6.9141062
1993,SGP,7.513925993
1994,SGP,8.089880328
1995,SGP,8.41093271
1996,SGP,8.679324323
1997,SGP,9.090717938
1998,SGP,8.594547764
1999,SGP,9.013694563
2000,SGP,9.659614852
2001,SGP,9.301854986
2002,SGP,9.578978605
2003,SGP,10.16341848
2004,SGP,11.03464758
2005,SGP,11.5722659
2006,SGP,12.22590721
2007,SGP,12.78499627
2008,SGP,12.34832565
2009,SGP,11.99679698
2010,SGP,13.49741892
2011,SGP,14.04047159
2012,SGP,14.30786707
2013,SGP,14.75627264
2014,SGP,15.13915707
2015,SGP,15.40595817
2016,SGP,15.74900727
2017,SGP,16.46854017
2018,SGP,16.99150609
2019,SGP,16.98223639
2020,SGP,16.32949757
2021,SGP,18.3211608
1960,SLE,1
1961,SLE,1.000801644
1962,SLE,1.027873398
1963,SLE,1.026461568
1964,SLE,1.074739215
1965,SLE,1.13002136
1966,SLE,1.127246495
1967,SLE,1.105854564
1968,SLE,1.106250169
1969,SLE,1.177418328
1970,SLE,1.254220746
1971,SLE,1.273025903
1972,SLE,1.260346181
1973,SLE,1.264393863
1974,SLE,1.283985448
1975,SLE,1.281037656
1976,SLE,1.251953384
1977,SLE,1.229110568
1978,SLE,1.234185767
1979,SLE,1.264510955
1980,SLE,1.299204857
1981,SLE,1.30956205
1982,SLE,1.343993538
1983,SLE,1.287633896
1984,SLE,1.310911473
1985,SLE,1.213754503
1986,SLE,1.198861473
1987,SLE,1.251379856
1988,SLE,1.131721815
1989,SLE,1.111766406
1990,SLE,1.104853993
1991,SLE,1.11720689
1992,SLE,0.920906063
1993,SLE,0.934841596
1994,SLE,0.912544336
1995,SLE,0.837757617
1996,SLE,0.847897119
1997,SLE,0.787619524
1998,SLE,0.793581285
1999,SLE,0.773498971
2000,SLE,0.805355934
2001,SLE,0.711854099
2002,SLE,0.850357562
2003,SLE,0.892933539
2004,SLE,0.920468387
2005,SLE,0.936547175
2006,SLE,0.95486281
2007,SLE,1.009328372
2008,SLE,1.037319767
2009,SLE,1.041495289
2010,SLE,1.067032186
2011,SLE,1.104275021
2012,SLE,1.238909939
2013,SLE,1.457708879
2014,SLE,1.486603799
2015,SLE,1.152289671
2016,SLE,1.192853103
2017,SLE,1.213134705
2018,SLE,1.225832131
2019,SLE,1.260489428
2020,SLE,1.207586667
2021,SLE,1.229285545
1960,SUR,1
1961,SUR,1.011907831
1962,SUR,1.013728799
1963,SUR,1.03101181
1964,SUR,1.059257177
1965,SUR,1.146531636
1966,SUR,1.321103603
1967,SUR,1.431488464
1968,SUR,1.488942912
1969,SUR,1.504520396
1970,SUR,1.495117831
1971,SUR,1.505448723
1972,SUR,1.475701121
1973,SUR,1.453518849
1974,SUR,1.466035545
1975,SUR,1.516239186
1976,SUR,1.661984663
1977,SUR,1.847747181
1978,SUR,1.989942983
1979,SUR,2.001711354
1980,SUR,1.836510849
1981,SUR,1.962994002
1982,SUR,1.87342557
1983,SUR,1.790297457
1984,SUR,1.7415565
1985,SUR,1.755493325
1986,SUR,1.746081562
1987,SUR,1.619274157
1988,SUR,1.722693203
1989,SUR,1.76770039
1990,SUR,1.670174426
1991,SUR,1.701971055
1992,SUR,1.694359929
1993,SUR,1.570156078
1994,SUR,1.607657955
1995,SUR,1.578271733
1996,SUR,1.560494974
1997,SUR,1.616471552
1998,SUR,1.62191316
1999,SUR,1.569602263
2000,SUR,1.573991966
2001,SUR,1.611846771
2002,SUR,1.629325745
2003,SUR,1.704077687
2004,SUR,1.824328558
2005,SUR,1.885565032
2006,SUR,1.972631065
2007,SUR,2.050199795
2008,SUR,2.111186692
2009,SUR,2.150449001
2010,SUR,2.236367661
2011,SUR,2.341174645
2012,SUR,2.378465154
2013,SUR,2.422900495
2014,SUR,2.404637371
2015,SUR,2.299232376
2016,SUR,2.16373032
2017,SUR,2.174801908
2018,SUR,2.2587515
2019,SUR,2.260080968
2020,SUR,1.877869363
2021,SUR,1.808969904
1960,SWE,1
1961,SWE,1.051846187
1962,SWE,1.090613083
1963,SWE,1.142263863
1964,SWE,1.211097359
1965,SWE,1.245592557
1966,SWE,1.259592888
1967,SWE,1.292032125
1968,SWE,1.331538517
1969,SWE,1.388444681
1970,SWE,1.47581031
1971,SWE,1.479535769
1972,SWE,1.508932981
1973,SWE,1.566105427
1974,SWE,1.611509717
1975,SWE,1.646096797
1976,SWE,1.657475245
1977,SWE,1.625235244
1978,SWE,1.648894342
1979,SWE,1.708479572
1980,SWE,1.733999698
1981,SWE,1.739798831
1982,SWE,1.760515927
1983,SWE,1.79316496
1984,SWE,1.867309916
1985,SWE,1.904502511
1986,SWE,1.951215627
1987,SWE,2.009938393
1988,SWE,2.051921193
1989,SWE,2.092389003
1990,SWE,2.091954641
1991,SWE,2.053933048
1992,SWE,2.018263823
1993,SWE,1.965126802
1994,SWE,2.027892076
1995,SWE,2.096663354
1996,SWE,2.126392451
1997,SWE,2.19042925
1998,SWE,2.283608943
1999,SWE,2.37874361
2000,SWE,2.488124302
2001,SWE,2.517422013
2002,SWE,2.564368761
2003,SWE,2.613856729
2004,SWE,2.716510887
2005,SWE,2.783017823
2006,SWE,2.896445695
2007,SWE,2.973925694
2008,SWE,2.937552514
2009,SWE,2.786231466
2010,SWE,2.927010787
2011,SWE,2.997814841
2012,SWE,2.958213637
2013,SWE,2.968093623
2014,SWE,3.016896325
2015,SWE,3.119174429
2016,SWE,3.144007621
2017,SWE,3.181583151
2018,SWE,3.206163345
2019,SWE,3.236864336
2020,SWE,3.143814709
2021,SWE,3.283585691
1960,SYC,1
1961,SYC,0.92480801
1962,SYC,0.976324374
1963,SYC,1.048289228
1964,SYC,1.082870389
1965,SYC,1.044815411
1966,SYC,1.160709512
1967,SYC,1.138240037
1968,SYC,1.19493379
1969,SYC,1.166843205
1970,SYC,1.241093501
1971,SYC,1.409043366
1972,SYC,1.462265793
1973,SYC,1.570472486
1974,SYC,1.562237982
1975,SYC,1.575040397
1976,SYC,1.794733409
1977,SYC,1.648701528
1978,SYC,1.985731263
1979,SYC,2.279703583
1980,SYC,2.163009223
1981,SYC,1.961317376
1982,SYC,1.928015134
1983,SYC,1.8973582
1984,SYC,1.971245932
1985,SYC,2.172867602
1986,SYC,2.155546347
1987,SYC,2.156943051
1988,SYC,2.264883286
1989,SYC,2.503521726
1990,SYC,2.665553807
1991,SYC,2.702892107
1992,SYC,2.883196929
1993,SYC,2.998716959
1994,SYC,2.896513579
1995,SYC,2.830675518
1996,SYC,2.926618992
1997,SYC,3.238462468
1998,SYC,3.442613995
1999,SYC,3.438846525
2000,SYC,3.459898969
2001,SYC,3.378362523
2002,SYC,3.316376037
2003,SYC,3.156653477
2004,SYC,3.078052556
2005,SYC,3.339745433
2006,SYC,3.578648913
2007,SYC,3.931473437
2008,SYC,3.761992422
2009,SYC,3.70583801
2010,SYC,3.818394539
2011,SYC,4.229286956
2012,SYC,4.240804854
2013,SYC,4.413745925
2014,SYC,4.541386961
2015,SYC,4.691610871
2016,SYC,4.877080361
2017,SYC,5.035080263
2018,SYC,5.14679608
2019,SYC,5.259432269
2020,SYC,4.81357162
2021,SYC,5.15037162
1960,SYR,1
1961,SYR,1.07548286
1962,SYR,1.299956196
1963,SYR,1.152110683
1964,SYR,1.220792511
1965,SYR,1.210338394
1966,SYR,1.082638114
1967,SYR,1.134911061
1968,SYR,1.139521113
1969,SYR,1.309393871
1970,SYR,1.24357456
1971,SYR,1.309496729
1972,SYR,1.589602524
1973,SYR,1.375504109
1974,SYR,1.672579158
1975,SYR,1.880600713
1976,SYR,2.039893581
1977,SYR,1.935664974
1978,SYR,2.056184966
1979,SYR,2.004369732
1980,SYR,2.218254236
1981,SYR,2.311158398
1982,SYR,2.298905699
1983,SYR,2.274591224
1984,SYR,2.029730862
1985,SYR,2.144190235
1986,SYR,1.907313542
1987,SYR,1.875191472
1988,SYR,2.141434458
1989,SYR,1.791359895
1990,SYR,1.802204603
1991,SYR,1.883704805
1992,SYR,2.067558439
1993,SYR,2.133017259
1994,SYR,2.223540956
1995,SYR,2.314800948
1996,SYR,2.473898431
1997,SYR,2.530214412
1998,SYR,2.632775291
1999,SYR,2.475240759
2000,SYR,2.429854658
2001,SYR,2.393612112
2002,SYR,2.42505776
2003,SYR,2.533734358
2004,SYR,2.637842969
2005,SYR,2.726471312
2006,SYR,2.739002331
2007,SYR,2.716735117
2008,SYR,2.736439651
2009,SYR,2.851326403
2010,SYR,2.930838546
2011,SYR,2.962228475
2012,SYR,2.194087312
2013,SYR,1.700522714
2014,SYR,1.63336477
2015,SYR,1.635752627
2016,SYR,1.550422824
2017,SYR,1.53765853
2018,SYR,1.530849014
2019,SYR,1.490572496
2020,SYR,1.386318198
2021,SYR,1.386318198
1960,TCD,1
1961,TCD,0.994612191
1962,TCD,1.027758223
1963,TCD,0.991771214
1964,TCD,0.948223823
1965,TCD,0.935981543
1966,TCD,0.902213281
1967,TCD,0.892589415
1968,TCD,0.872106004
1969,TCD,0.914388861
1970,TCD,0.913046341
1971,TCD,0.874604984
1972,TCD,0.86572258
1973,TCD,0.77522673
1974,TCD,0.795863982
1975,TCD,0.849825003
1976,TCD,0.85856132
1977,TCD,0.862111909
1978,TCD,0.843158009
1979,TCD,0.648917005
1980,TCD,0.608941293
1981,TCD,0.615153203
1982,TCD,0.618099478
1983,TCD,0.680232247
1984,TCD,0.685509886
1985,TCD,0.826996511
1986,TCD,0.769905077
1987,TCD,0.72561287
1988,TCD,0.810111966
1989,TCD,0.821576711
1990,TCD,0.766110682
1991,TCD,0.801863701
1992,TCD,0.830231849
1993,TCD,0.684029141
1994,TCD,0.736831776
1995,TCD,0.713906798
1996,TCD,0.69815358
1997,TCD,0.712815681
1998,TCD,0.736829736
1999,TCD,0.706789733
2000,TCD,0.677054981
2001,TCD,0.731226515
2002,TCD,0.766428064
2003,TCD,0.845031172
2004,TCD,1.080212597
2005,TCD,1.21784422
2006,TCD,1.183097674
2007,TCD,1.181110975
2008,TCD,1.175938885
2009,TCD,1.183165045
2010,TCD,1.29846416
2011,TCD,1.254912702
2012,TCD,1.319548388
2013,TCD,1.346022671
2014,TCD,1.388435692
2015,TCD,1.382146026
2016,TCD,1.255524507
2017,TCD,1.178172833
2018,TCD,1.166078572
2019,TCD,1.164924638
2020,TCD,1.110623551
2021,TCD,1.063122417
1960,TGO,1
1961,TGO,1.103371653
1962,TGO,1.126190128
1963,TGO,1.162167599
1964,TGO,1.301254989
1965,TGO,1.463020773
1966,TGO,1.547900368
1967,TGO,1.570706602
1968,TGO,1.58358872
1969,TGO,1.687465472
1970,TGO,1.669519009
1971,TGO,1.618099369
1972,TGO,1.694040572
1973,TGO,1.714754845
1974,TGO,1.754029976
1975,TGO,1.754325913
1976,TGO,1.678241687
1977,TGO,1.753438752
1978,TGO,1.901733078
1979,TGO,1.759147878
1980,TGO,1.960986308
1981,TGO,1.83911026
1982,TGO,1.716053943
1983,TGO,1.569524124
1984,TGO,1.602588922
1985,TGO,1.638759361
1986,TGO,1.614970053
1987,TGO,1.574874858
1988,TGO,1.629609438
1989,TGO,1.646103006
1990,TGO,1.594519148
1991,TGO,1.538015324
1992,TGO,1.435071192
1993,TGO,1.226748744
1994,TGO,1.405644309
1995,TGO,1.449705044
1996,TGO,1.518779636
1997,TGO,1.681663262
1998,TGO,1.59581776
1999,TGO,1.588507521
2000,TGO,1.531973375
2001,TGO,1.503345293
2002,TGO,1.520646956
2003,TGO,1.581087235
2004,TGO,1.525042386
2005,TGO,1.416618765
2006,TGO,1.413898955
2007,TGO,1.357243653
2008,TGO,1.372669324
2009,TGO,1.408806933
2010,TGO,1.455333242
2011,TGO,1.507878601
2012,TGO,1.565270442
2013,TGO,1.618968478
2014,TGO,1.671963493
2015,TGO,1.72425214
2016,TGO,1.775411906
2017,TGO,1.807438293
2018,TGO,1.851663069
2019,TGO,1.906232337
2020,TGO,1.893814231
2021,TGO,1.946802851
1960,THA,1
1961,THA,1.022728817
1962,THA,1.067185557
1963,THA,1.118040179
1964,THA,1.158619189
1965,THA,1.215872301
1966,THA,1.311126786
1967,THA,1.382653765
1968,THA,1.452151108
1969,THA,1.503678251
1970,THA,1.628218507
1971,THA,1.660770045
1972,THA,1.684844519
1973,THA,1.80768569
1974,THA,1.839773303
1975,THA,1.883654703
1976,THA,2.011465012
1977,THA,2.159869124
1978,THA,2.329879804
1979,THA,2.402744016
1980,THA,2.47303428
1981,THA,2.563648458
1982,THA,2.645768446
1983,THA,2.737826125
1984,THA,2.838961461
1985,THA,2.914629139
1986,THA,3.019395612
1987,THA,3.247762665
1988,THA,3.61514113
1989,THA,3.987677383
1990,THA,4.360394384
1991,THA,4.660037062
1992,THA,4.962495759
1993,THA,5.29416705
1994,THA,5.636191278
1995,THA,6.010309624
1996,THA,6.267087879
1997,THA,6.01677373
1998,THA,5.489396617
1999,THA,5.676273217
2000,THA,5.870504775
2001,THA,6.017049226
2002,THA,6.330085001
2003,THA,6.727101175
2004,THA,7.091706886
2005,THA,7.331410836
2006,THA,7.637815119
2007,THA,7.991818447
2008,THA,8.069179982
2009,THA,7.956091885
2010,THA,8.496625578
2011,THA,8.51284965
2012,THA,9.070782199
2013,THA,9.258121854
2014,THA,9.298170853
2015,THA,9.544090039
2016,THA,9.828232727
2017,THA,10.1967761
2018,THA,10.59306765
2019,THA,10.79368485
2020,THA,10.10117908
2021,THA,10.23814672
1960,TTO,1
1961,TTO,1.11668736
1962,TTO,1.12584878
1963,TTO,1.167571963
1964,TTO,1.235006913
1965,TTO,1.223400727
1966,TTO,1.253939114
1967,TTO,1.262035693
1968,TTO,1.311361839
1969,TTO,1.332107169
1970,TTO,1.364886366
1971,TTO,1.363586859
1972,TTO,1.424037785
1973,TTO,1.428543455
1974,TTO,1.463367444
1975,TTO,1.465657064
1976,TTO,1.539554243
1977,TTO,1.658250261
1978,TTO,1.799599554
1979,TTO,1.837989827
1980,TTO,2.001012269
1981,TTO,2.065420977
1982,TTO,2.117129894
1983,TTO,1.876143839
1984,TTO,1.748138467
1985,TTO,1.655116901
1986,TTO,1.579015696
1987,TTO,1.488540047
1988,TTO,1.415035759
1989,TTO,1.390359694
1990,TTO,1.39985585
1991,TTO,1.432447468
1992,TTO,1.565642062
1993,TTO,1.544984024
1994,TTO,1.590974542
1995,TTO,1.643470396
1996,TTO,1.753200257
1997,TTO,1.878316671
1998,TTO,2.024163602
1999,TTO,2.179199228
2000,TTO,2.3206054
2001,TTO,2.405847539
2002,TTO,2.582521508
2003,TTO,2.938903555
2004,TTO,3.154778284
2005,TTO,3.331314807
2006,TTO,3.74983247
2007,TTO,3.905580178
2008,TTO,4.015021556
2009,TTO,3.815712976
2010,TTO,3.917064437
2011,TTO,3.878790103
2012,TTO,4.105240954
2013,TTO,4.232407259
2014,TTO,4.343107579
2015,TTO,4.282199865
2016,TTO,3.967662094
2017,TTO,3.757182328
2018,TTO,3.65985076
2019,TTO,3.627140138
2020,TTO,3.352624283
2021,TTO,3.301861484
1960,TUR,1
1961,TUR,0.984923874
1962,TUR,1.011912156
1963,TUR,1.074268061
1964,TUR,1.103863919
1965,TUR,1.107475395
1966,TUR,1.201095597
1967,TUR,1.225421017
1968,TUR,1.275363184
1969,TUR,1.295379341
1970,TUR,1.306449848
1971,TUR,1.348111539
1972,TUR,1.415971478
1973,TUR,1.429859928
1974,TUR,1.477405979
1975,TUR,1.551062379
1976,TUR,1.678319835
1977,TUR,1.698396749
1978,TUR,1.68696956
1979,TUR,1.641688581
1980,TUR,1.568760848
1981,TUR,1.612300802
1982,TUR,1.634571005
1983,TUR,1.676551605
1984,TUR,1.748904397
1985,TUR,1.783453823
1986,TUR,1.868678052
1987,TUR,2.004963131
1988,TUR,2.011239418
1989,TUR,1.978126411
1990,TUR,2.120882691
1991,TUR,2.097659878
1992,TUR,2.164905785
1993,TUR,2.290118119
1994,TUR,2.145237667
1995,TUR,2.275408323
1996,TUR,2.403276436
1997,TUR,2.543887359
1998,TUR,2.56466702
1999,TUR,2.443934666
2000,TUR,2.575554409
2001,TUR,2.391704864
2002,TUR,2.510550171
2003,TUR,2.620347434
2004,TUR,2.838082576
2005,TUR,3.051886674
2006,TUR,3.221884793
2007,TUR,3.342715996
2008,TUR,3.329709045
2009,TUR,3.129406336
2010,TUR,3.348171904
2011,TUR,3.674054413
2012,TUR,3.793544535
2013,TUR,4.045662463
2014,TUR,4.162025185
2015,TUR,4.330218465
2016,TUR,4.398282482
2017,TUR,4.666586367
2018,TUR,4.763892054
2019,TUR,4.762552288
2020,TUR,4.817223721
2021,TUR,5.323652687
1960,URY,1
1961,URY,1.012071693
1962,URY,0.984113828
1963,URY,0.974330247
1964,URY,0.987030486
1965,URY,0.986913516
1966,URY,1.007145427
1967,URY,0.96150112
1968,URY,0.97163556
1969,URY,1.021373778
1970,URY,1.039095798
1971,URY,1.030854707
1972,URY,1.011628838
1973,URY,1.008784769
1974,URY,1.031895023
1975,URY,1.087810183
1976,URY,1.123132808
1977,URY,1.132338355
1978,URY,1.186455867
1979,URY,1.253626205
1980,URY,1.321031329
1981,URY,1.336058231
1982,URY,1.200383334
1983,URY,1.071976582
1984,URY,1.054454459
1985,URY,1.064270967
1986,URY,1.151562883
1987,URY,1.236460583
1988,URY,1.24703669
1989,URY,1.252610485
1990,URY,1.248627433
1991,URY,1.285242733
1992,URY,1.379108049
1993,URY,1.407717207
1994,URY,1.501602428
1995,URY,1.471398792
1996,URY,1.544646314
1997,URY,1.667152187
1998,URY,1.733081918
1999,URY,1.691035922
2000,URY,1.651720106
2001,URY,1.584032672
2002,URY,1.459123087
2003,URY,1.469201988
2004,URY,1.541047714
2005,URY,1.654083195
2006,URY,1.719484169
2007,URY,1.828459155
2008,URY,1.955281143
2009,URY,2.033359122
2010,URY,2.186476263
2011,URY,2.293198692
2012,URY,2.367647994
2013,URY,2.470086975
2014,URY,2.542206837
2015,URY,2.543266426
2016,URY,2.577948376
2017,URY,2.613454271
2018,URY,2.622234012
2019,URY,2.630374337
2020,URY,2.468869074
2021,URY,2.578810081
1960,USA,1
1961,USA,1.006181212
1962,USA,1.051264865
1963,USA,1.081838506
1964,USA,1.128796236
1965,USA,1.186117611
1966,USA,1.248710388
1967,USA,1.266066854
1968,USA,1.31365602
1969,USA,1.341208244
1970,USA,1.321915626
1971,USA,1.348295778
1972,USA,1.404089562
1973,USA,1.469269586
1974,USA,1.448036667
1975,USA,1.430883494
1976,USA,1.493720211
1977,USA,1.547152774
1978,USA,1.615583103
1979,USA,1.648442239
1980,USA,1.628507656
1981,USA,1.653526749
1982,USA,1.608309907
1983,USA,1.66672339
1984,USA,1.771929765
1985,USA,1.829529113
1986,USA,1.875466503
1987,USA,1.923077537
1988,USA,1.985297098
1989,USA,2.038863722
1990,USA,2.053981613
1991,USA,2.024523406
1992,USA,2.066969823
1993,USA,2.096025394
1994,USA,2.153894188
1995,USA,2.185528825
1996,USA,2.241746292
1997,USA,2.313419674
1998,USA,2.389080321
1999,USA,2.475039073
2000,USA,2.54744488
2001,USA,2.546427947
2002,USA,2.565698653
2003,USA,2.614869766
2004,USA,2.690592414
2005,USA,2.758766217
2006,USA,2.808327075
2007,USA,2.837672131
2008,USA,2.81439278
2009,USA,2.717295781
2010,USA,2.767845408
2011,USA,2.790390045
2012,USA,2.833169571
2013,USA,2.865430656
2014,USA,2.909569196
2015,USA,2.966393202
2016,USA,2.994080785
2017,USA,3.041900315
2018,USA,3.115053998
2019,USA,3.172049157
2020,USA,3.05474925
2021,USA,3.232539938
1960,VCT,1
1961,VCT,1.026665205
1962,VCT,1.046068796
1963,VCT,0.96443358
1964,VCT,0.984115416
1965,VCT,0.977176868
1966,VCT,0.961808122
1967,VCT,0.857068731
1968,VCT,0.899743971
1969,VCT,0.912448993
1970,VCT,0.996818972
1971,VCT,1.013639215
1972,VCT,1.261007834
1973,VCT,1.109129666
1974,VCT,1.001209546
1975,VCT,0.916766689
1976,VCT,1.003876879
1977,VCT,1.128172136
1978,VCT,1.229887068
1979,VCT,1.263799602
1980,VCT,1.287467368
1981,VCT,1.338018638
1982,VCT,1.387875381
1983,VCT,1.408794055
1984,VCT,1.492803532
1985,VCT,1.576802649
1986,VCT,1.65789426
1987,VCT,1.659464861
1988,VCT,1.887860951
1989,VCT,1.91023816
1990,VCT,1.98654387
1991,VCT,2.003882964
1992,VCT,2.123367666
1993,VCT,2.205852774
1994,VCT,2.172157065
1995,VCT,2.336145315
1996,VCT,2.363831174
1997,VCT,2.446986768
1998,VCT,2.549549758
1999,VCT,2.622555654
2000,VCT,2.669802682
2001,VCT,2.720588492
2002,VCT,2.870750748
2003,VCT,3.072103335
2004,VCT,3.212713105
2005,VCT,3.309267249
2006,VCT,3.560388861
2007,VCT,3.698715489
2008,VCT,3.730783332
2009,VCT,3.695310727
2010,VCT,3.54729404
2011,VCT,3.545410832
2012,VCT,3.607436087
2013,VCT,3.718043762
2014,VCT,3.77956768
2015,VCT,3.900525014
2016,VCT,4.082277114
2017,VCT,4.166704621
2018,VCT,4.30481712
2019,VCT,4.336915183
2020,VCT,4.117970397
2021,VCT,4.185651126
1960,ZAF,1
1961,ZAF,1.009779239
1962,ZAF,1.040697665
1963,ZAF,1.084047907
1964,ZAF,1.134838125
1965,ZAF,1.167659975
1966,ZAF,1.182353234
1967,ZAF,1.228885165
1968,ZAF,1.241020083
1969,ZAF,1.260406486
1970,ZAF,1.287176725
1971,ZAF,1.303607189
1972,ZAF,1.287878487
1973,ZAF,1.308978747
1974,ZAF,1.350504731
1975,ZAF,1.336056448
1976,ZAF,1.329882412
1977,ZAF,1.293485272
1978,ZAF,1.297018385
1979,ZAF,1.310832059
1980,ZAF,1.361255854
1981,ZAF,1.397748077
1982,ZAF,1.35693749
1983,ZAF,1.296655738
1984,ZAF,1.325218652
1985,ZAF,1.270967699
1986,ZAF,1.230196351
1987,ZAF,1.212866672
1988,ZAF,1.220733165
1989,ZAF,1.208758244
1990,ZAF,1.168390298
1991,ZAF,1.127280821
1992,ZAF,1.080741468
1993,ZAF,1.07439961
1994,ZAF,1.089752101
1995,ZAF,1.105191971
1996,ZAF,1.135280092
1997,ZAF,1.148761461
1998,ZAF,1.140225884
1999,ZAF,1.154684755
2000,ZAF,1.191652108
2001,ZAF,1.213035623
2002,ZAF,1.246526057
2003,ZAF,1.27148143
2004,ZAF,1.317016107
2005,ZAF,1.373473579
2006,ZAF,1.436531153
2007,ZAF,1.498268165
2008,ZAF,1.528659107
2009,ZAF,1.487352354
2010,ZAF,1.514388488
2011,ZAF,1.542757804
2012,ZAF,1.558867731
2013,ZAF,1.576006885
2014,ZAF,1.573292677
2015,ZAF,1.561368249
2016,ZAF,1.556540949
2017,ZAF,1.568478709
2018,ZAF,1.572960412
2019,ZAF,1.557432536
2020,ZAF,1.440919563
2021,ZAF,1.496687693
1960,ZMB,1
1961,ZMB,0.98212315
1962,ZMB,0.9276989
1963,ZMB,0.927915615
1964,ZMB,1.008515162
1965,ZMB,1.139340081
1966,ZMB,1.041797532
1967,ZMB,1.088682381
1968,ZMB,1.067286853
1969,ZMB,1.029451202
1970,ZMB,1.047927992
1971,ZMB,1.018887484
1972,ZMB,1.082296942
1973,ZMB,1.042006491
1974,ZMB,1.077553186
1975,ZMB,1.022729886
1976,ZMB,1.054611478
1977,ZMB,0.976932033
1978,ZMB,0.953541764
1979,ZMB,0.897714872
1980,ZMB,0.897966924
1981,ZMB,0.92473338
1982,ZMB,0.870195054
1983,ZMB,0.82592647
1984,ZMB,0.798150733
