country,country_code,value,series
Latvia,LVA,6591454.0,Annual CO2 emissions
Lebanon,LBN,23904522.0,Annual CO2 emissions
Lesotho,LSO,3134694.0,Annual CO2 emissions
Liberia,LBR,876934.0,Annual CO2 emissions
Libya,LBY,62961304.0,Annual CO2 emissions
Liechtenstein,LIE,149934.0,Annual CO2 emissions
Lithuania,LTU,12667216.0,Annual CO2 emissions
Low-income countries,,210954830.0,Annual CO2 emissions
Lower-middle-income countries,,6375420400.0,Annual CO2 emissions
Luxembourg,LUX,7524108.0,Annual CO2 emissions
Macao,MAC,1051646.0,Annual CO2 emissions
Madagascar,MDG,4403593.0,Annual CO2 emissions
Malawi,MWI,2094072.1,Annual CO2 emissions
Malaysia,MYS,291071360.0,Annual CO2 emissions
Maldives,MDV,1701072.0,Annual CO2 emissions
Mali,MLI,7038757.0,Annual CO2 emissions
Malta,MLT,1655127.0,Annual CO2 emissions
Marshall Islands,MHL,151206.0,Annual CO2 emissions
Mauritania,MRT,4534088.0,Annual CO2 emissions
Mauritius,MUS,4249021.0,Annual CO2 emissions
Mexico,MEX,511971970.0,Annual CO2 emissions
Micronesia (country),FSM,151206.0,Annual CO2 emissions
Middle East (GCP),,2677581300.0,Annual CO2 emissions
Moldova,MDA,5422021.0,Annual CO2 emissions
Monaco,MCO,,Annual CO2 emissions
Mongolia,MNG,37894484.0,Annual CO2 emissions
Montenegro,MNE,2292498.0,Annual CO2 emissions
Montserrat,MSR,21380.0,Annual CO2 emissions
Morocco,MAR,68411810.0,Annual CO2 emissions
Mozambique,MOZ,8003215.0,Annual CO2 emissions
Myanmar,MMR,34922210.0,Annual CO2 emissions
Namibia,NAM,3952970.0,Annual CO2 emissions
Nauru,NRU,52922.0,Annual CO2 emissions
Nepal,NPL,15499952.0,Annual CO2 emissions
Netherlands,NLD,125358230.0,Annual CO2 emissions
New Caledonia,NCL,5115215.0,Annual CO2 emissions
New Zealand,NZL,32211814.0,Annual CO2 emissions
Nicaragua,NIC,5550354.0,Annual CO2 emissions
Niger,NER,3058157.0,Annual CO2 emissions
Nigeria,NGA,128759470.0,Annual CO2 emissions
Niue,NIU,7560.0,Annual CO2 emissions
Non-OECD (GCP),,24332601000.0,Annual CO2 emissions
North America,,6279689000.0,Annual CO2 emissions
North America (GCP),,6117871600.0,Annual CO2 emissions
North America (excl. USA),,1222385900.0,Annual CO2 emissions
North Korea,PRK,50871636.0,Annual CO2 emissions
North Macedonia,MKD,7588422.0,Annual CO2 emissions
Norway,NOR,40808000.0,Annual CO2 emissions
OECD (GCP),,11767842000.0,Annual CO2 emissions
Oceania,,441077630.0,Annual CO2 emissions
Oceania (GCP),,433254500.0,Annual CO2 emissions
Oman,OMN,71986390.0,Annual CO2 emissions
Pakistan,PAK,200199900.0,Annual CO2 emissions
Palau,PLW,219249.0,Annual CO2 emissions
Palestine,PSE,3496896.0,Annual CO2 emissions
Panama,PAN,11899901.0,Annual CO2 emissions
Papua New Guinea,PNG,7823140.0,Annual CO2 emissions
Paraguay,PRY,9018049.0,Annual CO2 emissions
Peru,PER,60921110.0,Annual CO2 emissions
Philippines,PHL,150395980.0,Annual CO2 emissions
Poland,POL,323117300.0,Annual CO2 emissions
Portugal,PRT,41605030.0,Annual CO2 emissions
Qatar,QAT,101340350.0,Annual CO2 emissions
Romania,ROU,73521290.0,Annual CO2 emissions
Russia,RUS,1652177300.0,Annual CO2 emissions
Rwanda,RWA,1547760.0,Annual CO2 emissions
Saint Helena,SHN,17816.0,Annual CO2 emissions
Saint Kitts and Nevis,KNA,224486.0,Annual CO2 emissions
Saint Lucia,LCA,470351.0,Annual CO2 emissions
Saint Pierre and Miquelon,SPM,60576.0,Annual CO2 emissions
Saint Vincent and the Grenadines,VCT,238739.0,Annual CO2 emissions
Samoa,WSM,249491.0,Annual CO2 emissions
San Marino,SMR,,Annual CO2 emissions
Sao Tome and Principe,STP,132255.0,Annual CO2 emissions
Saudi Arabia,SAU,662549400.0,Annual CO2 emissions
Senegal,SEN,11668435.0,Annual CO2 emissions
Serbia,SRB,43506644.0,Annual CO2 emissions
Seychelles,SYC,658828.0,Annual CO2 emissions
Sierra Leone,SLE,1129488.0,Annual CO2 emissions
Singapore,SGP,53252430.0,Annual CO2 emissions
Sint Maarten (Dutch part),SXM,634261.0,Annual CO2 emissions
Slovakia,SVK,34151680.0,Annual CO2 emissions
Slovenia,SVN,12714800.0,Annual CO2 emissions
Solomon Islands,SLB,298633.0,Annual CO2 emissions
Somalia,SOM,646921.0,Annual CO2 emissions
South Africa,ZAF,404053980.0,Annual CO2 emissions
South America,,1085392400.0,Annual CO2 emissions
