date,value
1983-01-01,25.9
1985-01-01,26.9
1988-01-01,28.8
1991-01-01,27.6
1995-01-01,32.9
2000-01-01,33.4
2005-01-01,33.2
2010-01-01,32.1
2016-01-01,32.4
2022-01-01,31.8
