date,region,value,region_short,label_wrapped
2014-07-01,Aberdeen City and Aberdeenshire,100.0,Aberdeen area,Aberdeen City and|Aberdeenshire
2014-08-01,Aberdeen City and Aberdeenshire,100.66983409968144,Aberdeen area,Aberdeen City and|Aberdeenshire
2014-09-01,Aberdeen City and Aberdeenshire,100.84612695490989,Aberdeen area,Aberdeen City and|Aberdeenshire
2014-10-01,Aberdeen City and Aberdeenshire,100.22006773901549,Aberdeen area,Aberdeen City and|Aberdeenshire
2014-11-01,Aberdeen City and Aberdeenshire,101.386613798664,Aberdeen area,Aberdeen City and|Aberdeenshire
2014-12-01,Aberdeen City and Aberdeenshire,101.86873909666161,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-01-01,Aberdeen City and Aberdeenshire,101.4530942413509,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-02-01,Aberdeen City and Aberdeenshire,100.80604063689891,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-03-01,Aberdeen City and Aberdeenshire,102.79385698785855,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-04-01,Aberdeen City and Aberdeenshire,99.65528960615751,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-05-01,Aberdeen City and Aberdeenshire,99.31680995210473,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-06-01,Aberdeen City and Aberdeenshire,98.88420073339128,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-07-01,Aberdeen City and Aberdeenshire,97.76400778440976,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-08-01,Aberdeen City and Aberdeenshire,96.46668680512244,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-09-01,Aberdeen City and Aberdeenshire,96.46947702881565,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-10-01,Aberdeen City and Aberdeenshire,95.70410953736791,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-11-01,Aberdeen City and Aberdeenshire,95.35705734597971,Aberdeen area,Aberdeen City and|Aberdeenshire
2015-12-01,Aberdeen City and Aberdeenshire,94.86262759204374,Aberdeen area,Aberdeen City and|Aberdeenshire
2016-01-01,Aberdeen City and Aberdeenshire,93.69934595556599,Aberdeen area,Aberdeen City and|Aberdeenshire
2016-02-01,Aberdeen City and Aberdeenshire,92.72018109324969,Aberdeen area,Aberdeen City and|Aberdeenshire
2016-03-01,Aberdeen City and Aberdeenshire,93.29483309314352,Aberdeen area,Aberdeen City and|Aberdeenshire
2016-04-01,Aberdeen City and Aberdeenshire,93.6784171176745,Aberdeen area,Aberdeen City and|Aberdeenshire
2016-05-01,Aberdeen City and Aberdeenshire,91.55055608901962,Aberdeen area,Aberdeen City and|Aberdeenshire
2016-06-01,Aberdeen City and Aberdeenshire,91.7681768514661,Aberdeen area,Aberdeen City and|Aberdeenshire
