date,Exports to Russia,Imports from Russia,Exports (3m mean),Imports (3m mean)
1995-09-01,0.2684478473742652,0.39926000487263225,0.23895557076599086,0.3795067425379018
1995-10-01,0.3021376876091205,0.5097181074201954,0.27596662681918394,0.4415807748889762
1995-11-01,0.300582039928432,0.3723145960832791,0.29038919163727256,0.42709756945870225
1995-12-01,0.3029010498570501,0.4374973173489279,0.3018735924648675,0.4398433402841342
1996-01-01,0.18167111938149325,0.25337858384859735,0.2617180697223251,0.3543968324269348
1996-02-01,0.22309732429681292,0.2575141343511484,0.23588983117845208,0.3161300118495579
1996-03-01,0.23104776144552408,0.2722250864814469,0.21193873504127678,0.2610392682270642
1996-04-01,0.2524384978963229,0.31378064458798205,0.2355278612128866,0.2811732884735258
1996-05-01,0.19495463695664958,0.3948778245815153,0.2261469654328322,0.3269611852169814
1996-06-01,0.1910710964866816,0.32322243466086154,0.21282141044655134,0.3439603012767864
1996-07-01,0.20813205638640767,0.29286139716992987,0.19805259660991295,0.3369872188041023
1996-08-01,0.2553989552468703,0.29556498835304074,0.21820070270665318,0.3038829400612774
1996-09-01,0.2445160650046291,0.26114509106754596,0.2360156922126357,0.2831904921968389
1996-10-01,0.2368433628541593,0.2783909214783186,0.24558612770188626,0.2783670002996352
1996-11-01,0.2526357689092061,0.36270206721344045,0.24466506558933152,0.30074602658643507
1996-12-01,0.4288286141025896,0.31259482361565055,0.3061025819553183,0.31789593743580324
1997-01-01,0.21727045856963612,0.29460080701380176,0.2995782805271439,0.3232992326142976
1997-02-01,0.2661173388478397,0.26895193892298064,0.3040721371733552,0.292049189850811
1997-03-01,0.3553792055882353,0.39170365881101377,0.2795890010019037,0.3184188015825988
1997-04-01,0.2925141016385241,0.3185071064227642,0.3046702153581997,0.3263875680522529
1997-05-01,0.3247192710881801,0.38226737979362096,0.3242041927716465,0.3641593816757997
1997-06-01,0.30306968886392016,0.3036071962297129,0.3067676871968748,0.33479389414869937
1997-07-01,0.3217686883167083,0.32182237203241904,0.3165192160896029,0.335898982685251
1997-08-01,0.36363819494402994,0.35100035384950246,0.3294921907082195,0.3254766407038782
1997-09-01,0.4103039683684863,0.3876893748573201,0.3652369505430748,0.35350403357974725
1997-10-01,0.3522286790278638,0.3503987267616099,0.37539028078012665,0.3630294851561442
1997-11-01,0.3701421815151516,0.369655304978355,0.3775582763038339,0.36924780219909503
1997-12-01,0.3602009106365883,0.4021053355871446,0.3608572570598679,0.3740531224423698
1998-01-01,0.28475092592592594,0.29803930246913574,0.3383646726925553,0.35659998101154516
1998-02-01,0.2974698006172839,0.363721849382716,0.3141405457265994,0.3546221624796655
1998-03-01,0.2944324574074074,0.3942851154320987,0.29221772798353907,0.3520154224279835
1998-04-01,0.219177457459926,0.27491982120838476,0.2703599051615391,0.3443089286743999
1998-05-01,0.2604367693726937,0.347816426199262,0.25801556141334236,0.33900712094658186
1998-06-01,0.23877099754299755,0.36061221068796073,0.23946174145853907,0.32778281936520254
1998-07-01,0.24120078431372557,0.36726588174019614,0.24680285040980562,0.358564839542473
1998-08-01,0.30244939840881274,0.32202297490820075,0.26080706008851195,0.3499670224454526
1998-09-01,0.07523694189602446,0.3265283278287462,0.2062957082061876,0.3386057281590477
1998-10-01,0.11595738743136057,0.298524600976205,0.16454790924539928,0.315691967904384
1998-11-01,0.12125079646556977,0.34688597257769654,0.10414837526431826,0.32397963379421596
1998-12-01,0.09615020316301702,0.3651462968369829,0.11111946235331578,0.33685229013029483
1999-01-01,0.07378197486473588,0.2779987812650273,0.09706099149777421,0.33001035022656894
1999-02-01,0.10545199525284761,0.2857247554204007,0.09179472442686683,0.3096232778408037
1999-03-01,0.10026410986574635,0.28252148928567955,0.09316602666110994,0.28208167532370254
1999-04-01,0.058073950131561185,0.31193151094388183,0.08793001841671838,0.29339258521665407
1999-05-01,0.0726678857320964,0.29558543998006026,0.07700198190980131,0.29667948006987394
1999-06-01,0.06764116926573495,0.341750752460482,0.06612766837646417,0.31642256779480804
1999-07-01,0.07493604740811037,0.3533885025907618,0.07174836746864724,0.3302415650104347
1999-08-01,0.09444303695813884,0.36004273722842606,0.07900675121066138,0.35172733075989
1999-09-01,0.11032307163942193,0.40148382813200234,0.09323405200189039,0.37163835598373013
1999-10-01,0.1258694398270137,0.42052643294414044,0.11021184947485817,0.39401766610152295
1999-11-01,0.11068872338559384,0.47233616894643704,0.11562707828400982,0.43144881000752666
1999-12-01,0.09170095269212085,0.5716439062117299,0.10941970530157613,0.4881688360341025
2000-01-01,0.08796042714572948,0.4079157304073244,0.09678336774114805,0.48396526852183047
2000-02-01,0.10561995173289411,0.5380282160988824,0.09509377719024814,0.5058626175726456
2000-03-01,0.08498420638670176,0.5186980243949122,0.09285486175510844,0.488213990300373
2000-04-01,0.09752660963153892,0.4581846965612639,0.09604358925037826,0.5049703123516861
2000-05-01,0.0862633903674416,0.5143621236985982,0.08959140212856076,0.4970816148849248
2000-06-01,0.08799622919890245,0.6595799161040651,0.09059540973262765,0.5440422454546424
2000-07-01,0.08525633477312683,0.6001750243939201,0.08650531811315697,0.5913723547321945
2000-08-01,0.08757983208902141,0.6696689815223509,0.08694413202035023,0.643141307340112
2000-09-01,0.10156962387580645,0.5635260046217742,0.09146859691265156,0.611123336846015
2000-10-01,0.10301234512213917,0.6201976792782059,0.09738726702898902,0.6177975551407769
2000-11-01,0.11986705343380026,0.7219206898575202,0.1081496741439153,0.6352147912525
2000-12-01,0.1018110085438717,0.6605910486501146,0.10823013569993704,0.6675698059286136
