country_code,country,year,value
GBR,United Kingdom,2024,26.605219
NOR,Norway,2024,34.826404
LVA,Latvia,2024,18.130817
ISL,Iceland,2024,26.722572
HUN,Hungary,2024,22.440655
NLD,Netherlands,2024,25.198871
FIN,Finland,2024,25.332744
BEL,Belgium,2024,22.378323
DNK,Denmark,2024,33.360155
GRC,Greece,2024,27.10236
IRL,Ireland,2024,18.257989
ITA,Italy,2024,25.482386
LUX,Luxembourg,2024,29.048575
AUT,Austria,2024,27.887788
CZE,Czechia,2024,17.739563
KOR,Korea,2024,13.201964
ISR,Israel,2024,23.575038
CAN,Canada,2024,15.214754
NZL,New Zealand,2024,30.536135
CHL,Chile,2024,17.796299
CRI,Costa Rica,2024,14.807518
TUR,Türkiye,2024,14.892033
ESP,Spain,2024,15.092609
SWE,Sweden,2024,21.272003
SVN,Slovenia,2024,20.978751
PRT,Portugal,2024,23.303079
SVK,Slovak Republic,2024,19.487938
POL,Poland,2024,17.421196
CHE,Switzerland,2024,9.202858
JPN,Japan,2024,12.857432
MEX,Mexico,2024,14.646214
DEU,Germany,2024,10.836527
COL,Colombia,2024,14.731919
EST,Estonia,2024,29.327604
LTU,Lithuania,2024,21.953365
FRA,France,2024,12.672489
USA,United States,2024,10.721753
