"Gross value added per hour worked"
"Estimated value of goods and services produced per hour worked"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 18 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/gross-value-added-per-hour-worked

Area code,Area name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E92000001,England,26.07,25.94,27.42,28.41,29.25,29.83,30.32,30.74,31.22,31.79,32.43,33.18,33.95,34.82,35.91,37.11,38.54,40.07,41.5,42.39
N92000002,Northern Ireland,20.67,20.57,21.7,22.43,22.98,23.4,23.89,24.48,25.07,25.59,26.23,27.02,27.85,28.52,29.31,30.52,32.26,34.33,35.95,36.88
S92000003,Scotland,23.84,23.74,24.91,25.87,26.93,27.9,28.74,29.42,30.12,30.85,31.55,32.18,32.78,33.59,34.71,35.91,37.27,38.75,40.28,41.28
W92000004,Wales,21.29,21.23,22.16,22.87,23.53,24.06,24.65,25.27,25.89,26.35,26.73,27.21,27.82,28.66,29.7,30.82,31.93,33.13,34.32,35.15
