"Gross disposable household income per head"
"Average income per person (£) after taxes and direct benefits"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 18 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/gross-disposable-household-income-per-head

Area code,Area name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E92000001,England,10854,11088,11592,12188,12653,12920,13296,13827,14322,14909,15619,15994,16287,16423,16560,17192,17852,18426,19449,19684,20139,20914,21519,21457,22224,23432,25425
N92000002,Northern Ireland,8563,8583,8913,9380,9642,10166,10646,11243,11816,12404,12658,12870,13039,13225,13516,13745,14304,14757,15245,15476,15861,16215,16795,16971,17807,18903,20403
S92000003,Scotland,9560,9782,10151,10740,11278,11668,12066,12648,13078,13692,14399,15005,15198,15408,15699,16190,16774,17189,17715,17856,18185,18619,19361,19345,20000,21133,22908
W92000004,Wales,9251,9297,9721,10281,10707,11049,11394,11845,12141,12526,12885,13423,13440,13642,13865,14290,14608,15086,15585,15711,16268,16893,17356,17598,18150,18858,20140
