year,estimated,recorded
2010,5,344
2011,5,42
2012,57,90
2013,14,141
2014,0,26
2015,0,5
2016,0,33
2017,0,5
2018,2,13
2019,0,3
2020,1,4
2021,0,0
2022,5,4
2023,0,0
2024,0,0
2025,0,1
2026,0,1
