date,stations,lo,hi
2016-07-26,759,759,759
2016-09-01,760,760,760
2016-10-13,761,761,761
2016-12-15,762,762,762
2017-02-17,763,763,763
2017-03-09,764,764,764
2017-07-20,765,765,765
2017-07-31,766,766,766
2017-10-26,767,767,767
2018-02-01,768,768,768
2018-02-05,770,770,770
2018-02-06,771,771,771
2018-02-07,774,774,774
2018-06-19,775,775,777
2018-06-22,776,776,778
2018-07-18,777,776,778
2018-08-15,778,776,778
2018-10-11,779,779,779
2018-10-31,780,780,780
2018-12-12,781,781,781
2018-12-13,782,782,782
2019-07-17,783,783,783
2019-07-24,785,785,785
2020-09-10,786,786,787
2020-09-17,787,786,787
2020-09-23,788,788,788
2020-12-18,790,790,790
2022-01-27,791,791,791
2022-04-19,792,792,792
2022-08-06,793,793,796
2022-08-21,794,793,796
2022-09-18,795,793,796
2022-10-03,796,793,796
2022-10-17,799,799,799
2025-02-04,800,800,800
2026-06-01,801,801,801
