year,hires,part_year
2010,2180813,True
2011,7142449,False
2012,9519283,False
2013,8045459,False
2014,10023897,False
2015,9871839,False
2016,10303637,False
2017,10446044,False
2018,10567540,False
2019,10424955,False
2020,10434167,False
2021,10941264,False
2022,11505872,False
2023,8531168,False
2024,8768238,False
2025,9066554,False
2026,5422496,True
