date,value,series
2014-10-01,1.3,CPIH
2014-11-01,1.1,CPIH
2014-12-01,0.7,CPIH
2015-01-01,0.5,CPIH
2015-02-01,0.4,CPIH
2015-03-01,0.3,CPIH
2015-04-01,0.3,CPIH
2015-05-01,0.4,CPIH
2015-06-01,0.3,CPIH
2015-07-01,0.5,CPIH
2015-08-01,0.4,CPIH
2015-09-01,0.2,CPIH
2015-10-01,0.2,CPIH
2015-11-01,0.4,CPIH
2015-12-01,0.5,CPIH
2016-01-01,0.6,CPIH
2016-02-01,0.6,CPIH
2016-03-01,0.8,CPIH
2016-04-01,0.7,CPIH
2016-05-01,0.7,CPIH
2016-06-01,0.8,CPIH
2016-07-01,0.9,CPIH
2016-08-01,1.0,CPIH
2016-09-01,1.3,CPIH
2016-10-01,1.3,CPIH
2016-11-01,1.5,CPIH
2016-12-01,1.8,CPIH
2017-01-01,1.9,CPIH
2017-02-01,2.3,CPIH
2017-03-01,2.3,CPIH
2017-04-01,2.6,CPIH
2017-05-01,2.7,CPIH
2017-06-01,2.6,CPIH
2017-07-01,2.6,CPIH
2017-08-01,2.7,CPIH
2017-09-01,2.8,CPIH
2017-10-01,2.8,CPIH
2017-11-01,2.8,CPIH
2017-12-01,2.7,CPIH
2018-01-01,2.7,CPIH
2018-02-01,2.5,CPIH
2018-03-01,2.3,CPIH
2018-04-01,2.2,CPIH
2018-05-01,2.3,CPIH
2018-06-01,2.3,CPIH
2018-07-01,2.3,CPIH
2018-08-01,2.4,CPIH
2018-09-01,2.2,CPIH
2018-10-01,2.2,CPIH
2018-11-01,2.2,CPIH
2018-12-01,2.0,CPIH
2019-01-01,1.8,CPIH
2019-02-01,1.8,CPIH
2019-03-01,1.8,CPIH
2019-04-01,2.0,CPIH
2019-05-01,1.9,CPIH
2019-06-01,1.9,CPIH
2019-07-01,2.0,CPIH
2019-08-01,1.7,CPIH
2019-09-01,1.7,CPIH
2019-10-01,1.5,CPIH
2019-11-01,1.5,CPIH
2019-12-01,1.4,CPIH
2020-01-01,1.8,CPIH
2020-02-01,1.7,CPIH
2020-03-01,1.5,CPIH
2020-04-01,0.9,CPIH
2020-05-01,0.7,CPIH
2020-06-01,0.8,CPIH
2020-07-01,1.1,CPIH
2020-08-01,0.5,CPIH
2020-09-01,0.7,CPIH
2020-10-01,0.9,CPIH
2020-11-01,0.6,CPIH
2020-12-01,0.8,CPIH
2021-01-01,0.9,CPIH
2021-02-01,0.7,CPIH
2021-03-01,1.0,CPIH
2021-04-01,1.6,CPIH
2021-05-01,2.1,CPIH
2021-06-01,2.4,CPIH
2021-07-01,2.1,CPIH
2021-08-01,3.0,CPIH
2021-09-01,2.9,CPIH
2021-10-01,3.8,CPIH
2021-11-01,4.6,CPIH
2021-12-01,4.8,CPIH
2022-01-01,4.9,CPIH
2022-02-01,5.5,CPIH
2022-03-01,6.2,CPIH
2022-04-01,7.8,CPIH
2022-05-01,7.9,CPIH
2022-06-01,8.2,CPIH
2022-07-01,8.8,CPIH
2022-08-01,8.6,CPIH
2022-09-01,8.8,CPIH
2022-10-01,9.6,CPIH
2022-11-01,9.3,CPIH
2022-12-01,9.2,CPIH
2023-01-01,8.8,CPIH
2023-02-01,9.2,CPIH
2023-03-01,8.9,CPIH
2023-04-01,7.8,CPIH
2023-05-01,7.9,CPIH
2023-06-01,7.3,CPIH
2023-07-01,6.4,CPIH
2023-08-01,6.3,CPIH
2023-09-01,6.3,CPIH
2023-10-01,4.7,CPIH
2023-11-01,4.2,CPIH
2023-12-01,4.2,CPIH
2024-01-01,4.2,CPIH
2024-02-01,3.8,CPIH
2024-03-01,3.8,CPIH
2024-04-01,3.0,CPIH
2024-05-01,2.8,CPIH
2024-06-01,2.8,CPIH
2024-07-01,3.1,CPIH
2024-08-01,3.1,CPIH
2024-09-01,2.6,CPIH
2024-10-01,3.2,CPIH
2014-10-01,1.3,CPI
2014-11-01,1.0,CPI
2014-12-01,0.5,CPI
2015-01-01,0.3,CPI
2015-02-01,0.0,CPI
2015-03-01,0.0,CPI
2015-04-01,-0.1,CPI
2015-05-01,0.1,CPI
2015-06-01,0.0,CPI
2015-07-01,0.1,CPI
2015-08-01,0.0,CPI
2015-09-01,-0.1,CPI
2015-10-01,-0.1,CPI
2015-11-01,0.1,CPI
2015-12-01,0.2,CPI
2016-01-01,0.3,CPI
2016-02-01,0.3,CPI
2016-03-01,0.5,CPI
2016-04-01,0.3,CPI
2016-05-01,0.3,CPI
2016-06-01,0.5,CPI
2016-07-01,0.6,CPI
2016-08-01,0.6,CPI
2016-09-01,1.0,CPI
2016-10-01,0.9,CPI
2016-11-01,1.2,CPI
2016-12-01,1.6,CPI
2017-01-01,1.8,CPI
2017-02-01,2.3,CPI
2017-03-01,2.3,CPI
2017-04-01,2.7,CPI
2017-05-01,2.9,CPI
2017-06-01,2.6,CPI
2017-07-01,2.6,CPI
2017-08-01,2.9,CPI
2017-09-01,3.0,CPI
2017-10-01,3.0,CPI
2017-11-01,3.1,CPI
2017-12-01,3.0,CPI
2018-01-01,3.0,CPI
2018-02-01,2.7,CPI
2018-03-01,2.5,CPI
2018-04-01,2.4,CPI
2018-05-01,2.4,CPI
2018-06-01,2.4,CPI
2018-07-01,2.5,CPI
2018-08-01,2.7,CPI
2018-09-01,2.4,CPI
2018-10-01,2.4,CPI
2018-11-01,2.3,CPI
2018-12-01,2.1,CPI
2019-01-01,1.8,CPI
2019-02-01,1.9,CPI
2019-03-01,1.9,CPI
2019-04-01,2.1,CPI
2019-05-01,2.0,CPI
2019-06-01,2.0,CPI
2019-07-01,2.1,CPI
2019-08-01,1.7,CPI
