date,series,value
2014-09-01,Real Total Pay,0.001
2014-10-01,Real Total Pay,0.006
2014-11-01,Real Total Pay,0.006999999999999999
2014-12-01,Real Total Pay,0.015
2015-01-01,Real Total Pay,0.009000000000000001
2015-02-01,Real Total Pay,0.01
2015-03-01,Real Total Pay,0.037000000000000005
2015-04-01,Real Total Pay,0.022000000000000002
2015-05-01,Real Total Pay,0.021
2015-06-01,Real Total Pay,0.021
2015-07-01,Real Total Pay,0.031
2015-08-01,Real Total Pay,0.027999999999999997
2015-09-01,Real Total Pay,0.018000000000000002
2015-10-01,Real Total Pay,0.016
2015-11-01,Real Total Pay,0.016
2015-12-01,Real Total Pay,0.012
2016-01-01,Real Total Pay,0.02
2016-02-01,Real Total Pay,0.01
2016-03-01,Real Total Pay,0.011000000000000001
2016-04-01,Real Total Pay,0.022000000000000002
2016-05-01,Real Total Pay,0.017
2016-06-01,Real Total Pay,0.018000000000000002
2016-07-01,Real Total Pay,0.017
2016-08-01,Real Total Pay,0.013000000000000001
2016-09-01,Real Total Pay,0.012
2016-10-01,Real Total Pay,0.013999999999999999
2016-11-01,Real Total Pay,0.013000000000000001
2016-12-01,Real Total Pay,0.001
2017-01-01,Real Total Pay,-0.002
2017-02-01,Real Total Pay,0.004
2017-03-01,Real Total Pay,0.002
2017-04-01,Real Total Pay,-0.012
2017-05-01,Real Total Pay,-0.006
2017-06-01,Real Total Pay,0.005
2017-07-01,Real Total Pay,-0.01
2017-08-01,Real Total Pay,-0.003
2017-09-01,Real Total Pay,0.001
2017-10-01,Real Total Pay,-0.005
2017-11-01,Real Total Pay,-0.006
2017-12-01,Real Total Pay,0.003
2018-01-01,Real Total Pay,-0.002
2018-02-01,Real Total Pay,0.0
2018-03-01,Real Total Pay,0.004
2018-04-01,Real Total Pay,0.006
2018-05-01,Real Total Pay,0.004
2018-06-01,Real Total Pay,-0.001
2018-07-01,Real Total Pay,0.01
2018-08-01,Real Total Pay,0.01
2018-09-01,Real Total Pay,0.006
2018-10-01,Real Total Pay,0.019
2018-11-01,Real Total Pay,0.01
2018-12-01,Real Total Pay,0.01
2019-01-01,Real Total Pay,0.017
2019-02-01,Real Total Pay,0.013999999999999999
2019-03-01,Real Total Pay,0.01
2019-04-01,Real Total Pay,0.019
2019-05-01,Real Total Pay,0.022000000000000002
2019-06-01,Real Total Pay,0.021
2019-07-01,Real Total Pay,0.021
2019-08-01,Real Total Pay,0.016
2019-09-01,Real Total Pay,0.022000000000000002
2019-10-01,Real Total Pay,0.009000000000000001
2019-11-01,Real Total Pay,0.017
2019-12-01,Real Total Pay,0.01
2020-01-01,Real Total Pay,0.011000000000000001
2020-02-01,Real Total Pay,0.006999999999999999
2020-03-01,Real Total Pay,-0.003
2020-04-01,Real Total Pay,-0.015
2020-05-01,Real Total Pay,-0.017
2020-06-01,Real Total Pay,-0.022000000000000002
2020-07-01,Real Total Pay,-0.012
