Occupation,Median,Employment,Value,Employment_Rank
Recreational Therapists,51330,15920.0,0.0028,407.0
Emergency Management Directors,79180,11290.0,0.003,455.0
Mental Health and Substance Abuse Social Workers,51240,107940.0,0.0031,179.0
Audiologists,82680,13940.0,0.0033,428.0
Occupational Therapists,93180,134980.0,0.0035,151.0
Orthotists and Prosthetists,77070,9150.0,0.0035,471.0
Healthcare Social Workers,60280,182420.0,0.0035,121.0
Oral and Maxillofacial Surgeons,#,4290.0,0.0036,516.0
Dietitians and Nutritionists,66450,69880.0,0.0039,234.0
Lodging Managers,61910,39870.0,0.0039,301.0
Choreographers,50990,5400.0,0.004,508.0
Sales Engineers,108530,59700.0,0.0041,248.0
Instructional Coordinators,66490,198660.0,0.0042,116.0
"Psychologists, All Other",106420,13900.0,0.0043,429.0
"Dentists, General",155040,120740.0,0.0044,163.0
"Elementary School Teachers, Except Special Education",61690,1394200.0,0.0044,14.0
"Medical Scientists, Except Epidemiologists",99930,110550.0,0.0045,175.0
Podiatrists,148720,9320.0,0.0046,470.0
Fabric and Apparel Patternmakers,60320,3070.0,0.0049,532.0
Set and Exhibit Designers,59990,9490.0,0.0055,465.0
Human Resources Managers,130000,181360.0,0.0055,123.0
Recreation Workers,31680,270380.0,0.0061,92.0
Training and Development Managers,120000,39550.0,0.0063,302.0
Computer Systems Analysts,102240,505210.0,0.0065,43.0
Social and Community Service Managers,74240,162880.0,0.0067,132.0
Curators,60380,11620.0,0.0068,450.0
Athletic Trainers,53840,29720.0,0.0071,334.0
Medical and Health Services Managers,104830,476750.0,0.0073,45.0
"Preschool Teachers, Except Special Education",35330,415360.0,0.0074,58.0
Anthropologists and Archeologists,63940,7350.0,0.0077,487.0
"Special Education Teachers, Secondary School",63560,152490.0,0.0077,140.0
"Secondary School Teachers, Except Special and Career/Technical Education",62360,1042090.0,0.0078,19.0
Clergy,55550,53140.0,0.0081,263.0
Foresters,64220,9430.0,0.0081,467.5
"Career/Technical Education Teachers, Secondary School",62500,88280.0,0.0088,207.0
Registered Nurses,81220,3072700.0,0.009,4.0
Rehabilitation Counselors,39990,82420.0,0.0094,214.0
"Teachers and Instructors, All Other",61250,120480.0,0.0095,164.0
Forensic Science Technicians,63740,17590.0,0.0095,393.0
"Makeup Artists, Theatrical and Performance",96370,2970.0,0.01,534.0
Marine Engineers and Naval Architects,96910,7450.0,0.01,485.0
"Education Administrators, Postsecondary",99940,167060.0,0.01,129.0
Mechanical Engineers,96310,277560.0,0.011,90.0
Pharmacists,132750,325480.0,0.012,79.0
Logisticians,77520,202970.0,0.012,113.0
Microbiologists,81990,19710.0,0.012,383.0
Coaches and Scouts,44890,218970.0,0.013,105.0
Sales Managers,130600,536390.0,0.013,41.0
Hydrologists,85990,6270.0,0.014,500.0
Marketing Managers,140040,328570.0,0.014,76.0
Marriage and Family Therapists,56570,62080.0,0.014,244.0
"Engineers, All Other",104600,150420.0,0.014,142.0
Training and Development Specialists,63080,367180.0,0.014,67.0
"Biological Scientists, All Other",87300,55300.0,0.015,256.0
Computer and Information Research Scientists,136620,33780.0,0.015,315.0
Chief Executives,189520,199240.0,0.015,115.0
Music Directors and Composers,62940,11690.0,0.015,449.0
"Securities, Commodities, and Financial Services Sales Agents",67480,443220.0,0.016,50.0
Conservation Scientists,64460,22880.0,0.016,365.0
"Special Education Teachers, Middle School",62990,82970.0,0.016,212.0
Chemical Engineers,106260,20380.0,0.017,377.0
Architectural and Engineering Managers,159920,197180.0,0.017,117.0
Aerospace Engineers,126880,61580.0,0.017,247.0
Natural Sciences Managers,144440,82570.0,0.018,213.0
Environmental Engineers,96530,45440.0,0.018,285.0
"Architects, Except Landscape and Naval",82840,107490.0,0.018,182.0
Physical Therapist Assistants,62770,97740.0,0.018,197.0
Civil Engineers,89940,307570.0,0.019,84.0
Soil and Plant Scientists,65730,16010.0,0.021,406.0
Materials Scientists,104380,7620.0,0.021,483.0
Materials Engineers,100140,21510.0,0.021,370.0
Fashion Designers,76700,20560.0,0.021,374.0
Physical Therapists,97720,229740.0,0.021,102.0
Photographers,40170,47380.0,0.021,281.0
Producers and Directors,85320,153770.0,0.022,139.0
Interior Designers,61590,64290.0,0.022,237.0
Orthodontists,174360,6310.0,0.023,499.0
Art Directors,105180,54470.0,0.023,257.0
"Directors, Religious Activities and Education",49380,24030.0,0.025,361.0
"Electronics Engineers, Except Computer",108170,106640.0,0.025,186.0
Biochemists and Biophysicists,103810,32500.0,0.027,321.0
Chiropractors,75380,37740.0,0.027,306.0
Occupational Therapy Assistants,64250,43810.0,0.028,288.0
"Child, Family, and School Social Workers",50820,344770.0,0.028,75.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",100660,21520.0,0.028,369.0
Industrial Engineers,96350,321400.0,0.029,82.0
Veterinary Technologists and Technicians,38240,118750.0,0.029,169.0
Industrial Production Managers,107560,211710.0,0.03,110.0
Network and Computer Systems Administrators,90520,325930.0,0.03,78.0
Database Administrators,99890,80520.0,0.03,219.0
Purchasing Managers,131350,75070.0,0.03,226.0
"Environmental Scientists and Specialists, Including Health",76480,77270.0,0.033,224.0
Lawyers,135740,707160.0,0.035,31.0
Craft Artists,38150,4760.0,0.035,513.0
Operations Research Analysts,85720,105080.0,0.035,190.0
Computer and Information Systems Managers,164070,533220.0,0.035,42.0
Commercial and Industrial Designers,75910,30450.0,0.037,332.0
"Meeting, Convention, and Event Planners",52560,112070.0,0.037,173.0
Veterinarians,103260,78810.0,0.038,220.0
Writers and Authors,73150,54010.0,0.038,260.0
Advertising and Promotions Managers,127830,22010.0,0.039,367.0
Political Scientists,128020,5660.0,0.039,506.0
Credit Counselors,47320,29090.0,0.04,337.0
"Social Scientists and Related Workers, All Other",88900,33210.0,0.04,317.0
Astronomers,128330,2160.0,0.041,542.0
Ship Engineers,87300,8650.0,0.041,475.0
"Fine Artists, Including Painters, Sculptors, and Illustrators",57560,12080.0,0.042,446.0
Psychiatric Technicians,37380,100950.0,0.043,193.0
Landscape Architects,73210,18120.0,0.045,391.0
Mathematicians,112110,2070.0,0.047,544.5
Floral Designers,33160,42840.0,0.047,291.0
"Farmers, Ranchers, and Other Agricultural Managers",75760,6250.0,0.047,501.0
Forest Fire Inspectors and Prevention Specialists,48110,2290.0,0.048,539.0
