Occupation,Median,Employment,Value,Employment_Rank
Editors,73080,101430.0,0.055,192.0
"Healthcare Practitioners and Technical Workers, All Other",60160,41130.0,0.055,296.0
Licensed Practical and Licensed Vocational Nurses,54620,632020.0,0.058,36.0
Sociologists,98590,2980.0,0.059,533.0
"Arbitrators, Mediators, and Conciliators",64030,7780.0,0.06,482.0
Animal Scientists,69390,2520.0,0.061,537.0
Residential Advisors,35720,86770.0,0.064,209.0
Aircraft Cargo Handling Supervisors,53490,7950.0,0.066,480.0
Respiratory Therapists,70540,129910.0,0.066,158.0
Financial Managers,139790,740780.0,0.069,29.0
Nuclear Engineers,122480,12250.0,0.07,442.0
Construction Managers,101480,303220.0,0.071,85.0
Musicians and Singers,*,31750.0,0.074,325.0
Food Scientists and Technologists,79860,14720.0,0.077,419.0
Compliance Officers,71690,359640.0,0.08,70.0
Fish and Game Wardens,59500,6530.0,0.08,495.0
Graphic Designers,57990,211890.0,0.082,109.0
Food Service Managers,61310,231100.0,0.083,101.0
Childcare Workers,28520,459460.0,0.084,47.0
Travel Agents,46400,53180.0,0.099,262.0
Chefs and Head Cooks,56520,160190.0,0.1,134.0
Animal Trainers,35620,17710.0,0.1,392.0
Electrical Engineers,103320,182210.0,0.1,122.0
Chemists,80670,83940.0,0.1,211.0
Physicists,142850,18840.0,0.1,388.0
"Hairdressers, Hairstylists, and Cosmetologists",33290,298050.0,0.11,86.0
Air Traffic Controllers,132250,21250.0,0.11,371.0
Dancers,*,8930.0,0.13,473.0
Nuclear Medicine Technologists,85300,16910.0,0.13,399.0
Management Analysts,95290,808860.0,0.13,24.0
Dietetic Technicians,33960,19690.0,0.13,384.0
Urban and Regional Planners,79540,39880.0,0.13,300.0
Social and Human Service Assistants,38520,399560.0,0.13,61.0
Sound Engineering Technicians,60670,13420.0,0.13,434.0
Optometrists,125590,40640.0,0.14,299.0
"Mining and Geological Engineers, Including Mining Safety Engineers",97490,7390.0,0.14,486.0
Physician Assistants,126010,140910.0,0.14,147.0
"Kindergarten Teachers, Except Special Education",60490,119250.0,0.15,167.0
Electricians,60240,690050.0,0.15,32.0
Petroleum Engineers,131800,20540.0,0.16,375.0
Desktop Publishers,47910,6560.0,0.16,494.0
General and Operations Managers,98100,3376680.0,0.16,2.0
Occupational Health and Safety Specialists,78570,109430.0,0.17,176.0
Firefighters,51680,321450.0,0.17,81.0
Financial Examiners,82210,63370.0,0.17,241.0
"Middle School Teachers, Except Special and Career/Technical Education",61810,611120.0,0.17,38.0
Public Relations Specialists,67440,264750.0,0.18,93.0
Commercial Divers,68300,3860.0,0.18,522.0
Manufactured Building and Mobile Home Installers,36820,3630.0,0.18,526.0
"Airline Pilots, Copilots, and Flight Engineers",211790,89580.0,0.18,206.0
Epidemiologists,78520,9430.0,0.2,467.5
Actuaries,113990,25010.0,0.21,357.0
Animal Control Workers,39320,11490.0,0.21,451.0
Concierges,35560,37600.0,0.21,307.0
"Computer Occupations, All Other",98740,416320.0,0.22,57.0
Statisticians,98920,30780.0,0.22,330.0
Computer Hardware Engineers,132360,74640.0,0.22,227.0
Survey Researchers,60410,7880.0,0.23,481.0
"Business Operations Specialists, All Other",75990,1081230.0,0.23,18.0
Radiologic Technologists and Technicians,65140,215820.0,0.23,106.0
Cardiovascular Technologists and Technicians,63020,55750.0,0.23,254.0
"Agents and Business Managers of Artists, Performers, and Athletes",82530,13130.0,0.24,437.0
Geographers,88900,1360.0,0.25,550.0
Occupational Health and Safety Technicians,57970,23670.0,0.25,363.0
Probation Officers and Correctional Treatment Specialists,59860,89920.0,0.25,205.0
"Managers, All Other",128620,543290.0,0.25,40.0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",30380,9910.0,0.25,463.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",97710,290830.0,0.25,87.0
"Career/Technical Education Teachers, Middle School",62630,11110.0,0.26,456.0
"Captains, Mates, and Pilots of Water Vessels",95210,34940.0,0.27,313.0
Occupational Therapy Aides,37060,3710.0,0.27,524.0
Medical Equipment Repairers,57860,58830.0,0.27,250.0
Athletes and Sports Competitors,94270,11930.0,0.28,448.0
Skincare Specialists,38060,61990.0,0.29,245.0
Biological Technicians,49650,73710.0,0.3,229.0
Medical Assistants,38270,752460.0,0.3,28.0
Zoologists and Wildlife Biologists,67430,17410.0,0.3,394.0
"Cooks, Private Household",38570,610.0,0.3,554.0
Private Detectives and Investigators,52120,32050.0,0.31,324.0
Film and Video Editors,63520,32080.0,0.31,323.0
"Financial Specialists, All Other",73810,127020.0,0.33,161.0
Detectives and Criminal Investigators,86280,107400.0,0.34,183.5
Surgical Technologists,55960,107400.0,0.34,183.5
Radiation Therapists,89530,15510.0,0.34,411.0
"Plumbers, Pipefitters, and Steamfitters",60090,427920.0,0.35,54.0
Flight Attendants,63760,108480.0,0.35,178.0
Diagnostic Medical Sonographers,81350,81080.0,0.35,217.0
Bailiffs,49100,16470.0,0.36,403.0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",59960,168180.0,0.36,128.0
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",44530,15030.0,0.37,416.0
Cleaners of Vehicles and Equipment,31000,359530.0,0.37,71.0
Funeral Attendants,31160,32950.0,0.37,320.0
Actors,*,54160.0,0.37,258.0
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",93720,25440.0,0.38,354.0
Surveyors,63080,47770.0,0.38,278.0
"Packers and Packagers, Hand",32920,653870.0,0.38,35.0
Interpreters and Translators,53640,52160.0,0.38,267.0
Upholsterers,39600,26990.0,0.39,348.0
"Judges, Magistrate Judges, and Magistrates",151030,28230.0,0.4,341.0
"Mobile Heavy Equipment Mechanics, Except Engines",59440,158350.0,0.4,137.0
"Health Technologists and Technicians, All Other",44990,162800.0,0.4,133.0
"Graders and Sorters, Agricultural Products",32550,23280.0,0.41,364.0
Structural Metal Fabricators and Fitters,47200,58870.0,0.41,249.0
Judicial Law Clerks,57490,15540.0,0.41,410.0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",64030,51650.0,0.41,268.0
Forest and Conservation Technicians,41520,29120.0,0.42,336.0
"Locker Room, Coatroom, and Dressing Room Attendants",30210,12130.0,0.43,445.0
"Physical Scientists, All Other",107970,19820.0,0.43,382.0
Economists,113940,16370.0,0.43,404.0
Historians,64540,3120.0,0.44,530.0
Medical Appliance Technicians,42160,15680.0,0.45,408.0
"Court, Municipal, and License Clerks",44140,159760.0,0.46,135.0
"Compensation, Benefits, and Job Analysis Specialists",67780,93550.0,0.47,200.0
Psychiatric Aides,37160,30590.0,0.47,331.0
Fire Inspectors and Investigators,69450,14510.0,0.48,422.0
Merchandise Displayers and Window Trimmers,35380,173110.0,0.48,124.0
"Explosives Workers, Ordnance Handling Experts, and Blasters",56670,4710.0,0.48,514.0
Computer Programmers,97800,132740.0,0.48,155.0
Agricultural Engineers,83260,1500.0,0.49,548.0
"Roof Bolters, Mining",60210,1700.0,0.49,547.0
Telecommunications Line Installers and Repairers,60580,107670.0,0.49,181.0
"Installation, Maintenance, and Repair Workers, All Other",44500,172980.0,0.5,125.0
Demonstrators and Product Promoters,34770,43410.0,0.51,289.0
Dental Assistants,44820,363880.0,0.51,68.0
Shoe and Leather Workers and Repairers,32460,8860.0,0.52,474.0
Architectural and Civil Drafters,59820,105960.0,0.52,188.0
"Rotary Drill Operators, Oil and Gas",55260,12190.0,0.53,444.0
Hazardous Materials Removal Workers,46690,46780.0,0.53,282.0
Embalmers,49910,3950.0,0.54,519.5
Continuous Mining Machine Operators,57360,13500.0,0.54,432.0
Massage Therapists,49860,86270.0,0.54,210.0
Advertising Sales Agents,58450,106560.0,0.54,187.0
Automotive Glass Installers and Repairers,43700,17370.0,0.55,396.0
Commercial Pilots,103910,48750.0,0.55,273.0
Customer Service Representatives,37780,2879840.0,0.55,6.0
Chemical Technicians,50840,56030.0,0.57,253.0
Cost Estimators,71200,225310.0,0.57,104.0
Transit and Railroad Police,69150,3370.0,0.57,528.0
Personal Financial Advisors,95390,283060.0,0.58,89.0
Millwrights,60930,40930.0,0.59,298.0
Museum Technicians and Conservators,47270,12240.0,0.59,443.0
"Transportation, Storage, and Distribution Managers",98560,169910.0,0.59,126.0
Recreational Vehicle Service Technicians,45030,17190.0,0.59,398.0
Automotive Service Technicians and Mechanics,46970,664070.0,0.59,34.0
Correctional Officers and Jailers,49610,363250.0,0.6,69.0
Slaughterers and Meat Packers,35240,78660.0,0.6,221.0
"Electronic Equipment Installers and Repairers, Motor Vehicles",41600,9450.0,0.61,466.0
Physical Therapist Aides,31410,42800.0,0.61,292.0
Costume Attendants,48470,5730.0,0.61,505.0
Market Research Analysts and Marketing Specialists,68230,798620.0,0.61,25.0
Reservation and Transportation Ticket Agents and Travel Clerks,39160,119130.0,0.61,168.0
Water and Wastewater Treatment Plant and System Operators,51600,119350.0,0.61,166.0
"Life, Physical, and Social Science Technicians, All Other",50290,70770.0,0.61,233.0
Food Cooking Machine Operators and Tenders,36700,26740.0,0.61,349.0
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",44920,30940.0,0.61,329.0
Motorboat Operators,41430,3110.0,0.62,531.0
Tapers,62360,14290.0,0.62,424.5
Pipelayers,45990,36070.0,0.62,309.0
"Geoscientists, Except Hydrologists and Geographers",87480,25230.0,0.63,356.0
"Control and Valve Installers and Repairers, Except Mechanical Door",64810,46410.0,0.63,283.0
"Healthcare Support Workers, All Other",40420,107170.0,0.63,185.0
Construction and Building Inspectors,64480,128950.0,0.63,160.0
"Cutters and Trimmers, Hand",36130,8250.0,0.64,478.0
"Maintenance and Repair Workers, General",44980,1485990.0,0.64,12.0
"Administrative Law Judges, Adjudicators, and Hearing Officers",94990,12490.0,0.64,440.0
Power Distributors and Dispatchers,101650,9380.0,0.64,469.0
"Insulation Workers, Mechanical",50590,25660.0,0.64,353.0
Social Science Research Assistants,50470,28720.0,0.65,338.0
Machinists,48510,316860.0,0.65,83.0
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",51390,374770.0,0.65,64.0
Hoist and Winch Operators,58950,2440.0,0.65,538.0
Pest Control Workers,38310,91160.0,0.66,204.0
Statistical Assistants,48880,6710.0,0.66,492.0
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",31990,2148350.0,0.66,8.0
Motorboat Mechanics and Service Technicians,48280,24920.0,0.66,358.0
"Paper Goods Machine Setters, Operators, and Tenders",45710,92050.0,0.67,202.0
Foundry Mold and Coremakers,40120,11330.0,0.67,453.0
Atmospheric and Space Scientists,83780,9900.0,0.67,464.0
"Bus Drivers, Transit and Intercity",50890,141530.0,0.67,146.0
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",27270,107930.0,0.67,180.0
Industrial Machinery Mechanics,59830,386120.0,0.67,63.0
Postal Service Mail Carriers,54250,326760.0,0.68,77.0
"Roustabouts, Oil and Gas",43590,39100.0,0.68,303.0
Boilermakers,66920,13570.0,0.68,431.0
Mechanical Drafters,61310,47540.0,0.68,279.0
Dental Hygienists,81400,214700.0,0.68,108.0
Maids and Housekeeping Cleaners,29960,771390.0,0.69,27.0
"Eligibility Interviewers, Government Programs",49230,149760.0,0.7,144.0
Tire Repairers and Changers,34240,99980.0,0.7,194.0
Food Batchmakers,36580,166520.0,0.7,130.0
Avionics Technicians,75450,20200.0,0.7,378.5
Aircraft Mechanics and Service Technicians,70010,134070.0,0.71,152.0
Airfield Operations Specialists,49600,14760.0,0.71,418.0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",85090,31360.0,0.71,328.0
"Opticians, Dispensing",39610,73460.0,0.71,230.0
Amusement and Recreation Attendants,27780,324580.0,0.72,80.0
Pharmacy Aides,33270,43230.0,0.72,290.0
"Tank Car, Truck, and Ship Loaders",53930,12470.0,0.72,441.0
Home Appliance Repairers,46000,29370.0,0.72,335.0
Carpenters,51390,689770.0,0.72,33.0
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",35750,16900.0,0.73,400.0
Administrative Services Managers,103330,236570.0,0.73,100.0
Glaziers,48720,51630.0,0.73,269.0
"Coil Winders, Tapers, and Finishers",43160,10860.0,0.73,459.0
Bus and Truck Mechanics and Diesel Engine Specialists,54360,271720.0,0.73,91.0
"Computer, Automated Teller, and Office Machine Repairers",44910,81440.0,0.74,216.0
Broadcast Technicians,60700,33020.0,0.74,319.0
Postmasters and Mail Superintendents,82760,13460.0,0.75,433.0
"Painters, Construction and Maintenance",46090,215680.0,0.75,107.0
Farm Equipment Mechanics and Service Technicians,48010,35280.0,0.75,312.0
Archivists,58640,7230.0,0.76,489.0
Chemical Equipment Operators and Tenders,49330,115370.0,0.76,171.0
"Electric Motor, Power Tool, and Related Repairers",48260,15390.0,0.76,413.0
Fallers,49160,4530.0,0.76,515.0
"Environmental Science and Protection Technicians, Including Health",48380,33920.0,0.77,314.0
Locksmiths and Safe Repairers,47400,15240.0,0.77,415.0
Tree Trimmers and Pruners,47080,48150.0,0.77,277.0
Bartenders,29380,613070.0,0.77,37.0
Dishwashers,29080,431840.0,0.77,53.0
Medical Equipment Preparers,41480,63890.0,0.78,238.0
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",39340,182460.0,0.78,120.0
Gas Plant Operators,79460,14290.0,0.78,424.5
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",49130,119530.0,0.79,165.0
Shampooers,27860,7480.0,0.79,484.0
Drywall and Ceiling Tile Installers,50440,91590.0,0.79,203.0
Motorcycle Mechanics,43370,14700.0,0.79,420.0
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",58430,32140.0,0.79,322.0
Logging Equipment Operators,46400,24780.0,0.79,359.0
"Floor Layers, Except Carpet, Wood, and Hard Tiles",48870,20710.0,0.79,373.0
Barbers,34990,12690.0,0.8,439.0
"Derrick Operators, Oil and Gas",51220,10950.0,0.8,457.0
"Cooks, Fast Food",27640,725590.0,0.81,30.0
Word Processors and Typists,44330,41990.0,0.81,294.0
Electrical and Electronics Drafters,64240,20930.0,0.81,372.0
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",37190,13200.0,0.81,436.0
"Property, Real Estate, and Community Association Managers",60670,261120.0,0.81,94.0
"Pressers, Textile, Garment, and Related Materials",29690,28570.0,0.81,339.0
Engine and Other Machine Assemblers,50850,50120.0,0.82,272.0
Security and Fire Alarm Systems Installers,50130,80720.0,0.82,218.0
"Refractory Materials Repairers, Except Brickmasons",50550,580.0,0.82,555.0
Sheet Metal Workers,55350,120810.0,0.82,162.0
Brickmasons and Blockmasons,59000,55530.0,0.82,255.0
Structural Iron and Steel Workers,60500,66810.0,0.83,236.0
Railroad Conductors and Yardmasters,68180,40940.0,0.83,297.0
"Cooks, Institution and Cafeteria",32510,417780.0,0.83,56.0
Sailors and Marine Oilers,47490,28500.0,0.83,340.0
"Mixing and Blending Machine Setters, Operators, and Tenders",43410,108900.0,0.83,177.0
"Insulation Workers, Floor, Ceiling, and Wall",45380,33130.0,0.83,318.0
Printing Press Operators,39350,150010.0,0.83,143.0
Automotive and Watercraft Service Attendants,30850,99600.0,0.83,195.0
Septic Tank Servicers and Sewer Pipe Cleaners,45610,27660.0,0.83,344.0
Baggage Porters and Bellhops,31510,26520.0,0.83,350.0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",46310,27900.0,0.83,342.0
"Paving, Surfacing, and Tamping Equipment Operators",47270,41470.0,0.83,295.0
Tool and Die Makers,59800,61730.0,0.84,246.0
Plasterers and Stucco Masons,49730,25950.0,0.84,352.0
"Layout Workers, Metal and Plastic",58260,6890.0,0.84,490.0
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",47020,19410.0,0.84,385.0
Security Guards,34750,1124890.0,0.84,17.0
"Tailors, Dressmakers, and Custom Sewers",34280,16870.0,0.84,401.0
Wellhead Pumpers,63280,14550.0,0.84,421.0
Proofreaders and Copy Markers,45410,5120.0,0.84,511.0
Parking Enforcement Workers,41570,8150.0,0.84,479.0
"Laborers and Freight, Stock, and Material Movers, Hand",36110,2934050.0,0.85,5.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",63230,1273400.0,0.85,16.0
"Meter Readers, Utilities",44760,20460.0,0.85,376.0
Power Plant Operators,93060,31590.0,0.85,326.0
Chemical Plant and System Operators,82670,18710.0,0.85,389.0
"Earth Drillers, Except Oil and Gas",51740,19010.0,0.85,387.0
Nuclear Technicians,100420,5880.0,0.85,504.0
Executive Secretaries and Executive Administrative Assistants,65980,475240.0,0.86,46.0
"Plant and System Operators, All Other",57470,15370.0,0.86,414.0
"Food Servers, Nonrestaurant",30300,248870.0,0.86,97.0
"Sawing Machine Setters, Operators, and Tenders, Wood",36270,46400.0,0.86,284.0
Subway and Streetcar Operators,88260,9120.0,0.86,472.0
Veterinary Assistants and Laboratory Animal Caretakers,34740,111880.0,0.86,174.0
"Cutting and Slicing Machine Setters, Operators, and Tenders",39880,54110.0,0.86,259.0
Real Estate Sales Agents,49980,193010.0,0.86,119.0
"Maintenance Workers, Machinery",53310,62770.0,0.86,243.0
Correspondence Clerks,38700,4970.0,0.86,512.0
Forest and Conservation Workers,32270,6080.0,0.87,502.0
"Pourers and Casters, Metal",45070,6070.0,0.87,503.0
Carpet Installers,45240,17400.0,0.87,395.0
Paperhangers,44930,2220.0,0.87,541.0
Furniture Finishers,37960,14990.0,0.87,417.0
Food Preparation Workers,29790,904330.0,0.87,23.0
Floor Sanders and Finishers,46060,4270.0,0.87,517.0
Highway Maintenance Workers,44930,143330.0,0.87,145.0
Construction Laborers,40750,1012780.0,0.88,20.0
"Production, Planning, and Expediting Clerks",50630,389920.0,0.88,62.0
Cartographers and Photogrammetrists,71890,13270.0,0.88,435.0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",46250,52470.0,0.88,265.0
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",39860,14460.0,0.88,423.0
Terrazzo Workers and Finishers,52330,1460.0,0.88,549.0
"Tool Grinders, Filers, and Sharpeners",41940,5320.0,0.88,510.0
Rail Car Repairers,62510,19830.0,0.88,381.0
Bakers,32780,205300.0,0.89,112.0
Medical Transcriptionists,34730,48680.0,0.89,274.0
Stonemasons,50210,10220.0,0.89,462.0
Technical Writers,79960,48620.0,0.89,275.0
Riggers,54680,19260.0,0.89,386.0
Stationary Engineers and Boiler Operators,67120,31470.0,0.89,327.0
Sewing Machine Operators,31740,116750.0,0.89,170.0
"Human Resources Assistants, Except Payroll and Timekeeping",45930,103680.0,0.9,191.0
Reinforcing Iron and Rebar Workers,51070,17270.0,0.9,397.0
Roofers,47920,131980.0,0.9,157.0
Crane and Tower Operators,61340,45210.0,0.9,286.0
Traffic Technicians,50050,7310.0,0.9,488.0
Transportation Inspectors,79570,24420.0,0.9,360.0
"Patternmakers, Metal and Plastic",54970,2230.0,0.9,540.0
"Molders, Shapers, and Casters, Except Metal and Plastic",39590,39060.0,0.9,304.0
"Pump Operators, Except Wellhead Pumpers",55860,10870.0,0.9,458.0
Signal and Track Switch Repairers,81300,6880.0,0.9,491.0
Musical Instrument Repairers and Tuners,38150,6330.0,0.91,498.0
Mechanical Door Repairers,47010,27330.0,0.91,345.0
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",37790,20010.0,0.91,380.0
Gas Compressor and Gas Pumping Station Operators,59990,3740.0,0.91,523.0
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",43960,152120.0,0.91,141.0
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39210,137060.0,0.91,150.0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",56340,2680.0,0.91,536.0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",73630,8530.0,0.91,476.0
Dining Room and Cafeteria Attendants and Bartender Helpers,29120,439770.0,0.91,52.0
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",40900,15600.0,0.91,409.0
Automotive Body and Related Repairers,47670,138760.0,0.91,148.0
"Patternmakers, Wood",44290,330.0,0.91,558.0
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",39970,63490.0,0.91,240.0
"Office Machine Operators, Except Computer",36710,30410.0,0.92,333.0
Pharmacy Technicians,37790,453630.0,0.92,48.0
Loan Interviewers and Clerks,46490,242630.0,0.92,99.0
Dredge Operators,47090,940.0,0.92,552.0
Insurance Sales Agents,57860,445540.0,0.92,49.0
Cabinetmakers and Bench Carpenters,38810,95980.0,0.92,199.0
"Painting, Coating, and Decorating Workers",38270,11990.0,0.92,447.0
Fence Erectors,39840,27060.0,0.92,347.0
Retail Salespersons,30600,3640040.0,0.92,1.0
"Production Workers, All Other",35490,252660.0,0.92,96.0
Cooling and Freezing Equipment Operators and Tenders,42890,6420.0,0.93,497.0
Fiberglass Laminators and Fabricators,38110,21910.0,0.93,368.0
Conveyor Operators and Tenders,36890,27780.0,0.93,343.0
Outdoor Power Equipment and Other Small Engine Mechanics,40030,35570.0,0.93,311.0
Machine Feeders and Offbearers,38040,51010.0,0.93,270.0
"Model Makers, Metal and Plastic",57620,3350.0,0.93,529.0
Butchers and Meat Cutters,36930,129400.0,0.93,159.0
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",39480,58740.0,0.93,251.0
Refuse and Recyclable Material Collectors,43540,132240.0,0.93,156.0
"Tax Examiners and Collectors, and Revenue Agents",57950,50610.0,0.93,271.0
