year,protest_events
1990,31
1991,32
1992,19
1993,12
1994,28
1995,56
1996,52
1997,39
1998,211
1999,144
2000,79
2001,76
2002,50
2003,136
2004,103
2005,56
2006,155
2007,174
2008,264
2009,214
2010,639
2011,1326
2012,839
2013,666
2014,756
2015,888
2016,779
2017,744
2018,789
2019,2462
2020,1298
2021,712
2022,442
2023,362
2024,373
2025,249
