Year,World,United Kingdom,United States,Kenya,Japan
2022,2.268,1.570,1.665,3.296,1.260
2021,2.282,1.560,1.664,3.335,1.300
2020,2.308,1.560,1.641,3.397,1.330
2019,2.368,1.630,1.706,3.469,1.360
2018,2.405,1.680,1.730,3.580,1.420
2017,2.467,1.740,1.766,3.643,1.430
2016,2.489,1.790,1.821,3.724,1.440
2015,2.486,1.800,1.843,3.800,1.450
2014,2.514,1.810,1.863,3.844,1.420
2013,2.522,1.830,1.857,3.952,1.430
2012,2.558,1.920,1.881,4.088,1.410
2011,2.542,1.910,1.895,4.219,1.390
2010,2.563,1.920,1.931,4.367,1.390
2009,2.587,1.890,2.002,4.514,1.370
2008,2.601,1.910,2.072,4.646,1.370
2007,2.601,1.860,2.120,4.719,1.340
2006,2.602,1.820,2.108,4.748,1.320
2005,2.609,1.760,2.057,4.784,1.260
2004,2.628,1.750,2.051,4.830,1.290
2003,2.636,1.700,2.047,4.907,1.290
2002,2.659,1.630,2.021,5.016,1.320
2001,2.686,1.630,2.030,5.091,1.330
2000,2.724,1.640,2.056,5.137,1.360
1999,2.715,1.680,2.007,5.181,1.340
1998,2.742,1.710,1.999,5.246,1.380
1997,2.777,1.720,1.971,5.260,1.390
1996,2.818,1.730,1.976,5.306,1.430
1995,2.866,1.710,1.978,5.366,1.420
1994,2.920,1.740,2.002,5.446,1.500
1993,2.973,1.760,2.019,5.574,1.460
1992,3.041,1.790,2.046,5.746,1.500
1991,3.127,1.820,2.063,5.935,1.530
1990,3.308,1.830,2.081,6.129,1.540
1989,3.348,1.790,2.014,6.323,1.570
1988,3.398,1.820,1.934,6.505,1.660
1987,3.489,1.810,1.872,6.682,1.690
1986,3.518,1.780,1.837,6.848,1.720
1985,3.532,1.790,1.844,6.975,1.760
1984,3.569,1.770,1.806,7.123,1.810
1983,3.594,1.770,1.799,7.263,1.800
1982,3.723,1.780,1.827,7.402,1.770
1981,3.707,1.820,1.812,7.513,1.740
1980,3.734,1.900,1.839,7.598,1.750
1979,3.760,1.860,1.808,7.679,1.770
1978,3.777,1.750,1.760,7.746,1.790
1977,3.844,1.690,1.790,7.803,1.800
1976,3.969,1.740,1.738,7.843,1.850
1975,4.076,1.810,1.774,7.877,1.910
1974,4.259,1.920,1.835,7.907,2.050
1973,4.420,2.040,1.879,7.939,2.140
1972,4.550,2.200,2.010,7.975,2.140
1971,4.692,2.410,2.266,8.003,2.160
1970,4.842,2.440,2.480,8.024,2.130
1969,4.882,2.510,2.456,8.031,2.130
1968,4.978,2.600,2.464,8.038,2.130
1967,4.866,2.680,2.558,8.046,2.230
1966,4.970,2.780,2.721,8.056,1.580
1965,5.086,2.860,2.913,8.028,2.140
1964,5.134,2.930,3.190,7.920,2.050
1963,5.317,2.880,3.319,7.864,2.000
1962,5.029,2.860,3.461,7.803,1.980
1961,4.569,2.780,3.620,7.718,1.960
1960,4.690,2.690,3.654,7.632,2.000
