Country,Year,Value
Canada,2000,82.12689972
France,2000,57.40409851
Germany,2000,59.33985747
Italy,2000,109.0258771
Japan,2000,135.6086032
Spain,2000,57.81533671
United Kingdom,2000,37.67230959
United States,2000,54.52259827
Canada,2001,81.46203332
France,2001,56.94060135
Germany,2001,58.19303672
Italy,2001,108.8863068
Japan,2001,145.1235287
Spain,2001,54.04952903
United Kingdom,2001,34.98253331
United States,2001,53.14624702
Canada,2002,79.60406938
France,2002,59.03540039
Germany,2002,59.94577184
Italy,2002,106.3604716
Japan,2002,154.0956573
Spain,2002,51.24999213
United Kingdom,2002,35.43228579
United States,2002,55.53785765
Canada,2003,75.91179736
France,2003,63.18719864
Germany,2003,63.53834606
Italy,2003,105.494516
Japan,2003,160.0207608
Spain,2003,47.71173551
United Kingdom,2003,36.72455197
United States,2003,58.62453902
Canada,2004,71.88939989
France,2004,65.0490036
Germany,2004,65.2008822
Italy,2004,105.1009122
Japan,2004,169.4899272
Spain,2004,45.36550439
United Kingdom,2004,39.77807499
United States,2004,66.09487873
Canada,2005,70.64040968
France,2005,66.66600037
Germany,2005,67.54631147
Italy,2005,106.5575353
Japan,2005,174.5939274
Spain,2005,42.43016282
United Kingdom,2005,40.9741627
United States,2005,65.442067
Canada,2006,69.91983183
France,2006,63.95240021
Germany,2006,66.88710651
Italy,2006,106.7396779
Japan,2006,174.1415908
Spain,2006,39.0638758
United Kingdom,2006,42.03554093
United States,2006,64.17758186
Canada,2007,67.18147942
France,2007,64.21289825
Germany,2007,64.1583085
Italy,2007,103.8895365
Japan,2007,172.9503523
Spain,2007,35.76457534
United Kingdom,2007,43.14163872
United States,2007,64.56616405
Canada,2008,70.43923476
France,2008,68.20839691
Germany,2008,65.68162451
Italy,2008,106.1639479
Japan,2008,180.8502383
Spain,2008,39.71200388
United Kingdom,2008,50.79113359
United States,2008,73.41317617
Canada,2009,81.86967252
France,2009,79.01339722
Germany,2009,73.15660355
Italy,2009,116.6096451
Japan,2009,198.8062959
Spain,2009,53.26130253
United Kingdom,2009,64.78617575
United States,2009,86.58132829
Canada,2010,84.02026832
France,2010,82.32450104
Germany,2010,81.99469662
Italy,2010,119.1984153
Japan,2010,205.8799012
Spain,2010,60.51524971
United Kingdom,2010,75.68012771
United States,2010,95.14051289
Canada,2011,84.34796284
France,2011,87.83653465
Germany,2011,79.41716539
Italy,2011,119.6929811
Japan,2011,219.1620649
Spain,2011,69.85044244
United Kingdom,2011,81.34575484
United States,2011,99.4782985
Canada,2012,87.18466113
France,2012,90.60208617
Germany,2012,80.74516175
Italy,2012,126.4946935
Japan,2012,226.0937118
Spain,2012,89.98251302
United Kingdom,2012,84.50597435
United States,2012,103.0420913
Canada,2013,87.60507968
France,2013,93.41155022
Germany,2013,78.32244295
Italy,2013,132.4571138
Japan,2013,229.463716
Spain,2013,100.487736
United Kingdom,2013,85.27130174
United States,2013,104.5432154
Canada,2014,85.54051385
France,2014,94.8894414
Germany,2014,75.27910146
Italy,2014,135.3670502
Japan,2014,233.2863349
Spain,2014,105.0588201
United Kingdom,2014,87.07969124
United States,2014,104.5408339
Canada,2015,92.0288519
France,2015,95.58176009
Germany,2015,71.94651343
Italy,2015,135.2811289
Japan,2015,228.2851367
Spain,2015,103.2992201
United Kingdom,2015,87.65870657
United States,2015,105.1272752
Canada,2016,92.39682356
France,2016,97.95763808
Germany,2016,68.95532006
Italy,2016,134.7850714
Japan,2016,232.429662
Spain,2016,102.7485308
United Kingdom,2016,87.48187637
United States,2016,107.1556451
Canada,2017,90.9422458
France,2017,98.13071501
Germany,2017,64.63567747
Italy,2017,134.1626182
Japan,2017,231.3193376
Spain,2017,101.7995707
United Kingdom,2017,86.61808492
United States,2017,106.208437
Canada,2018,90.77611907
France,2018,97.78251314
Germany,2018,61.316347
Italy,2018,134.4431135
Japan,2018,232.3862651
Spain,2018,100.4154813
United Kingdom,2018,86.14111365
United States,2018,107.4375124
Canada,2019,90.21016501
France,2019,97.42639895
Germany,2019,58.92556273
Italy,2019,134.1498413
Japan,2019,236.4307096
Spain,2019,98.22100412
United Kingdom,2019,85.48809211
United States,2019,108.7465898
Canada,2020,118.8722716
France,2020,114.6502421
Germany,2020,67.98601058
Italy,2020,154.9273504
Japan,2020,258.708613
Spain,2020,120.2657336
United Kingdom,2020,105.5991816
United States,2020,133.4955426
Canada,2021,115.074087
France,2021,112.9627303
Germany,2021,68.62297494
Italy,2021,149.8933053
Japan,2021,255.3940238
Spain,2021,116.7675077
United Kingdom,2021,105.9267586
United States,2021,126.4164151
Canada,2022,107.3751772
France,2022,111.8002675
Germany,2022,66.53529176
Italy,2022,144.4079879
Japan,2022,261.2888099
Spain,2022,111.5958262
United Kingdom,2022,101.3639512
United States,2022,121.3064313
