Line,Start Date Time,End Date Time,Service Status,Status Message
District,01/01/2025 02:53,01/01/2025 02:58,Part Suspended,No service between Acton Town and Ealing Broadway to prevent overcrowding at Ealing Broadway. GOOD SERVICE on the rest of the line.
C&H,01/01/2025 07:48,01/01/2025 09:00,Minor Delays,Minor delays due to train cancellations.
C&H,01/01/2025 07:48,01/01/2025 09:00,Minor Delays,Minor delays due to train cancellations.
Jubilee,01/01/2025 08:21,01/01/2025 09:00,Severe Delays,"Severe delays due to an earlier fire alert in the Canons Park area. London Buses, London Overground, DLR, Elizabeth line, C2C, Southeastern and Thameslink are accepting tickets."
Jubilee,01/01/2025 09:00,01/01/2025 09:00,Minor Delays,"Severe delays due to an earlier fire alert in the Canons Park area. London Buses, London Overground, DLR, Elizabeth line, C2C, Southeastern and Thameslink are accepting tickets."
Jubilee,01/01/2025 09:00,28/12/2024 04:27,Minor Delays,Minor delays due to an earlier fire alert in the Canons Park area.
Northern,01/01/2025 10:12,01/01/2025 10:26,Part Suspended,No service between Battersea Power Station and Kennington while the police respond to an incident. GOOD SERVICE on the rest of the line.
Jubilee,01/01/2025 11:45,01/01/2025 11:54,Minor Delays,"Minor delays, southbound only, while we fix a faulty train at Willesden Green."
Jubilee,01/01/2025 11:54,01/01/2025 12:05,Minor Delays,"Minor delays, southbound only, due to an earlier faulty train at Willesden Green."
Jubilee,01/01/2025 12:05,01/01/2025 12:06,Severe Delays,"Minor delays, southbound only, due to a faulty train at Baker Street. Tickets are being accepted on London Buses and the Elizabeth line."
Jubilee,01/01/2025 12:06,01/01/2025 12:11,Severe Delays,"Severe delays, southbound only, due to a faulty train at Baker Street. Tickets are being accepted on London Buses and the Elizabeth line."
Jubilee,01/01/2025 12:11,01/01/2025 12:31,Severe Delays,"Severe delays, southbound only, due to a faulty train at Baker Street. Tickets are being accepted on London Buses, the DLR and the Elizabeth line."
Metropolitan,01/01/2025 12:14,01/01/2025 12:17,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
C&H,01/01/2025 12:14,01/01/2025 12:26,Severe Delays,"Severe delays, clockwise only, while we fix a faulty train at Barbican. Tickets are being accepted on London Buses."
C&H,01/01/2025 12:14,01/01/2025 12:26,Severe Delays,"Severe delays, clockwise only, while we fix a faulty train at Barbican. Tickets are being accepted on London Buses."
Metropolitan,01/01/2025 12:17,01/01/2025 12:17,Severe Delays,No service between Baker Street and Aldgate while we fix a faulty train at Barbican. SEVERE DELAYS between Harrow-on-the-Hill and Baker Street. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:17,Part Suspended,No service between Baker Street and Aldgate while we fix a faulty train at Barbican. SEVERE DELAYS between Harrow-on-the-Hill and Baker Street. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:17,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:17,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:17,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:17,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:20,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:17,01/01/2025 12:20,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:18,01/01/2025 12:20,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:18,01/01/2025 12:20,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:20,01/01/2025 12:20,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:20,01/01/2025 12:20,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:20,01/01/2025 12:20,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:20,01/01/2025 12:20,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:20,01/01/2025 12:24,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:20,01/01/2025 12:24,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:24,01/01/2025 12:24,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:24,01/01/2025 12:24,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:24,01/01/2025 12:26,Part Suspended,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:24,01/01/2025 12:26,Severe Delays,No service between Baker Street and Aldgate and SEVERE DELAYS between Harrow-on-the-Hill and Baker Street while we fix a faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 12:26,01/01/2025 12:42,Severe Delays,Severe delays between Harrow-on-the-Hill and Aldgate  due to an earlier faulty train at Barbican. Also northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line.
C&H,01/01/2025 12:26,01/01/2025 13:04,Severe Delays,"Severe delays, clockwise only, due to an earlier faulty train at Barbican. Tickets are being accepted on London Buses."
C&H,01/01/2025 12:26,01/01/2025 13:04,Severe Delays,"Severe delays, clockwise only, due to an earlier faulty train at Barbican. Tickets are being accepted on London Buses."
Jubilee,01/01/2025 12:31,01/01/2025 14:02,Minor Delays,Minor delays due to an earlier faulty train.
Metropolitan,01/01/2025 12:42,01/01/2025 13:04,Severe Delays,"Severe delays between Harrow-on-the-Hill and Aldgate  due to an earlier faulty train at Barbican. For the rest of today, northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line."
C&H,01/01/2025 13:04,01/01/2025 13:05,Minor Delays,Minor delays due to an earlier faulty train at Barbican. Tickets are being accepted on London Buses.
C&H,01/01/2025 13:04,01/01/2025 13:05,Minor Delays,Minor delays due to an earlier faulty train at Barbican. Tickets are being accepted on London Buses.
Metropolitan,01/01/2025 13:04,01/01/2025 13:05,Minor Delays,"Minor delays due to an earlier faulty train at Barbican. For the rest of today, northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses and the Lioness line. GOOD SERVICE on the rest of the line."
Metropolitan,01/01/2025 13:05,01/01/2025 13:10,Minor Delays,"Minor delays due to an earlier faulty train at Barbican. For the rest of today, northbound trains are not calling at Preston Road and Northwick Park due to a signal failure at Wembley Park. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line."
C&H,01/01/2025 13:05,01/01/2025 13:10,Minor Delays,Minor delays due to an earlier faulty train at Barbican.
C&H,01/01/2025 13:05,01/01/2025 13:10,Minor Delays,Minor delays due to an earlier faulty train at Barbican.
Northern,01/01/2025 15:44,01/01/2025 15:48,Minor Delays,Minor delays between Kennington and Camden Town northbound only while we fix a faulty train. GOOD SERVICE on the rest of the line.
Northern,01/01/2025 15:48,01/01/2025 15:55,Minor Delays,"Minor delays between Kennington and Camden Town via Bank, northbound only, due to an earlier faulty train at London Bridge. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 15:55,01/01/2025 16:04,Minor Delays,"Minor delays between Kennington and Camden Town via Bank, northbound only, due to an a signal failure at London Bridge. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 16:04,01/01/2025 17:01,Severe Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 17:01,01/01/2025 17:03,Minor Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 17:01,01/01/2025 17:03,Severe Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 17:03,01/01/2025 17:04,Severe Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 17:03,01/01/2025 17:04,Minor Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses. GOOD SERVICE on the rest of the line."
Northern,01/01/2025 17:04,01/01/2025 20:09,Severe Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses."
Northern,01/01/2025 17:04,01/01/2025 20:09,Minor Delays,"Severe delays between Kennington and Camden Town via Bank, northbound only, due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses."
C&H,01/01/2025 17:47,01/01/2025 17:50,Minor Delays,Minor delays between Baker Street and Aldgate East due to a fire alert.
C&H,01/01/2025 17:48,01/01/2025 17:50,Minor Delays,Minor delays between Baker Street and Aldgate due to a fire alert.
Metropolitan,01/01/2025 17:49,01/01/2025 17:51,Minor Delays,Minor delays between Baker Street and Aldgate due to a fire alert.
C&H,01/01/2025 17:50,01/01/2025 18:59,Minor Delays,Minor delays between Baker Street and Aldgate due to a fire alert at Baker Street.
C&H,01/01/2025 17:50,01/01/2025 19:01,Minor Delays,Minor delays between Baker Street and Aldgate East due to a fire alert at Baker Street.
Metropolitan,01/01/2025 17:51,01/01/2025 18:00,Minor Delays,Minor delays between Baker Street and Aldgate due to a fire alert at Baker Street.
Metropolitan,01/01/2025 18:00,01/01/2025 18:18,Minor Delays,Minor delays between Harrow-on-the-Hill and Aldgate due to a fire alert at Baker Street.
Metropolitan,01/01/2025 18:20,01/01/2025 19:01,Severe Delays,Severe delays between Harrow-on-the-Hill and Aldgate due to a fire alert at Baker Street. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2025 19:01,01/01/2025 19:30,Minor Delays,Minor delays between Harrow-on-the-Hill and Aldgate due to an earlier fire alert at Baker Street. GOOD SERVICE on the rest of the line.
C&H,01/01/2025 19:01,01/01/2025 19:30,Minor Delays,Minor delays between Baker Street and Aldgate East due to an earlier fire alert at Baker Street.
Northern,01/01/2025 20:09,01/01/2025 20:41,Severe Delays,Severe delays between Kennington and Camden Town via Bank northbound due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:09,01/01/2025 20:41,Minor Delays,Severe delays between Kennington and Camden Town via Bank northbound due to a signal failure at London Bridge. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:41,01/01/2025 20:43,Severe Delays,Severe delays between Kennington and Morden via south due to a signal failure at London Bridge and a animal on the track at Clapham South. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:41,01/01/2025 20:43,Minor Delays,Severe delays between Kennington and Morden via south due to a signal failure at London Bridge and a animal on the track at Clapham South. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:43,01/01/2025 20:44,Severe Delays,Severe delays between Kennington and Morden via bank due to a signal failure at London Bridge and a animal on the track in the Clapham area. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:43,01/01/2025 20:44,Minor Delays,Severe delays between Kennington and Morden via bank due to a signal failure at London Bridge and a animal on the track in the Clapham area. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:44,01/01/2025 20:52,Severe Delays,Severe delays between Kennington and Morden via bank due to a signal failure at London Bridge and a animal on the track in the Clapham area. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:52,01/01/2025 20:52,Severe Delays,Severe delays between Camden Town and Morden via bank due to a signal failure at London Bridge and a animal on the track in the Clapham area. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 20:52,01/01/2025 21:14,Severe Delays,Severe delays between Camden Town and Morden via bank due to a signal failure at London Bridge and a fox on the track in the Clapham area. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses.
Northern,01/01/2025 21:14,01/01/2025 21:20,Severe Delays,Severe delays due to a signal failure at London Bridge and a fox on the track in the Clapham area. Tickets are being accepted on London Buses.
Northern,01/01/2025 21:20,02/01/2025 01:23,Severe Delays,"Severe delays due to a signal failure at London Bridge and a fox on the track in the Clapham area. Tickets are being accepted on London Buses. London Trams, Southeastern and Thameslink."
Piccadilly,02/01/2025 04:37,02/01/2025 05:54,Part Closure,"No service between Rayners Lane and Uxbridge due a shortage of Piccadilly line trains while we fix damage caused by leaf fall. Please use the Metropolitan line to complete your journey. For stations between Acton Town and Rayners Lane, change at Acton Town. GOOD SERVICE on the rest of the line."
