Line,Start Date Time,End Date Time,Service Status,Status Message
Piccadilly,01/01/2020 02:43,01/01/2020 03:18,Part Closure,"Until 1100, No service between Rayners Lane and Uxbridge. Please use the Metropolitan line instead. GOOD SERVICE on the rest of the Piccadilly line."
Piccadilly,01/01/2020 03:18,01/01/2020 10:19,Part Closure,"Until 1045, No service between Rayners Lane and Uxbridge. Please use the Metropolitan line instead. GOOD SERVICE on the rest of the Piccadilly line."
Metropolitan,01/01/2020 04:27,01/01/2020 06:22,Part Closure,"Until 1045, No service between Baker Street and Aldgate. GOOD SERVICE on the rest of the line."
Metropolitan,01/01/2020 06:22,01/01/2020 06:41,Part Closure,"Until 1045, No service between Baker Street and Aldgate. Please use the Hammersmith & City and Circle lines as an alternative. GOOD SERVICE on the rest of the line."
Metropolitan,01/01/2020 06:41,01/01/2020 10:20,Part Closure,"Until 1045, No service between Baker Street and Aldgate. Please use the Hammersmith & City and Circle lines instead. GOOD SERVICE on the rest of the line."
Metropolitan,01/01/2020 13:41,01/01/2020 13:48,Minor Delays,Minor delays Wembley Park to Aldgate while we fix a signal failure at Baker Street. GOOD SERVICE on the rest of the line.
C&H,01/01/2020 13:41,01/01/2020 13:49,Minor Delays,Minor delays eastbound only while we fix a signal failure at Baker Street. GOOD SERVICE on the rest of the line.
C&H,01/01/2020 13:42,01/01/2020 13:49,Minor Delays,Minor delays clockwise only while we fix a signal failure at Baker Street. GOOD SERVICE on the rest of the line.
Metropolitan,01/01/2020 13:48,01/01/2020 14:00,Part Suspended,No service Wembley Park to Aldgate while we fix a signal failure at Baker Street. MINOR DELAYS on the rest of the line. London Underground tickets will be accepted on local bus services.
Metropolitan,01/01/2020 13:48,01/01/2020 14:00,Minor Delays,No service Wembley Park to Aldgate while we fix a signal failure at Baker Street. MINOR DELAYS on the rest of the line. London Underground tickets will be accepted on local bus services.
C&H,01/01/2020 13:49,01/01/2020 14:02,Severe Delays,Severe delays while we fix a signal failure at Baker Street.
C&H,01/01/2020 13:49,01/01/2020 14:02,Severe Delays,Severe delays while we fix a signal failure at Baker Street.
Metropolitan,01/01/2020 14:00,01/01/2020 14:01,Severe Delays,Severe Delays due to an earlier signal failure at Baker Street. London Underground tickets will be accepted on local bus services.
Metropolitan,01/01/2020 14:01,01/01/2020 14:58,Severe Delays,Severe Delays due to an earlier signal failure at Baker Street. London Underground tickets will be accepted on local bus services.
C&H,01/01/2020 14:02,01/01/2020 14:59,Severe Delays,Severe delays due to an earlier signal failure at Baker Street.
C&H,01/01/2020 14:02,01/01/2020 14:59,Severe Delays,Severe delays due to an earlier signal failure at Baker Street.
Metropolitan,01/01/2020 14:58,01/01/2020 15:34,Minor Delays,Minor delays due to an earlier signal failure at Baker Street.
C&H,01/01/2020 14:59,01/01/2020 15:57,Minor Delays,Minor delays due to an earlier signal failure at Baker Street.
C&H,01/01/2020 14:59,01/01/2020 15:57,Minor Delays,Minor delays due to an earlier signal failure at Baker Street.
Victoria,01/01/2020 19:33,01/01/2020 19:56,Minor Delays,Minor delays southbound due to an earlier faulty train at Warren Street.
Victoria,01/01/2020 19:56,01/01/2020 20:23,Minor Delays,Minor delays northbound due to an earlier faulty train at Warren Street.
Metropolitan,01/01/2020 21:03,01/01/2020 21:22,Part Suspended,No service between Rayners Lane and Uxbridge due to a signal failure at Ruislip.GOOD SERVICE on the rest of the line
Piccadilly,01/01/2020 21:08,01/01/2020 21:49,Part Suspended,No service between Rayners Lane and Uxbridge due to a signal failure at Ruislip.GOOD SERVICE on the rest of the line
Metropolitan,01/01/2020 21:22,01/01/2020 21:22,Part Suspended,No service between Rayners Lane and Uxbridge due to a signal failure at Ruislip. Tickets are being accepted on London Buses between Harrown on the Hill / South Harrow and Uxbridge.GOOD SERVICE on the rest of the lin
Metropolitan,01/01/2020 21:22,01/01/2020 21:26,Part Suspended,No service between Rayners Lane and Uxbridge due to a signal failure at Ruislip. Tickets are being accepted on London Buses between Harrown on the Hill / South Harrow and Uxbridge.GOOD SERVICE rest of the line
Metropolitan,01/01/2020 21:26,01/01/2020 21:35,Minor Delays,No service between Rayners Lane and Uxbridge due to a signal failure at Ruislip. Minor delays between Harrow on the Hill and Rayners  Lane Tickets are being accepted on London Buses between Harrow on the Hill / South Harrow and Uxbridge.GOOD SERVICE rest of the line
Metropolitan,01/01/2020 21:26,01/01/2020 21:35,Part Suspended,No service between Rayners Lane and Uxbridge due to a signal failure at Ruislip. Minor delays between Harrow on the Hill and Rayners  Lane Tickets are being accepted on London Buses between Harrow on the Hill / South Harrow and Uxbridge.GOOD SERVICE rest of the line
Metropolitan,01/01/2020 21:35,01/01/2020 22:27,Severe Delays,SEVERE DELAYS between Harrow on the Hill and Uxbridge due to an earlier signal failure at Ruislip. Tickets are being accepted on London Buses between Harrow on the Hill / South Harrow and Uxbridge.GOOD SERVICE rest of the line
Piccadilly,01/01/2020 21:49,01/01/2020 22:27,Severe Delays,Severe delays between Rayners Lane and Uxbridge due to an earlier signal failure at Ruislip.GOOD SERVICE on the rest of the line
Piccadilly,02/01/2020 08:13,02/01/2020 08:26,Minor Delays,Minor delays between Acton Town and Heathrow Airport / Uxbridge due to a signal failure at South Kensington. GOOD SERVICE on the rest of the line.
Piccadilly,02/01/2020 08:13,02/01/2020 08:26,Minor Delays,Minor delays between Acton Town and Heathrow Airport / Uxbridge due to a signal failure at South Kensington. GOOD SERVICE on the rest of the line.
Piccadilly,02/01/2020 08:26,02/01/2020 08:52,Minor Delays,Minor delays due to a signal failure at South Kensington.
Piccadilly,02/01/2020 08:52,02/01/2020 10:22,Severe Delays,Severe delays between Acton Town and Heathrow Airport / Uxbridge due to an earlier signal failure at South Kensington. London Buses and TfL Rail are accepting tickets. GOOD SERVICE on the rest of the line.
Piccadilly,02/01/2020 08:52,02/01/2020 10:22,Severe Delays,Severe delays between Acton Town and Heathrow Airport / Uxbridge due to an earlier signal failure at South Kensington. London Buses and TfL Rail are accepting tickets. GOOD SERVICE on the rest of the line.
Piccadilly,02/01/2020 10:22,02/01/2020 10:58,Minor Delays,Minor delays between Acton Town and Heathrow Airport / Uxbridge due to an earlier signal failure at South Kensington. GOOD SERVICE on the rest of the line.
Piccadilly,02/01/2020 10:22,02/01/2020 10:58,Minor Delays,Minor delays between Acton Town and Heathrow Airport / Uxbridge due to an earlier signal failure at South Kensington. GOOD SERVICE on the rest of the line.
Bakerloo,02/01/2020 12:55,02/01/2020 13:29,Minor Delays,Minor delays Elephant & Castle to Queens Park northbound only while we fix a signal problem at Elephant & Castle. GOOD SERVICE on the rest of the line.
District,03/01/2020 06:15,03/01/2020 06:22,Severe Delays,Severe delays between Tower Hill and Ealing Broadway / Richmond / Wimbledon while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses. MINOR DELAYS on the rest of the line.
District,03/01/2020 06:15,03/01/2020 06:22,Severe Delays,Severe delays between Tower Hill and Ealing Broadway / Richmond / Wimbledon while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses. MINOR DELAYS on the rest of the line.
District,03/01/2020 06:15,03/01/2020 06:22,Severe Delays,Severe delays between Tower Hill and Ealing Broadway / Richmond / Wimbledon while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses. MINOR DELAYS on the rest of the line.
District,03/01/2020 06:15,03/01/2020 06:22,Minor Delays,Severe delays between Tower Hill and Ealing Broadway / Richmond / Wimbledon while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses. MINOR DELAYS on the rest of the line.
District,03/01/2020 06:22,03/01/2020 06:35,Part Suspended,"No service between Earl's Court and Ealing Broadway / Richmond and SEVERE DELAYS on the rest of the line while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 06:22,03/01/2020 06:35,Part Suspended,"No service between Earl's Court and Ealing Broadway / Richmond and SEVERE DELAYS on the rest of the line while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 06:22,03/01/2020 06:35,Severe Delays,"No service between Earl's Court and Ealing Broadway / Richmond and SEVERE DELAYS on the rest of the line while we fix a signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 06:35,03/01/2020 07:04,Severe Delays,"Severe delays due to a signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 07:04,03/01/2020 07:11,Part Suspended,"No service between Turnham Green and Richmond and SEVERE DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 07:04,03/01/2020 07:11,Severe Delays,"No service between Turnham Green and Richmond and SEVERE DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 07:11,03/01/2020 08:32,Part Suspended,"No service between Turnham Green and Richmond due to a signal failure at Richmond. SEVERE DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 07:11,03/01/2020 08:32,Severe Delays,"No service between Turnham Green and Richmond due to a signal failure at Richmond. SEVERE DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 08:32,03/01/2020 09:47,Severe Delays,"Severe delays between Turnham Green and Richmond due to a signal failure at Richmond. MINOR DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 08:32,03/01/2020 09:47,Minor Delays,"Severe delays between Turnham Green and Richmond due to a signal failure at Richmond. MINOR DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 09:47,03/01/2020 09:48,Part Suspended,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Turnham Green and Richmond due to an earlier signal failure at Richmond. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 09:47,03/01/2020 09:48,Severe Delays,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Turnham Green and Richmond due to an earlier signal failure at Richmond. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 09:47,03/01/2020 09:48,Minor Delays,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Turnham Green and Richmond due to an earlier signal failure at Richmond. MINOR DELAYS on the rest of the line. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 09:48,03/01/2020 10:11,Part Suspended,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Turnham Green and Richmond due to an earlier signal failure at Richmond. MINOR DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 09:48,03/01/2020 10:11,Severe Delays,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Turnham Green and Richmond due to an earlier signal failure at Richmond. MINOR DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 09:48,03/01/2020 10:11,Minor Delays,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Turnham Green and Richmond due to an earlier signal failure at Richmond. MINOR DELAYS on the rest of the line due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 10:11,03/01/2020 10:20,Part Suspended,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 10:11,03/01/2020 10:20,Minor Delays,"No service between Earl's Court and Wimbledon due to a signal failure at Parsons Green. SEVERE DELAYS between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 10:20,03/01/2020 11:02,Severe Delays,"Severe delays between Earl's Court and Wimbledon due to an earlier signal failure at Parsons Green. SEVERE DELAYS between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 10:20,03/01/2020 11:02,Minor Delays,"Severe delays between Earl's Court and Wimbledon due to an earlier signal failure at Parsons Green. SEVERE DELAYS between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 11:02,03/01/2020 11:03,Minor Delays,"Severe delays between Earl's Court and Wimbledon due to an earlier signal failure at Parsons Green. Minor delays between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 11:02,03/01/2020 11:03,Severe Delays,"Severe delays between Earl's Court and Wimbledon due to an earlier signal failure at Parsons Green. Minor delays between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses, C2C and South Western Railway."
District,03/01/2020 11:03,03/01/2020 11:35,Minor Delays,Severe delays between Earl's Court and Wimbledon due to an earlier signal failure at Parsons Green. Minor delays between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses and South Western Railway.
District,03/01/2020 11:03,03/01/2020 11:35,Severe Delays,Severe delays between Earl's Court and Wimbledon due to an earlier signal failure at Parsons Green. Minor delays between Earl's Court and Upminster due to an earlier signal failure at West Kensington. Tickets are being accepted on London Buses and South Western Railway.
District,03/01/2020 11:35,03/01/2020 11:35,Minor Delays,Minor delays between due to an earlier signal failure at Parsons Green.
District,03/01/2020 11:35,03/01/2020 12:14,Minor Delays,Minor delays due to an earlier signal failure at Parsons Green.
Central,03/01/2020 13:15,03/01/2020 13:24,Part Suspended,No Service Leytonstone to Hainault via Newbury Park while emergency services deal with a casualty on the track.
Central,03/01/2020 13:25,03/01/2020 13:26,Part Suspended,No Service Leytonstone to Woodford via Hainault while emergency services deal with a casualty on the track.
Central,03/01/2020 13:26,03/01/2020 14:46,Part Suspended,No Service Leytonstone to Woodford via Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services.
Central,03/01/2020 14:46,03/01/2020 14:48,Part Suspended,No Service Leytonstone to Hainault via Newbury Park and SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:46,03/01/2020 14:48,Severe Delays,No Service Leytonstone to Hainault via Newbury Park and SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:48,03/01/2020 14:51,Part Suspended,No Service Leytonstone to Hainault via Newbury Park and SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:48,03/01/2020 14:51,Severe Delays,No Service Leytonstone to Hainault via Newbury Park and SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:51,03/01/2020 14:52,Part Suspended,No Service Leytonstone to Hainault via Newbury Park and SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:51,03/01/2020 14:52,Severe Delays,No Service Leytonstone to Hainault via Newbury Park and SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:52,03/01/2020 15:02,Part Suspended,No Service Leytonstone to Hainault via Newbury Park. SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 14:52,03/01/2020 15:02,Severe Delays,No Service Leytonstone to Hainault via Newbury Park. SEVERE DELAYS Woodford to Hainault while emergency services deal with a casualty on the track. Tickets accepted on local buses and on Greater Anglia services
Central,03/01/2020 15:02,03/01/2020 15:23,Part Suspended,No Service Leytonstone to Hainault via Newbury Park while emergency services deal with a casualty on the track. SEVERE DELAYS Woodford to Hainault. Tickets accepted on local buses and on Greater Anglia services.
Central,03/01/2020 15:02,03/01/2020 15:23,Severe Delays,No Service Leytonstone to Hainault via Newbury Park while emergency services deal with a casualty on the track. SEVERE DELAYS Woodford to Hainault. Tickets accepted on local buses and on Greater Anglia services.
Central,03/01/2020 15:23,03/01/2020 17:05,Minor Delays,Minor delays due to an earlier customer incident.
Central,03/01/2020 17:34,03/01/2020 19:00,Minor Delays,Minor delays White City to West Ruislip due to an earlier customer incident. GOOD SERVICE on the rest of the line.
District,03/01/2020 23:55,04/01/2020 00:06,Part Suspended,No service Parsons Green to Wimbledon while we deal with a trespasser on the track at Southfields. GOOD SERVICE on the rest of the line.
District,04/01/2020 00:06,04/01/2020 01:18,Minor Delays,Minor delays Earls Court to Wimbledon due to an earlier trespasser on the track at Southfields. GOOD SERVICE on the rest of the line.
C&H,04/01/2020 04:24,04/01/2020 13:47,Part Closure,No service between Edgware Road and Aldgate via Embankment due to planned engineering work. GOOD SERVICE on the rest of the line.
District,04/01/2020 04:24,04/01/2020 13:45,Part Closure,No service between Earls Court and East Ham due to planned engineering work. GOOD SERVICE on the rest of the line.
C&H,04/01/2020 04:25,05/01/2020 01:37,Planned Closure,No service due to planned engineering work.
District,04/01/2020 13:45,04/01/2020 13:55,Part Suspended,No service between Earls Court and East Ham due to planned engineering work. NO SERVICE between High Street Kensington an Edgware Road while we fix a signal failure at Baker Street. GOOD SERVICE on the rest of the line.
District,04/01/2020 13:45,04/01/2020 13:55,Part Closure,No service between Earls Court and East Ham due to planned engineering work. NO SERVICE between High Street Kensington an Edgware Road while we fix a signal failure at Baker Street. GOOD SERVICE on the rest of the line.
C&H,04/01/2020 13:47,04/01/2020 13:50,Part Suspended,No service between Edgware Road and Aldgate via Embankment due to planned engineering work. NO SERVICEW on the rest of the line while we fix a signal system failure at Baker Street.
C&H,04/01/2020 13:47,04/01/2020 13:50,Part Closure,No service between Edgware Road and Aldgate via Embankment due to planned engineering work. NO SERVICEW on the rest of the line while we fix a signal system failure at Baker Street.
Metropolitan,04/01/2020 13:49,04/01/2020 13:57,Part Suspended,No service between Wembley Park and Aldgate while we fix a signal systems failure at Baker Street. London Underground tickets are being accepted on Chiltern and London bus services. GOOD SERVICE on the rest of the line.
