Line,Start Date Time,End Date Time,Service Status,Status Message
Central,01/01/2021 08:22,01/01/2021 08:52,Minor Delays,Minor delays between Leytonstone and West Ruislip westbound due to train cancellations. GOOD SERVICE on the rest of the line.
Central,01/01/2021 08:52,01/01/2021 12:07,Minor Delays,Minor delays between Leytonstone West Ruislip due to train cancellations. GOOD SERVICE on the rest of the line.
District,01/01/2021 10:46,01/01/2021 11:03,Minor Delays,Minor delays between Earl's Court - Ealing Broadway/Richmond due to faulty train. GOOD SERVICE on the rest of the line.
District,01/01/2021 10:47,01/01/2021 11:03,Minor Delays,Minor delays between Earl's Court - Ealing Broadway/Richmond due to faulty train. GOOD SERVICE on the rest of the line.
District,01/01/2021 11:04,01/01/2021 11:08,Part Suspended,No service between Earl's Court Ealing Broadway/Richmond westbound only. Severe delays between Richmond / Ealing broadway eastbound only. Minor delays Earls Court to Upminster. GOOD SERVICE on rest of the line
District,01/01/2021 11:04,01/01/2021 11:08,Part Suspended,No service between Earl's Court Ealing Broadway/Richmond westbound only. Severe delays between Richmond / Ealing broadway eastbound only. Minor delays Earls Court to Upminster. GOOD SERVICE on rest of the line
District,01/01/2021 11:04,01/01/2021 11:08,Severe Delays,No service between Earl's Court Ealing Broadway/Richmond westbound only. Severe delays between Richmond / Ealing broadway eastbound only. Minor delays Earls Court to Upminster. GOOD SERVICE on rest of the line
District,01/01/2021 11:05,01/01/2021 11:08,Severe Delays,No service between Earl's Court Ealing Broadway/Richmond westbound only. Severe delays between Richmond / Ealing broadway eastbound only. Minor delays Earls Court to Upminster. GOOD SERVICE on rest of the line
District,01/01/2021 11:06,01/01/2021 11:11,Minor Delays,No service between Earl's Court Ealing Broadway/Richmond due to faulty train at West Kensington.. SEVERE DELAYS on the rest of the line.
District,01/01/2021 11:06,01/01/2021 11:11,Part Suspended,No service between Earl's Court Ealing Broadway/Richmond due to faulty train at West Kensington.. SEVERE DELAYS on the rest of the line.
District,01/01/2021 11:06,01/01/2021 11:11,Part Suspended,No service between Earl's Court Ealing Broadway/Richmond due to faulty train at West Kensington.. SEVERE DELAYS on the rest of the line.
District,01/01/2021 11:06,01/01/2021 11:11,Severe Delays,No service between Earl's Court Ealing Broadway/Richmond due to faulty train at West Kensington.. SEVERE DELAYS on the rest of the line.
District,01/01/2021 11:06,01/01/2021 11:11,Severe Delays,No service between Earl's Court Ealing Broadway/Richmond due to faulty train at West Kensington.. SEVERE DELAYS on the rest of the line.
District,01/01/2021 11:08,01/01/2021 11:11,Part Suspended,No service between Earl's Court Ealing Broadway/Richmond due to faulty train at West Kensington.. SEVERE DELAYS on the rest of the line.
