Region,GRP 2012 (1b000 mill. Rubles),Per cent 2012,GRP 2015 (1b000 mill. Rubles),Per cent 2015,GRP 2018 (1b000 mill. Rubles),Per cent 2018
Murmansk Region,284,4.8,402,5.2,483,4.3
Karelia,161,2.7,212,2.8,280,2.5
Arkhangelsk Region,472,7.9,628,8.2,819,7.4
Komi Republic,479,8,528,6.9,666,6
Yamal-Nenets Autonomous Area,1191,20,1792,23.4,3084,27.7
Khanty-Mansii,2704,45.4,3154,41.2,4447,40
Republic of Sakha (Yakutia),541,9.1,748,9.8,1085,9.8
Magadan Region,78,1.3,126,1.6,171,1.5
Chukotka Autonomous Area,46,0.8,62,0.8,78,0.7
Total,5956,100,7651,100,11112,100
