Year,Series,Value
1970,Number,84460125
1975,Number,90368010
1980,Number,101983149
1985,Number,113206691
1990,Number,152986157
1995,Number,161289976
2000,Number,173230585
2005,Number,191446828
2010,Number,220983187
2015,Number,247958644
2020,Number,280598105
1970,Percentage,2.3
1975,Percentage,2.2
1980,Percentage,2.3
1985,Percentage,2.3
1990,Percentage,2.9
1995,Percentage,2.8
2000,Percentage,2.8
2005,Percentage,2.9
2010,Percentage,3.2
2015,Percentage,3.4
2020,Percentage,3.6
