Body of Water,Latitude,Longitude
Pacific Ocean,0.0,-160.0
Indian Ocean,-30.0,80.0
South China Sea,15.0,112.5
East China Sea,32.5,125.0
Philippine Sea,20.0,130.0
Java Sea,-5.0,110.0
Banda Sea,-5.0,130.0
Arafura Sea,-10.0,135.0
Andaman Sea,12.0,95.0
Celebes Sea,1.0,122.5
Sulu Sea,8.0,120.0
