,LOCATION,TIME,Trade
7,AUS,2000 Jan,3.668754
8,AUS,2000 Apr,-0.7063956
9,AUS,2000 Jul,2.227576
10,AUS,2000 Oct,-0.6449606
11,AUS,2001 Jan,-1.987938
12,AUS,2001 Apr,3.655272
13,AUS,2001 Jul,-1.828176
14,AUS,2001 Oct,-3.726357
15,AUS,2002 Jan,2.132359
16,AUS,2002 Apr,3.912612
17,AUS,2002 Jul,-0.265557
18,AUS,2002 Oct,2.423842
19,AUS,2003 Jan,4.989492
20,AUS,2003 Apr,-3.591655
21,AUS,2003 Jul,1.799018
22,AUS,2003 Oct,9.366999
23,AUS,2004 Jan,10.47409
24,AUS,2004 Apr,2.032155
25,AUS,2004 Jul,1.305855
26,AUS,2004 Oct,7.866042
27,AUS,2005 Jan,4.628231
28,AUS,2005 Apr,10.6417
29,AUS,2005 Jul,-0.6707253
30,AUS,2005 Oct,5.073058
31,AUS,2006 Jan,3.087969
32,AUS,2006 Apr,5.972873
33,AUS,2006 Jul,2.754081
34,AUS,2006 Oct,3.336865
35,AUS,2007 Jan,4.413211
36,AUS,2007 Apr,2.186639
37,AUS,2007 Jul,1.671812
38,AUS,2007 Oct,6.559196
39,AUS,2008 Jan,11.47949
40,AUS,2008 Apr,15.37314
41,AUS,2008 Jul,7.721379
42,AUS,2008 Oct,-15.78366
43,AUS,2009 Jan,-7.861965
44,AUS,2009 Apr,-12.70346
45,AUS,2009 Jul,6.422334
46,AUS,2009 Oct,11.06848
47,AUS,2010 Jan,10.16967
48,AUS,2010 Apr,13.83266
49,AUS,2010 Jul,4.62551
50,AUS,2010 Oct,8.914992
51,AUS,2011 Jan,3.918202
52,AUS,2011 Apr,9.19057
53,AUS,2011 Jul,6.615915
54,AUS,2011 Oct,-4.220191
55,AUS,2012 Jan,-3.994216
56,AUS,2012 Apr,-1.524378
57,AUS,2012 Jul,-3.471497
58,AUS,2012 Oct,-0.008589785
59,AUS,2013 Jan,2.053225
60,AUS,2013 Apr,-1.081766
61,AUS,2013 Jul,-2.710217
62,AUS,2013 Oct,3.040228
63,AUS,2014 Jan,1.091779
64,AUS,2014 Apr,-4.942162
65,AUS,2014 Jul,-2.476195
66,AUS,2014 Oct,-6.64194
67,AUS,2015 Jan,-8.500823
68,AUS,2015 Apr,-7.582427
69,AUS,2015 Jul,-0.7847534
70,AUS,2015 Oct,-6.553423
71,AUS,2016 Jan,-4.509134
72,AUS,2016 Apr,8.693883
73,AUS,2016 Jul,6.952208
74,AUS,2016 Oct,17.19431
75,AUS,2017 Jan,2.402797
76,AUS,2017 Apr,-4.030813
77,AUS,2017 Jul,6.453932
78,AUS,2017 Oct,-2.576346
79,AUS,2018 Jan,9.694968
80,AUS,2018 Apr,-0.8659948
81,AUS,2018 Jul,2.824067
82,AUS,2018 Oct,2.51083
83,AUS,2019 Jan,0.2245402
95,AUT,2000 Jan,-0.8344666
96,AUT,2000 Apr,0.1730559
97,AUT,2000 Jul,0.01872957
98,AUT,2000 Oct,0.2735291
99,AUT,2001 Jan,8.097234
100,AUT,2001 Apr,-6.171576
101,AUT,2001 Jul,2.473782
102,AUT,2001 Oct,-0.02353648
103,AUT,2002 Jan,0.8421702
104,AUT,2002 Apr,9.296566
105,AUT,2002 Jul,4.642149
106,AUT,2002 Oct,2.65404
107,AUT,2003 Jan,12.13553
108,AUT,2003 Apr,0.3447828
109,AUT,2003 Jul,2.780744
110,AUT,2003 Oct,9.258393
111,AUT,2004 Jan,8.50959
112,AUT,2004 Apr,-0.7128487
113,AUT,2004 Jul,1.311268
114,AUT,2004 Oct,8.646665
115,AUT,2005 Jan,0.3555211
116,AUT,2005 Apr,-1.029068
117,AUT,2005 Jul,-0.5812021
118,AUT,2005 Oct,1.462446
119,AUT,2006 Jan,0.1009955
120,AUT,2006 Apr,7.436096
121,AUT,2006 Jul,3.956172
122,AUT,2006 Oct,6.964852
123,AUT,2007 Jan,1.997061
124,AUT,2007 Apr,4.808957
125,AUT,2007 Jul,3.172154
126,AUT,2007 Oct,7.124929
127,AUT,2008 Jan,6.941861
128,AUT,2008 Apr,4.09757
129,AUT,2008 Jul,-4.756387
130,AUT,2008 Oct,-22.55179
131,AUT,2009 Jan,-12.30926
132,AUT,2009 Apr,1.817863
133,AUT,2009 Jul,7.357051
134,AUT,2009 Oct,7.191709
135,AUT,2010 Jan,-3.889393
136,AUT,2010 Apr,0.6832526
137,AUT,2010 Jul,5.449289
138,AUT,2010 Oct,8.195673
139,AUT,2011 Jan,4.283945
140,AUT,2011 Apr,5.666638
141,AUT,2011 Jul,0.39272
142,AUT,2011 Oct,-5.727233
143,AUT,2012 Jan,-2.466985
144,AUT,2012 Apr,-1.130983
145,AUT,2012 Jul,0.9756277
146,AUT,2012 Oct,-0.5329592
147,AUT,2013 Jan,2.622663
148,AUT,2013 Apr,1.591798
