date,FL152090005.Q,FL152000005.Q,FL154190005.Q
1981:Q3,10953493,12478078,1524585
1981:Q2,10848927,12342522,1493595
1981:Q1,10561449,12017642,1456193
1980:Q4,10366111,11813058,1446947
1980:Q3,10040635,11445130,1404495
1980:Q2,9646182,11014676,1368494
1980:Q1,9299795,10650038,1350243
1979:Q4,9106314,10427542,1321228
1979:Q3,8827333,10103093,1275760
1979:Q2,8544813,9770166,1225353
1979:Q1,8271536,9449333,1177797
1978:Q4,7960026,9110278,1150252
1978:Q3,7778480,8886207,1107727
1978:Q2,7531720,8591877,1060157
1978:Q1,7283682,8293478,1009796
1977:Q4,7110211,8097096,986885
1977:Q3,6951373,7900423,949050
1977:Q2,6811045,7721911,910866
1977:Q1,6631933,7504066,872133
1976:Q4,6523647,7379000,855353
1976:Q3,6354796,7182015,827219
1976:Q2,6238715,7040774,802059
1976:Q1,6061759,6837066,775307
1975:Q4,5862235,6628011,765776
1975:Q3,5694684,6436741,742057
1975:Q2,5698949,6420921,721972
1975:Q1,5465976,6173918,707942
1974:Q4,5213104,5921722,708618
1974:Q3,5074335,5769762,695427
1974:Q2,5114107,5791114,677007
1974:Q1,5131342,5787556,656214
1973:Q4,5101207,5753170,651963
1973:Q3,5136907,5772456,635549
1973:Q2,4954082,5570537,616455
1973:Q1,4914606,5512152,597546
1972:Q4,4889739,5475162,585423
1972:Q3,4642958,5209682,566724
1972:Q2,4517634,5068906,551272
1972:Q1,4452826,4984159,531333
1971:Q4,4294443,4818529,524086
1971:Q3,4172789,4680680,507891
1971:Q2,4112417,4607563,495146
1971:Q1,4038577,4520072,481495
1970:Q4,3875791,4354532,478741
1970:Q3,3752424,4222163,469739
1970:Q2,3624526,4087326,462800
1970:Q1,3688139,4144380,456241
1969:Q4,3660439,4124219,463780
1969:Q3,3642321,4094502,452181
1969:Q2,3620395,4066727,446332
1969:Q1,3612985,4047905,434920
1968:Q4,3595659,4031803,436144
1968:Q3,3426171,3848952,422781
1968:Q2,3364224,3779406,415182
1968:Q1,3226267,3628735,402468
1967:Q4,3204050,3614919,410869
1967:Q3,3136437,3525646,389209
1967:Q2,3049738,3432885,383147
1967:Q1,3008705,3384517,375812
1966:Q4,2902439,3278461,376022
1966:Q3,2813363,3182914,369551
1966:Q2,2841825,3207485,365660
1966:Q1,2809713,3165677,355964
1965:Q4,2803146,3155932,352786
1965:Q3,2722706,3066091,343385
1965:Q2,2644786,2981255,336469
1965:Q1,2647902,2974766,326864
1964:Q4,2604182,2927551,323369
1964:Q3,2559922,2874300,314378
1964:Q2,2513455,2821021,307566
1964:Q1,2469229,2767198,297969
1963:Q4,2422662,2716666,294004
1963:Q3,2427711,2712704,284993
1963:Q2,2385802,2663278,277476
1963:Q1,2353585,2621544,267959
1962:Q4,2319207,2584256,265049
1962:Q3,2214120,2471674,257554
1962:Q2,2174635,2425974,251339
1962:Q1,2269665,2513905,244240
1961:Q4,2256727,2499640,242913
1961:Q3,2200739,2436526,235787
1961:Q2,2164273,2395785,231512
1961:Q1,2141586,2366897,225311
1960:Q4,2091054,2315604,224550
1960:Q3,2037770,2256837,219067
1960:Q2,2042456,2256941,214485
1960:Q1,2024429,2232055,207626
1959:Q4,2016087,2222789,206702
1959:Q3,1982386,2182280,199894
1959:Q2,1969165,2162844,193679
1959:Q1,1941397,2128041,186644
1958:Q4,1921082,2105231,184149
1958:Q3,1890774,2069133,178359
1958:Q2,1836617,2011400,174783
1958:Q1,1809395,1980607,171212
1957:Q4,1775985,1948061,172076
1957:Q3,1759230,1928201,168971
1957:Q2,1760802,1926630,165828
1957:Q1,1723574,1884335,160761
1956:Q4,1710668,1870268,159600
1956:Q3,1672223,1827056,154833
1956:Q2,1653641,1805087,151446
1956:Q1,1643535,1789720,146185
1955:Q4,1600739,1745165,144426
1955:Q3,1580276,1719063,138787
1955:Q2,1540895,1674321,133426
1955:Q1,1505778,1632093,126315
1954:Q4,1484110,1607202,123092
1954:Q3,1466893,1584656,117763
1954:Q2,1430651,1544963,114312
1954:Q1,1408988,1519484,110496
1953:Q4,1386236,1496860,110624
1953:Q3,1365482,1472711,107229
1953:Q2,1350862,1455561,104699
1953:Q1,1348593,1448800,100207
1952:Q4,1338212,1436102,97890
1952:Q3,1334025,1427466,93441
1952:Q2,1321040,1411451,90411
1952:Q1,1298494,1384718,86224
