,TIME,GDP
0,2000 Apr,0.8560949334782609
1,2000 Jan,1.5795059715434783
2,2000 Jul,1.0653489026304348
3,2000 Oct,0.7082465706086957
4,2001 Apr,0.37904579356521734
5,2001 Jan,0.5400339804565217
6,2001 Jul,0.28720564017391303
7,2001 Oct,0.6619674791956521
8,2002 Apr,1.1648168118260869
9,2002 Jan,0.5053123113043478
10,2002 Jul,0.6781446893043478
11,2002 Oct,0.7556501485652174
12,2003 Apr,0.637809950212766
13,2003 Jan,0.643585432521739
14,2003 Jul,1.1019054884680852
15,2003 Oct,1.3487873243191488
16,2004 Apr,0.9180606772978723
17,2004 Jan,1.3977506375106383
18,2004 Jul,1.0750318773404255
19,2004 Oct,1.0096077333617022
20,2005 Apr,1.3366330199166667
21,2005 Jan,0.8033260597021277
22,2005 Jul,1.1209948460208332
23,2005 Oct,1.3741713602916665
24,2006 Apr,1.4098539464375
25,2006 Jan,1.2172413392083332
26,2006 Jul,1.0433129536458334
27,2006 Oct,1.3600816919375
28,2007 Apr,1.2460968496458333
29,2007 Jan,1.5001947549583334
30,2007 Jul,0.8206072657708333
31,2007 Oct,1.2939098278958332
32,2008 Apr,0.22686309791666667
33,2008 Jan,0.5512327488958334
34,2008 Jul,-0.32950321379166664
35,2008 Oct,-1.8853863084791669
36,2009 Apr,0.071832413875
37,2009 Jan,-2.882469579791667
38,2009 Jul,0.6447392595416667
39,2009 Oct,0.5827547987291667
40,2010 Apr,1.2101129439591838
41,2010 Jan,0.5991502594791667
42,2010 Jul,0.6161549860612245
43,2010 Oct,1.0107042188979591
44,2011 Apr,0.715426495
45,2011 Jan,0.7176576924
46,2011 Jul,0.6544994550600001
47,2011 Oct,0.30710357888
48,2012 Apr,0.17929923928000002
49,2012 Jan,0.40804288812
50,2012 Jul,0.3680754142
51,2012 Oct,0.18481423776
52,2013 Apr,0.76211740254
53,2013 Jan,0.36560471904
54,2013 Jul,0.74470552412
55,2013 Oct,0.5361831999400001
56,2014 Apr,0.49132019048000003
57,2014 Jan,0.5796901976800001
58,2014 Jul,0.7983932205800001
59,2014 Oct,0.6740644589599999
60,2015 Apr,0.76838369938
61,2015 Jan,0.9889886826400001
62,2015 Jul,0.6659392474400001
63,2015 Oct,0.42115707832
64,2016 Apr,0.6443495763
65,2016 Jan,0.51958623908
66,2016 Jul,0.58815874818
67,2016 Oct,1.1497201693399999
68,2017 Apr,1.02631697084
69,2017 Jan,0.59103625854
70,2017 Jul,0.8725337749400001
71,2017 Oct,0.9178645149000001
72,2018 Apr,0.68626453736
73,2018 Jan,0.71093867014
74,2018 Jul,0.46391138919999997
75,2018 Oct,0.59530794046
76,2019 Apr,0.72843341622
77,2019 Jan,0.61378667538
78,2019 Jul,0.38364107478000004
79,2019 Oct,0.33845035213999997
