Year,Type,Value
2012,Systemic,8
2013,Systemic,8
2014,Systemic,8
2015,Systemic,5
2016,Systemic,5
1800,Currency,1
1801,Currency,2
1802,Currency,0
1803,Currency,0
1804,Currency,1
1805,Currency,1
1806,Currency,1
1807,Currency,2
1808,Currency,2
1809,Currency,2
1810,Currency,3
1811,Currency,1
1812,Currency,1
1813,Currency,2
1814,Currency,5
1815,Currency,6
1816,Currency,3
1817,Currency,1
1818,Currency,0
1819,Currency,2
1820,Currency,3
1821,Currency,2
1822,Currency,1
1823,Currency,0
1824,Currency,0
1825,Currency,0
1826,Currency,0
1827,Currency,1
1828,Currency,2
1829,Currency,3
1830,Currency,0
1831,Currency,1
1832,Currency,0
1833,Currency,0
1834,Currency,0
1835,Currency,0
1836,Currency,0
1837,Currency,1
1838,Currency,0
1839,Currency,0
1840,Currency,0
1841,Currency,0
1842,Currency,1
1843,Currency,0
1844,Currency,0
1845,Currency,0
1846,Currency,0
1847,Currency,0
1848,Currency,0
1849,Currency,0
1850,Currency,1
1851,Currency,1
1852,Currency,0
1853,Currency,1
1854,Currency,0
1855,Currency,0
1856,Currency,1
1857,Currency,0
1858,Currency,0
1859,Currency,1
1860,Currency,1
1861,Currency,0
1862,Currency,5
1863,Currency,5
1864,Currency,2
1865,Currency,0
1866,Currency,1
1867,Currency,0
1868,Currency,1
1869,Currency,0
1870,Currency,0
1871,Currency,0
1872,Currency,2
1873,Currency,0
1874,Currency,0
1875,Currency,0
1876,Currency,1
1877,Currency,1
1878,Currency,0
1879,Currency,1
1880,Currency,0
1881,Currency,0
1882,Currency,0
1883,Currency,1
1884,Currency,0
1885,Currency,3
1886,Currency,1
1887,Currency,0
1888,Currency,0
1889,Currency,1
1890,Currency,2
1891,Currency,7
1892,Currency,4
1893,Currency,6
1894,Currency,6
1895,Currency,0
1896,Currency,0
1897,Currency,2
1898,Currency,1
1899,Currency,0
1900,Currency,0
1901,Currency,3
1902,Currency,3
1903,Currency,1
1904,Currency,1
1905,Currency,1
1906,Currency,1
1907,Currency,1
1908,Currency,3
1909,Currency,2
1910,Currency,0
1911,Currency,1
1912,Currency,2
1913,Currency,0
1914,Currency,5
1915,Currency,7
1916,Currency,2
1917,Currency,1
1918,Currency,8
1919,Currency,13
1920,Currency,22
1921,Currency,19
1922,Currency,10
1923,Currency,9
1924,Currency,10
1925,Currency,3
1926,Currency,4
1927,Currency,1
1928,Currency,3
1929,Currency,5
1930,Currency,9
1931,Currency,14
1932,Currency,12
1933,Currency,11
1934,Currency,3
1935,Currency,7
1936,Currency,7
1937,Currency,4
1938,Currency,9
1939,Currency,13
1940,Currency,5
1941,Currency,4
1942,Currency,4
1943,Currency,11
1944,Currency,9
1945,Currency,6
1946,Currency,18
1947,Currency,13
1948,Currency,19
1949,Currency,19
1950,Currency,20
1951,Currency,7
1952,Currency,4
1953,Currency,6
1954,Currency,10
1955,Currency,6
1956,Currency,5
1957,Currency,9
1958,Currency,12
1959,Currency,9
1960,Currency,6
1961,Currency,2
1962,Currency,10
1963,Currency,9
1964,Currency,6
1965,Currency,7
1966,Currency,5
1967,Currency,16
1968,Currency,8
1969,Currency,4
1970,Currency,7
1971,Currency,10
1972,Currency,5
1973,Currency,6
1974,Currency,8
1975,Currency,12
1976,Currency,14
1977,Currency,13
1978,Currency,10
1979,Currency,14
1980,Currency,11
1981,Currency,17
1982,Currency,21
1983,Currency,24
1984,Currency,26
1985,Currency,22
1986,Currency,22
1987,Currency,15
1988,Currency,20
1989,Currency,29
1990,Currency,22
1991,Currency,23
1992,Currency,20
1993,Currency,23
1994,Currency,17
1995,Currency,19
1996,Currency,15
1997,Currency,21
1998,Currency,15
1999,Currency,18
2000,Currency,15
2001,Currency,10
2002,Currency,10
2003,Currency,6
2004,Currency,3
2005,Currency,14
2006,Currency,1
2007,Currency,1
2008,Currency,22
2009,Currency,4
2010,Currency,1
2011,Currency,4
2012,Currency,3
